qid	order	query	qld.recip_rank
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	bt_bing_arabic	How can I get copies of letters of praise sent to me from the City of San Diego	0.5
100653	bt_bing_malay	How can I get a copy of the letter of praise given to me from the city of San Diego	0.5
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	0.5
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.5
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.5
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.5
1015624	-1	What's the Definition of a bloody mary?	1.0
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.25
1015624	bt_nllb_french	What s the definition of a holy Mary	0.0435
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0294
1017690	-1	what is the history of indian music?	1.0
1017690	bt_bing_persian	What is India s music history	0.25
1035857	-1	Why are liberals so quick to defend Saddam?	1.0
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	0.3333
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	0.2
1035857	bt_bing_korean	Why are liberals so quick to defend Saddam Hussein	0.1
103830	-1	Why do man Arabs hate the west ?	0.3333
103830	bt_nllb_arabic	Why are Arabs turning to the West	0.125
1063812	-1	How do I grow taller?	1.0
1063812	bt_nllb_arabic	How do I get to the height	0.0833
1063812	bt_bing_french	How can I grow	0.0278
1063812	bt_nllb_russian	How can I grow up	0.0143
1063812	bt_nllb_french	How can I get bigger	0.0
1063812	bt_nllb_german	How do I get bigger	0.0
1063812	bt_nllb_tamil	How can I get high	0.0
1077370	-1	Why do only Humans have Finger prints?	1.0
1077370	bt_bing_arabic	Why do only humans have fingerprints	0.5
1077370	bt_bing_chinese_simplified	Why do only humans have fingerprints	0.5
1077370	bt_bing_french	Why do only humans have fingerprints	0.5
1077370	bt_bing_german	Why do only humans have fingerprints	0.5
1077370	bt_bing_korean	Why do only humans have fingerprints	0.5
1077370	bt_bing_persian	Why do only humans have fingerprints	0.5
1077370	bt_bing_russian	Why do only humans have fingerprints	0.5
1077370	bt_bing_swahili	Why do only humans have fingerprints	0.5
1077370	bt_bing_tamil	Why do only humans have fingerprints	0.5
1077370	bt_nllb_arabic	Why do only humans have fingerprints	0.5
1077370	bt_nllb_chinese_yue	Why are only humans fingerprinted	0.5
1077370	bt_nllb_french	Why are only humans fingerprinted	0.5
1077370	bt_nllb_korean	Why is it that only humans have fingerprints	0.5
1077370	bt_nllb_malay	Why are only humans fingerprinted	0.5
1077370	bt_nllb_swahili	Why are only humans fingerprinted	0.5
1077370	bt_nllb_tamil	Why do only humans have fingerprints	0.5
1077370	bt_nllb_german	Why are only people fingerprinted	0.3333
1077370	bt_nllb_russian	Why are only people having fingerprints	0.25
1077370	bt_nllb_persian	Why do only humans have fingers	0.0909
1082595	-1	what is meant by mobile technology?	0.25
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	1.0
1119420	bt_bing_german	Well the black light is UV light So if it s black how can it be bright	0.5
1119420	bt_nllb_malay	So if it s black how can it be light	0.125
1119420	bt_nllb_tamil	So if it s black how can it be light	0.125
1152934	-1	Why don't fat people have to pay more for air travel?	1.0
1152934	bt_nllb_french	Why don t the big guys pay more for the thefts	0.5
1152934	bt_nllb_persian	Why don t fat people have to pay so much for air travel	0.5
1152934	bt_nllb_german	Why don t fat people pay for air travel anymore	0.3333
1152934	bt_nllb_tamil	Why do fat people not have to pay more for air travel	0.3333
1152934	bt_nllb_swahili	Why should older people not pay more for air travel	0.0303
1152934	bt_nllb_arabic	Why shouldn t fat people be allowed to pay more to fly	0.0182
1167882	-1	What are the different types of sins and how are they caused?	0.25
