,qid,order,query,qld.ndcg
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.3464
1,100653,bt_bing_tamil,How do I get copies of appreciation letters sent to me from the city of San Diego,0.4577
2,100653,bt_bing_russian,How do I get copies of thank you letters from the City of San Diego,0.3997
3,100653,bt_nllb_korean,How do we get compliments from the city of San Diego,0.3924
4,100653,anchor.topn3,go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua,0.3913
5,100653,stem.trunc5,how do i go about getti copie of lette of comme prsen to me from city of san diego,0.3899
6,100653,bt_bing_swahili,How do i get copies of congratulatory letters given to me from the city of san diego,0.3815
7,100653,bt_bing_german,How do I get copies of letters of recommendation provided to me by the City of San Diego,0.369
8,100653,termluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego,0.3676
9,100653,termluster.topn5.3.qld,go getting copies letters commendation prsented city san diego,0.3676
10,100653,thesaurus.topn3,go getting copies letters commendation prsented city san diego,0.3676
11,100653,thesaurus.topn3.replace,go getting copies letters commendation prsented city san diego,0.3676
12,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.3663
13,100653,relevancefeedback.topn10.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court,0.3624
14,100653,tagmee.topn3,go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.3575
15,100653,bt_nllb_french,How do I get copies of congratulatory letters sent by the city of San Diego,0.3561
16,100653,stem.paicehusk,how do i go about get cop of let of commend prsent to me from city of san diego,0.3519
17,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,0.3494
18,100653,bt_bing_french,How do I get copies of the letters of recommendation sent to me by the City of San Diego,0.3483
19,100653,docluster.topn10.3.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.3464
20,100653,docluster.topn10.3.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego,0.3464
21,100653,original,how do I go about getting copies of letters of commendation prsented to me from city of san diego,0.3464
22,100653,rm3.topn10.10.0.5.bm25,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.3464
23,100653,rm3.topn10.10.0.5.qld,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.3464
24,100653,stem.krovetz,how do i go about get copy of letters of commendation prsente to me from city of san diego,0.3464
25,100653,stem.porter2,how do i go about get copi of letter of commend prsent to me from citi of san diego,0.3464
26,100653,stem.sstemmer,how do i go about getting copy of letter of commendation prsented to me from city of san diego,0.3464
27,100653,bt_bing_korean,How do I get a copy of a letter of commendation from the City of San Diego to me,0.3427
28,100653,stem.porter,how do i go about gett copi of letter of commend prsent to me from citi of san diego,0.3382
29,100653,bt_bing_persian,How about getting copies of letters of praise prsented to me from San Diego County,0.3379
30,100653,bt_nllb_chinese_yue,How do I get letters from San Diego,0.3366
31,100653,tagmee.topn3.replace,Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.3366
32,100653,bt_nllb_malay,How do I get a copy of the letter of credit sent from the city of San Diego,0.3349
33,100653,bt_nllb_german,How do I get copies of the San Diego letter of credit,0.3297
34,100653,bt_nllb_arabic,How do I get copies of the letters of encouragement I sent her from the city of San Diego,0.3295
35,100653,wiki.topn3,go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.3294
36,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.3281
