qid	order	query	bm25.recip_rank
1	-1	obama family tree	0.5
10	-1	cheap internet	0.25
11	-1	gmat prep classes	1.0
12	-1	djs	0.3333
13	-1	map	0.0204
14	-1	dinosaurs	0.0476
15	-1	espn sports	1.0
16	-1	arizona game and fish	1.0
17	-1	poker tournaments	0.1429
18	-1	wedding budget calculator	0.3333
18	bt_nllb_arabic	Accounting for the wedding budget	1.0
19	-1	the current	0.0
2	-1	french lick resort and casino	1.0
20	-1	defender	0.0
21	-1	volvo	0.3333
22	-1	rick warren	1.0
23	-1	yahoo	0.1
24	-1	diversity	0.125
25	-1	euclid	0.5
26	-1	lower heart rate	1.0
27	-1	starbucks	0.0625
27	bt_nllb_malay	Starbucks is a great place to start	0.5
28	-1	inuyasha	0.3333
29	-1	ps 2 games	0.0526
3	-1	getting organized	1.0
30	-1	diabetes education	1.0
31	-1	atari	1.0
32	-1	website design hosting	1.0
33	-1	elliptical trainer	0.3333
34	-1	cell phones	0.1111
35	-1	hoboken	0.5
36	-1	gps	0.2
37	-1	pampered chef	0.1111
38	-1	dogs for adoption	0.5
39	-1	disneyland hotel	0.3333
4	-1	toilet	0.0588
40	-1	michworks	0.3333
41	-1	orange county convention center	1.0
42	-1	the music man	0.0
43	-1	the secret garden	0.1
44	-1	map of the united states	1.0
45	-1	solar panels	1.0
46	-1	alexian brothers hospital	0.3333
46	bt_nllb_arabic	The hospital of the Elks Brothers	1.0
46	bt_nllb_tamil	The hospital of the Brotherhood of Alexians	0.5
47	-1	indexed annuity	1.0
48	-1	wilson antenna	1.0
49	-1	flame designs	0.5
5	-1	mitchell college	0.2
50	-1	dog heat	0.1111
6	-1	kcs	0.0
7	-1	air travel information	1.0
8	-1	appraisals	0.0
9	-1	used car parts	0.3333
9	bt_nllb_chinese_yue	With car parts	0.5
9	bt_nllb_russian	parts for cars	0.5
51	-1	horse hooves	1.0
52	-1	avp	0.2
53	-1	discovery channel store	1.0
54	-1	president of the united states	0.5
55	-1	iron	0.0182
56	-1	uss yorktown charleston sc	0.0217
57	-1	ct jobs	1.0
58	-1	penguins	0.125
59	-1	how to build a fence	0.25
60	-1	bellevue	0.1
61	-1	worm	0.0833
62	-1	texas border patrol	1.0
63	-1	flushing	0.04
64	-1	moths	0.1429
65	-1	korean language	1.0
66	-1	income tax return online	0.0312
66	bt_nllb_chinese_yue	Tax returns online	0.0769
67	-1	vldl levels	1.0
68	-1	pvc	0.125
69	-1	sewing instructions	1.0
70	-1	to be or not to be that is the question	0.0
71	-1	living in india	0.0278
71	bt_nllb_chinese_yue	I live in India	0.05
71	bt_nllb_korean	I live in India	0.05
72	-1	the sun	0.0
73	-1	neil young	1.0
74	-1	kiwi	0.0357
75	-1	tornadoes	0.125
76	-1	raised gardens	0.5
76	bt_nllb_french	and gardens raised high	1.0
77	-1	bobcat	0.1429
78	-1	dieting	0.0204
79	-1	voyager	0.0345
80	-1	keyboard reviews	1.0
81	-1	afghanistan	0.0667
81	bt_nllb_chinese_yue	Afghanistan is a country	1.0
82	-1	joints	0.0227
83	-1	memory	0.0
84	-1	continental plates	0.3333
85	-1	milwaukee journal sentinel	1.0
86	-1	bart sf	1.0
87	-1	who invented music	1.0
88	-1	forearm pain	1.0
89	-1	ocd	0.3333
90	-1	mgb	0.0714
91	-1	er tv show	0.1111
92	-1	the wall	0.0
93	-1	raffles	0.2
94	-1	titan	0.0167
96	-1	rice	0.2
97	-1	south africa	0.1667
98	-1	sat	0.3333
99	-1	satellite	0.0
101	-1	ritz carlton lake las vegas	1.0
102	-1	fickle creek farm	0.0333
103	-1	madam cj walker	0.5
103	bt_nllb_russian	Madam K W Walker please	1.0
104	-1	indiana child support	0.1111
