qid	order	query	bm25.recip_rank
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	anchor.topn3	go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua	1.0
100653	bertqe.topn10.bm25	what tour i should go	1.0
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	1.0
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	1.0
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	1.0
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	1.0
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	1.0
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	1.0
100653	conceptluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting	1.0
100653	conceptluster.topn5.3.qld	go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch	1.0
100653	docluster.topn10.3.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego	1.0
100653	docluster.topn10.3.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego	1.0
100653	relevancefeedback.topn10.bm25	how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court	1.0
100653	relevancefeedback.topn10.qld	how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold	1.0
100653	rm3.topn10.10.0.5.bm25	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	rm3.topn10.10.0.5.qld	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	sensedisambiguation.replace	how do I travel about experience transcript of letter of citation prsented to me from city of san diego	1.0
100653	stem.krovetz	how do i go about get copy of letters of commendation prsente to me from city of san diego	1.0
100653	stem.paicehusk	how do i go about get cop of let of commend prsent to me from city of san diego	1.0
100653	stem.porter	how do i go about gett copi of letter of commend prsent to me from citi of san diego	1.0
100653	stem.porter2	how do i go about get copi of letter of commend prsent to me from citi of san diego	1.0
100653	stem.sstemmer	how do i go about getting copy of letter of commendation prsented to me from city of san diego	1.0
100653	stem.trunc5	how do i go about getti copie of lette of comme prsen to me from city of san diego	1.0
100653	tagmee.topn3	go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	1.0
100653	tagmee.topn3.replace	Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego	1.0
100653	termluster.topn5.3.bm25	go getting copies letters commendation prsented city san diego	1.0
100653	termluster.topn5.3.qld	go getting copies letters commendation prsented city san diego	1.0
100653	thesaurus.topn3	go getting copies letters commendation prsented city san diego	1.0
100653	thesaurus.topn3.replace	go getting copies letters commendation prsented city san diego	1.0
100653	wiki.topn3	go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego	1.0
100653	wiki.topn3.replace	thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego	1.0
100653	wordnet.topn3.replace	hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego	1.0
1015624	-1	What's the Definition of a bloody mary?	1.0
1015624	bertqe.topn10.bm25	yeah what said now get	1.0
1015624	bertqe.topn10.qld	she known bloodi mari drink	1.0
1015624	bt_nllb_arabic	What is the definition of Bloody Mary	1.0
1015624	bt_nllb_korean	What is the definition of a bloody Mary	1.0
1015624	bt_nllb_malay	What s the definition of bloody Mary	1.0
1015624	bt_nllb_persian	What is the definition of bloody Mary	1.0
1015624	bt_nllb_russian	What s the definition of Bloody Mary	1.0
1015624	bt_nllb_swahili	What is the definition of bloody Mary	1.0
1015624	bt_nllb_tamil	What is the definition of a bloody Mary	1.0
1015624	conceptluster.topn5.3.bm25	s definition bloody mary papal infallibility mary england	1.0
1015624	conceptluster.topn5.3.qld	s definition bloody mary papal infallibility mary england	1.0
1015624	docluster.topn10.3.bm25	what s the definition of a bloody mary	1.0
1015624	docluster.topn10.3.qld	what s the definition of a bloody mary	1.0
1015624	relevancefeedback.topn10.bm25	what s the definition of a bloody mary bloodi mari benedict england becaus	1.0
1015624	relevancefeedback.topn10.qld	what s the definition of a bloody mary mari bloodi england	1.0
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	1.0
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	1.0
1015624	sensedisambiguation	What s the Definition of a bloody mary	1.0
1015624	sensedisambiguation.replace	What s the definition of a bloody mary	1.0
1015624	stem.krovetz	what s the definition of a bloody mary	1.0
1015624	stem.paicehusk	what s the definit of a bloody mary	1.0
1015624	stem.porter	what s the definit of a bloodi mari	1.0
1015624	stem.porter2	what s the definit of a bloodi mari	1.0
1015624	stem.sstemmer	what s the definition of a bloody mary	1.0
1015624	tagmee.topn3	s definition bloody mary Papal infallibility Mary I of England	1.0
1015624	termluster.topn5.3.bm25	s definition bloody mary	1.0
1015624	termluster.topn5.3.qld	s definition bloody mary	1.0
1015624	thesaurus.topn3	s definition bloody mary	1.0
1015624	thesaurus.topn3.replace	s definition bloody mary	1.0
1017690	-1	what is the history of indian music?	1.0
1017690	anchor.topn3	history indian music recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi	1.0
1017690	bt_nllb_arabic	What is the history of Indian music	1.0
1017690	bt_nllb_chinese_yue	What is the history of Indian music	1.0
1017690	bt_nllb_french	What is the history of Indian music	1.0
1017690	bt_nllb_german	What is the history of Indian music	1.0
1017690	bt_nllb_korean	What is the history of Indian music	1.0
1017690	bt_nllb_malay	What is the history of Indian music	1.0
1017690	bt_nllb_persian	What is the history of Indian music	1.0
1017690	bt_nllb_russian	What is the history of Indian music	1.0
1017690	bt_nllb_swahili	What is the history of Indian music	1.0
1017690	bt_nllb_tamil	What is the history of Indian music	1.0
1017690	conceptluster.topn5.3.bm25	history indian music	1.0
1017690	conceptluster.topn5.3.qld	history indian music	1.0
1017690	docluster.topn10.3.bm25	what is the history of indian music	1.0
1017690	docluster.topn10.3.qld	what is the history of indian music	1.0
1017690	relevancefeedback.topn10.bm25	what is the history of indian music music myth th can i	1.0
1017690	relevancefeedback.topn10.qld	what is the history of indian music i can tribe muscoota music india have	1.0
1017690	rm3.topn10.10.0.5.bm25	what is the history of indian music?	1.0
1017690	rm3.topn10.10.0.5.qld	what is the history of indian music?	1.0
1017690	sensedisambiguation	what is the history of indian music	1.0
1017690	sensedisambiguation.replace	what is the history of indian music	1.0
1017690	stem.krovetz	what is the history of indian music	1.0
1017690	stem.porter	what is the histori of indian music	1.0
1017690	stem.porter2	what is the histori of indian music	1.0
1017690	stem.sstemmer	what is the history of indian music	1.0
1017690	stem.trunc5	what is the histo of india music	1.0
1017690	tagmee.topn3	history indian music	1.0
1017690	termluster.topn5.3.bm25	history indian music	1.0
1017690	termluster.topn5.3.qld	history indian music	1.0
1017690	thesaurus.topn3	history indian music	1.0
1017690	thesaurus.topn3.replace	history indian music	1.0
1017690	wiki.topn3	history indian music	1.0
1017690	word2vec.topn3	history indian music history india non indian music	1.0
1017690	word2vec.topn3.replace	history india non indian music	1.0
1017690	wordnet.topn3	history indian music account story Native American Amerindic medicine euphony	1.0
1035857	-1	Why are liberals so quick to defend Saddam?	1.0
1035857	anchor.topn3	liberals quick defend saddam ascat quicke quick libero midfield present ngasanya ngasanja iloumi	1.0
1035857	anchor.topn3.replace	liberals ascat quicke quick libero midfield present ngasanya ngasanja iloumi	1.0
1035857	bt_nllb_arabic	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	1.0
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	1.0
1035857	bt_nllb_german	Why are the liberals so quick to defend Saddam	1.0
1035857	bt_nllb_korean	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_malay	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	1.0
1035857	bt_nllb_swahili	Why are liberals so quick to defend Saddam	1.0
1035857	bt_nllb_tamil	Why are liberals so quick to defend Saddam	1.0
1035857	conceptluster.topn5.3.bm25	liberals quick defend saddam modern liberalism united states	1.0
1035857	conceptluster.topn5.3.qld	liberals quick defend saddam modern liberalism united states	1.0
1035857	docluster.topn10.3.bm25	why are liberals so quick to defend saddam	1.0
1035857	docluster.topn10.3.qld	why are liberals so quick to defend saddam	1.0
1035857	glove.topn3	liberals quick defend saddam conservatives easy fast protect hussein iraqi	1.0
1035857	relevancefeedback.topn10.bm25	why are liberals so quick to defend saddam actual i left aclu french liber america answer	1.0
1035857	relevancefeedback.topn10.qld	why are liberals so quick to defend saddam actual answer i we he liber	1.0
1035857	rm3.topn10.10.0.5.bm25	Why are liberals so quick to defend Saddam?	1.0
1035857	rm3.topn10.10.0.5.qld	Why are liberals so quick to defend Saddam?	1.0
1035857	sensedisambiguation	Why are liberals liberal so quick to defend maintain Saddam hussein	1.0
1035857	sensedisambiguation.replace	Why are liberal so quick to maintain hussein	1.0
1035857	stem.krovetz	why are liberal so quick to defend saddam	1.0
1035857	stem.lovins	why ar liber so quick to defens saddam	1.0
1035857	stem.paicehusk	why ar lib so quick to defend saddam	1.0
1035857	stem.porter	why ar liber so quick to defend saddam	1.0
1035857	stem.porter2	whi are liber so quick to defend saddam	1.0
1035857	stem.sstemmer	why are liberal so quick to defend saddam	1.0
1035857	tagmee.topn3	liberals quick defend saddam Modern liberalism in the United States	1.0
1035857	tagmee.topn3.replace	Modern liberalism in the United States	1.0
1035857	termluster.topn5.3.bm25	liberals quick defend saddam	1.0
1035857	termluster.topn5.3.qld	liberals quick defend saddam	1.0
1035857	thesaurus.topn3	liberals quick defend saddam	1.0
1035857	thesaurus.topn3.replace	liberals quick defend saddam	1.0
1035857	wiki.topn3	liberals quick defend saddam social liberalism liberalism thunited states coalition freand open elections modern liberalism united states	1.0
1035857	word2vec.topn3	liberals quick defend saddam conservatives progressives democrats easy swift rapid protect uphold Sadaam sadam hussein	1.0
103830	-1	Why do man Arabs hate the west ?	1.0
103830	anchor.topn3	man arabs hate west man controversi man releas a concepts psychoanalyt hakō west discographi east wjpw cd	1.0
103830	anchor.topn3.replace	man controversi man releas a arabs concepts psychoanalyt hakō west discographi east wjpw cd	1.0
103830	bt_nllb_arabic	Why are Arabs turning to the West	1.0
103830	bt_nllb_chinese_yue	Why do Arabs hate the West	1.0
103830	bt_nllb_french	Why do the Arabs hate the West	1.0
103830	bt_nllb_german	Why do the Arabs hate the West	1.0
103830	bt_nllb_korean	Why do Arabs hate the West	1.0
103830	bt_nllb_malay	Why do Arabs hate the West	1.0
103830	bt_nllb_persian	Why do Arabs hate the West	1.0
103830	bt_nllb_russian	Why do the Arabs hate the West	1.0
103830	bt_nllb_swahili	Why do the Arabs hate the West	1.0
103830	bt_nllb_tamil	Why do the Arabs hate the West	1.0
103830	conceptluster.topn5.3.bm25	man arabs hate west tao western world hate speech human	1.0
103830	conceptluster.topn5.3.qld	man arabs hate west hate speech tao human western world	1.0
103830	conceptnet.topn3	man arabs hate west boy person arabophobia arab people an emotion destroy your enemy a strong emotion	1.0
103830	docluster.topn10.3.bm25	why do man arabs hate the west	1.0
103830	docluster.topn10.3.qld	why do man arabs hate the west	1.0
103830	glove.topn3	man arabs hate west woman person egyptians hatred indeed east north	1.0
103830	relevancefeedback.topn10.bm25	why do man arabs hate the west all you i arab east iraq	1.0
103830	rm3.topn10.10.0.5.bm25	Why do man Arabs hate the west ?	1.0
103830	rm3.topn10.10.0.5.qld	Why do man Arabs hate the west ?	1.0
103830	sensedisambiguation	Why do man world Arabs arabian hate the west	1.0
103830	stem.krovetz	why do man arab hate the west	1.0
103830	stem.lovins	why do man arab hat th west	1.0
103830	stem.paicehusk	why do man arab hat the west	1.0
103830	stem.porter	why do man arab hate the west	1.0
103830	stem.porter2	whi do man arab hate the west	1.0
103830	stem.sstemmer	why do man arab hate the west	1.0
103830	stem.trunc4	why do man arab hate the west	1.0
103830	stem.trunc5	why do man arabs hate the west	1.0
103830	tagmee.topn3	man arabs hate west Tao Human Arabs Hate speech Western world	1.0
103830	tagmee.topn3.replace	Tao Human Arabs Hate speech Western world	1.0
103830	termluster.topn5.3.bm25	man arabs hate west	1.0
103830	termluster.topn5.3.qld	man arabs hate west	1.0
103830	thesaurus.topn3	man arabs hate west	1.0
103830	thesaurus.topn3.replace	man arabs hate west	1.0
103830	wiki.topn3	man arabs hate west zhuang zhou confucianism confucius tao apes humans tool using species human muslim communities asia dhimmi druze arabs hatcrime coercion lgbt social movements hate speech eurocentrism eastern world hegemony western world	1.0
103830	wordnet.topn3	man arabs hate west military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield	1.0
1063812	-1	How do I grow taller?	1.0
1063812	anchor.topn3	grow taller critically gross herbland escalada remedio serigrafia	1.0
1063812	bt_nllb_chinese_yue	How do I grow taller	1.0
1063812	bt_nllb_korean	How can you grow taller	1.0
1063812	bt_nllb_persian	How can I get taller	1.0
1063812	conceptluster.topn5.3.bm25	grow taller	1.0
1063812	conceptluster.topn5.3.qld	grow taller	1.0
1063812	docluster.topn10.3.bm25	how do i grow taller	1.0
1063812	docluster.topn10.3.qld	how do i grow taller	1.0
1063812	glove.topn3	grow taller grown tall bulkier	1.0
1063812	relevancefeedback.topn10.qld	how do i grow taller bright you my taller u	1.0
1063812	rm3.topn10.10.0.5.bm25	How do I grow taller?	1.0
1063812	rm3.topn10.10.0.5.qld	How do I grow taller?	1.0
1063812	sensedisambiguation	How do I grow turn taller tall	1.0
1063812	stem.krovetz	how do i grow tall	1.0
1063812	stem.lovins	how do i grow taller	1.0
1063812	stem.porter	how do i grow taller	1.0
1063812	stem.porter2	how do i grow taller	1.0
1063812	stem.sstemmer	how do i grow taller	1.0
1063812	stem.trunc4	how do i grow tall	1.0
1063812	stem.trunc5	how do i grow talle	1.0
1063812	tagmee.topn3	grow taller	1.0
1063812	termluster.topn5.3.bm25	grow taller	1.0
1063812	termluster.topn5.3.qld	grow taller	1.0
1063812	thesaurus.topn3	grow taller	1.0
1063812	thesaurus.topn3.replace	grow taller	1.0
1063812	wiki.topn3	grow taller	1.0
1063812	word2vec.topn3	grow taller evolve develop tall skinnier stockier	1.0
1063812	wordnet.topn3	grow taller arise spring up grandiloquent tall marvellous	1.0
1077370	-1	Why do only Humans have Finger prints?	1.0
1077370	anchor.topn3	humans finger prints nightbug zfi death small	1.0
1077370	bt_nllb_arabic	Why do only humans have fingerprints	1.0
1077370	bt_nllb_chinese_yue	Why are only humans fingerprinted	1.0
1077370	bt_nllb_french	Why are only humans fingerprinted	1.0
1077370	bt_nllb_malay	Why are only humans fingerprinted	1.0
1077370	bt_nllb_swahili	Why are only humans fingerprinted	1.0
1077370	bt_nllb_tamil	Why do only humans have fingerprints	1.0
1077370	docluster.topn10.3.bm25	why do only humans have finger prints	1.0
1077370	docluster.topn10.3.qld	why do only humans have finger prints	1.0
1077370	relevancefeedback.topn10.bm25	why do only humans have finger prints print all ap don t human differ	1.0
1077370	relevancefeedback.topn10.qld	why do only humans have finger prints fingerprint print hand all human you paper	1.0
1077370	rm3.topn10.10.0.5.bm25	Why do only Humans have Finger prints?	1.0
1077370	rm3.topn10.10.0.5.qld	Why do only Humans have Finger prints?	1.0
1077370	sensedisambiguation	Why do only Humans homo have Finger prints print	1.0
1077370	sensedisambiguation.replace	Why do only homo have finger print	1.0
1077370	stem.krovetz	why do only human have finger print	1.0
1077370	stem.lovins	why do onl human hav finger print	1.0
1077370	stem.porter	why do onli human have finger print	1.0
1077370	stem.porter2	whi do onli human have finger print	1.0
1077370	stem.sstemmer	why do only human have finger print	1.0
1077370	tagmee.topn3.replace	Human body Fingerprint	1.0
1077370	termluster.topn5.3.bm25	humans finger prints	1.0
1077370	termluster.topn5.3.qld	humans finger prints	1.0
1077370	thesaurus.topn3	humans finger prints	1.0
1077370	thesaurus.topn3.replace	humans finger prints	1.0
1077370	word2vec.topn3	humans finger prints animals beings forefinger pinkie lithographs	1.0
1077370	wordnet.topn3	humans finger prints mankind digit feel finger s breadth impress publish mark	1.0
1082595	-1	what is meant by mobile technology?	0.5
1082595	bertqe.topn10.qld	differ techlog than t mobil	1.0
1082595	bt_nllb_arabic	What does mobile technology mean	1.0
1082595	bt_nllb_chinese_yue	What does mobile technology mean	1.0
1082595	bt_nllb_french	What does mobile technology mean	1.0
1082595	bt_nllb_german	What does mobile technology mean	1.0
1082595	bt_nllb_korean	What is mobile technology	1.0
1082595	bt_nllb_malay	What does mobile technology mean	1.0
1082595	bt_nllb_persian	What does mobile technology mean	1.0
1082595	bt_nllb_russian	What does mobile technology mean	1.0
1082595	bt_nllb_swahili	what is mobile technology	1.0
1082595	bt_nllb_tamil	What is mobile technology	1.0
1082595	conceptnet.topn3.replace	ploughland meaned cell Mobile River automotive technology	1.0
1082595	glove.topn3	meant mobile technology intended merely phones phone tech	1.0
1082595	relevancefeedback.topn10.bm25	what is meant by mobile technology develop mobil cellular can gsm cingular phone i featur	1.0
1082595	relevancefeedback.topn10.qld	what is meant by mobile technology develop commerc bluetooth phone can gsm oil data cingular	1.0
1082595	sensedisambiguation.replace	what is think of by mobile technology	1.0
1082595	anchor.topn3	meant mobile technology be television nice petey kyōrinrin harh	0.5
1082595	conceptluster.topn5.3.bm25	meant mobile technology	0.5
1082595	conceptluster.topn5.3.qld	meant mobile technology	0.5
