,qid,order,query,bm25.map
0,701,-1,U.S. oil industry history,0.0025
1,701,bt_nllb_german,The history of the US oil industry,0.0505
2,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.0396
3,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.027
4,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.025
5,701,bt_bing_arabic,History of the American oil industry,0.0153
6,701,bt_nllb_arabic,The history of the American oil industry,0.0153
7,701,bt_nllb_french,The history of the American oil industry,0.0153
8,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.004
9,701,tagmee.topn3,u s oil industry history Petroleum,0.004
10,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0037
11,701,wiki.topn3,u s oil industry history glassforming liquids melts oil natural gas petroleum,0.0032
12,702,-1,Pearl farming,0.0199
13,702,bt_bing_tamil,Pearl culture,0.1764
14,702,termluster.topn5.3.qld,pearl farming product fish,0.1033
15,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.069
16,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.0614
17,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.029
18,702,tagmee.topn3.replace,Pearl,0.027
19,702,docluster.topn10.3.qld,pearl farming farm,0.0231
20,702,tagmee.topn3,pearl farming Pearl,0.0218
21,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.0207
22,704,-1,Green party political views,0.0575
23,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.1084
24,704,docluster.topn10.3.qld,green party political views parti,0.0962
25,704,relevancefeedback.topn10.qld,green party political views parti,0.0962
26,704,rm3.topn10.10.0.5.qld,green party political views parti,0.0962
27,705,-1,Iraq foreign debt reduction,0.1226
28,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,0.2779
29,705,tagmee.topn3.replace,Iraq External debt Debt,0.2512
30,705,stem.trunc5,iraq forei debt reduc,0.2441
31,705,bt_nllb_malay,Reduction of external debt to Iraq,0.2287
32,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,0.2229
33,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,0.1834
34,705,bt_bing_persian,Reducing Iraq s External Debt,0.1818
35,705,bt_nllb_russian,Reducing Iraq s external debt,0.1818
36,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,0.1759
37,705,bt_bing_arabic,Iraq s external debt reduction,0.1743
38,705,bt_bing_french,Reduction of Iraq s external debt,0.1743
39,705,bt_bing_german,Reduction of Iraq s external debt,0.1743
40,705,bt_bing_russian,Reduction of Iraq s external debt,0.1743
41,705,bt_nllb_french,Reduction of Iraq s external debt,0.1743
42,705,stem.trunc4,iraq fore debt redu,0.1632
43,705,conceptluster.topn5.3.qld,iraq foreign debt reduction debt external debt,0.1525
44,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,0.1501
45,706,-1,Controlling type II diabetes,0.025
46,706,sensedisambiguation.replace,see type two diabetes,0.0438
47,706,bt_bing_korean,Type Diabetes Control,0.0398
48,706,bt_nllb_arabic,Control of type diabetes,0.0398
49,706,bt_nllb_chinese_yue,Control of type diabetes,0.0398
50,706,bt_nllb_korean,Control of type diabetes,0.0398
51,706,bt_nllb_persian,Control of type diabetes,0.0398
52,706,docluster.topn10.3.qld,controlling type ii diabetes diabet,0.0301
53,706,rm3.topn10.10.0.5.bm25,controlling type ii diabetes diabet,0.0301
54,706,sensedisambiguation,Controlling see type II two diabetes,0.0277
55,707,-1,Aspirin cancer prevention,0.1885
56,707,termluster.topn5.3.qld,aspirin cancer prevention cancer colon effect aspirin colon effect studi screen risk,0.3019
57,707,conceptluster.topn5.3.qld,aspirin cancer prevention cancer cancer prevention,0.2383
58,707,tagmee.topn3.replace,Aspirin Cancer Cancer prevention,0.2026
59,707,tagmee.topn3,aspirin cancer prevention Aspirin Cancer Cancer prevention,0.1947
60,708,-1,Decorative slate sources,0.1026
61,708,relevancefeedback.topn10.qld,decorative slate sources stone roof,0.1226
62,709,-1,Horse racing jockey weight,0.6481
