qid	order	query	qld.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.3464
1015624	-1	What's the Definition of a bloody mary?	0.7924
1017690	-1	what is the history of indian music?	0.5123
1035857	-1	Why are liberals so quick to defend Saddam?	0.5941
103830	-1	Why do man Arabs hate the west ?	0.4862
1063812	-1	How do I grow taller?	0.6383
1077370	-1	Why do only Humans have Finger prints?	0.6154
1082595	-1	what is meant by mobile technology?	0.5169
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.5809
1152934	-1	Why don't fat people have to pay more for air travel?	0.178
1167882	-1	What are the different types of sins and how are they caused?	0.207
1199639	-1	How to "LOSE"all body fat ?	0.4726
1254390	-1	how do i deap fry chicken?	0.5026
1262692	-1	How can I get rid of pimples on my back?	0.5267
1282199	-1	how can I hide the cuts on my wrists?	0.3086
1287437	-1	how can i lose 30 pounds by june3?	0.2397
1290612	-1	why do anxiety and depression seem to coexist?	0.5557
1292734	-1	what color you like the most and why?	0.0473
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	0.421
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	0.3319
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	0.2769
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.1852
143833	-1	What is the difference between coolant and anti-freeze?	0.7246
1459749	-1	Why don't I have an asthma attack during sex?	0.3797
1477322	-1	Why do people say Germans are racists?	0.2658
1502604	-1	how do crooks  make  fake   passports  ?	0.351
1509982	-1	How is th Chemistry is a basic of Science?	0.7712
1582877	-1	why do we go to school if in the real world we dont use most of it?	0.1344
159716	-1	How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?	0.3186
1607728	-1	what causes gray facial hair in men?	0.6686
1623623	-1	How do you improve fuel efficiency of a 2004, Ford Ikon?	0.3281
1663853	-1	what is a wet dream?	0.6465
1702151	-1	How patient a driver are you?	0.0904
172731	-1	how for is saturn from the sun?	0.5034
1783010	-1	What is Blaphsemy?	0.048
1794677	-1	How can I treat my Acne Scars?	0.7327
1821193	-1	Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?	0.312
1844896	-1	How to cook Angus burgers?	0.7617
1850323	-1	Why some men never wash their hands after using the Urinal/Toilet?	0.3571
1862795	-1	How does spending prolonged time in microgravity affect the bodies of astronauts?	0.4545
1866981	-1	I know how I got here, but how did you?	0.0288
1880028	-1	What does "see Leaflet" mean on Ept Pregnancy test?	0.5914
1937374	-1	how to get 277 V AC ?	0.6275
1944018	-1	Why can't teenagers vote?	0.2477
1957887	-1	How can I hunt down and punch the people that keep spamming me?	0.3221
1964316	-1	What do you mean by "weed"?	0.3954
1968489	-1	Which auto insurance do you use and why?	0.4653
1971899	-1	what is masturbat***?	0.2195
1977054	-1	Couscous is a food from what origin?	0.4735
2008017	-1	why do black people like fried chicken somuch?	0.5052
2018562	-1	Why does my Black Lab howl to "Law and Order" theme song?	0.5905
204633	-1	Why do you have memories?	0.3323
204963	-1	what does 5 by 5 mean?	0.0101
2142044	-1	What do you speculate happened to Natalie Holloway in Aruba?	0.5414
2180086	-1	what are mormens?	0.1701
2182052	-1	why is lemonade at restaurants sometimes different?	0.7142
2192891	-1	how are braces put on and do they hurt a lot?	0.5852
224109	-1	what is citriscidal?	0.0
225575	-1	what does 'wet behind the ears' mean?	0.5467
2290758	-1	Why do people ask questions they know?	0.0746
2291272	-1	How is Catholicism not Christianity?	0.5201
229303	-1	Why  is  the   war continuing  in  Afghanistan?	0.5827
2307305	-1	Why do man rape little girls?	0.5124
2309774	-1	Why do I keep seeing people on here 'dissing' on the soldiers in Iraq?	0.4539
23464	-1	why girls are beautiful?	0.6027
2380990	-1	Why am I alive?	0.1504
2382487	-1	what do i do if i have not started my period in like almost 6 months?	0.1787
2418598	-1	why do wisdom varies from person to person?	0.4086
2443586	-1	What is a Bro?	0.3905
2446614	-1	how could u get success?	0.4556
2452795	-1	How can I heat the water within a 150 gal tank that's open to the atmosphere in Feb.?	0.2856
2479423	-1	Why is there brail on the keypads at drive up ATM's?	0.8112
2484180	-1	why do people judge a dog by what he looks like?	0.194
2528767	-1	How do I determine the charge of the iron ion in FeCl3?	0.4204
2529114	-1	since i have premature ejaculation problem, how to satisfy my girl?	0.6243
2539741	-1	what cause the car to have white smoke coming from the muffler and making a kicking or knocking sounds?	0.2619
2551845	-1	Why is GW dogged for not getting OBL yet killing Zarkawi is a non-event?	0.4074
