qid	order	query	qld.map
301	-1	International Organized Crime	0.0104
301	glove.topn3	international organized crime global which organised criminal	0.0203
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0194
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0156
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0135
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0134
301	bt_bing_arabic	International organized crime	0.0104
301	bt_bing_chinese_simplified	International Organized Crime	0.0104
301	bt_bing_french	International Organized Crime	0.0104
301	bt_bing_german	International Organized Crime	0.0104
301	bt_bing_korean	International Organized Crime	0.0104
301	bt_bing_persian	International Organized Crime	0.0104
301	bt_bing_russian	International organized crime	0.0104
301	bt_bing_tamil	International organized crime	0.0104
301	bt_nllb_arabic	International organized crime	0.0104
301	bt_nllb_chinese_yue	International organized crime	0.0104
301	bt_nllb_french	International organized crime	0.0104
301	bt_nllb_korean	International organized crime	0.0104
301	bt_nllb_persian	International organized crime	0.0104
301	bt_nllb_russian	International organized crime	0.0104
301	bt_nllb_tamil	International organized crime	0.0104
301	docluster.topn10.3.bm25	international organized crime	0.0104
301	docluster.topn10.3.qld	international organized crime	0.0104
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.0104
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.0104
301	stem.krovetz	international organized crime	0.0104
301	stem.porter2	intern organ crime	0.0104
301	stem.sstemmer	international organized crime	0.0104
301	termluster.topn5.3.bm25	international organized crime	0.0104
301	termluster.topn5.3.qld	international organized crime	0.0104
301	thesaurus.topn3	international organized crime	0.0104
301	thesaurus.topn3.replace	international organized crime	0.0104
302	-1	Poliomyelitis and Post-Polio	0.5115
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.5762
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.5478
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.5277
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.518
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.5115
302	bt_bing_chinese_simplified	Poliomyelitis and post polio	0.5115
302	bt_bing_german	Poliomyelitis and post polio	0.5115
302	bt_bing_swahili	Poliomyelitis and post polio	0.5115
302	conceptnet.topn3	poliomyelitis post polio	0.5115
302	conceptnet.topn3.replace	poliomyelitis post polio	0.5115
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.5115
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.5115
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.5115
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.5115
302	sensedisambiguation	Poliomyelitis and Post Polio	0.5115
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.5115
302	stem.krovetz	poliomyeliti and post polio	0.5115
302	stem.porter	poliomyel and post polio	0.5115
302	stem.porter2	poliomyel and post polio	0.5115
302	stem.sstemmer	poliomyeliti and post polio	0.5115
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.5115
302	termluster.topn5.3.qld	poliomyelitis post polio	0.5115
302	thesaurus.topn3	poliomyelitis post polio	0.5115
302	thesaurus.topn3.replace	poliomyelitis post polio	0.5115
303	-1	Hubble Telescope Achievements	0.1915
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.2933
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.2863
303	bt_nllb_swahili	The results of the Hubble Telescope	0.2495
303	wordnet.topn3	hubble telescope achievements Edwin Hubble Edwin Powell Hubble scope accomplishment	0.1966
303	anchor.topn3	hubble telescope achievements	0.1915
303	anchor.topn3.replace	hubble telescope achievements	0.1915
303	bt_bing_arabic	Achievements of the Hubble Telescope	0.1915
303	bt_bing_chinese_simplified	Hubble Telescope Achievement	0.1915
303	bt_bing_french	Achievements of the Hubble Telescope	0.1915
303	bt_bing_german	Achievements of the Hubble Telescope	0.1915
303	bt_bing_korean	Hubble Telescope Achievements	0.1915
303	bt_bing_malay	Hubble Telescope Achievements	0.1915
303	bt_bing_russian	Achievements of the Hubble Telescope	0.1915
303	bt_bing_tamil	Achievements of the Hubble telescope	0.1915
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_french	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_german	Achievements of the Hubble Telescope	0.1915
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.1915
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.1915
303	docluster.topn10.3.bm25	hubble telescope achievements	0.1915
303	docluster.topn10.3.qld	hubble telescope achievements	0.1915
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.1915
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.1915
303	stem.krovetz	hubble telescope achievement	0.1915
303	stem.lovins	hubbl telescop achievement	0.1915
303	stem.paicehusk	hubbl telescop achiev	0.1915
303	stem.porter	hubbl telescop achiev	0.1915
303	stem.porter2	hubbl telescop achiev	0.1915
303	stem.sstemmer	hubble telescope achievement	0.1915
303	termluster.topn5.3.bm25	hubble telescope achievements	0.1915
303	termluster.topn5.3.qld	hubble telescope achievements	0.1915
303	thesaurus.topn3	hubble telescope achievements	0.1915
303	thesaurus.topn3.replace	hubble telescope achievements	0.1915
304	-1	Endangered Species (Mammals)	0.037
304	bt_nllb_swahili	Endangered Species Animals	0.0606
304	bt_nllb_chinese_yue	They are endangered	0.0513
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.0471
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.0471
304	bt_bing_malay	Endangered Species Mamalia	0.0457
304	bt_nllb_korean	Endangered species	0.0457
304	stem.lovins	endanger speci mam	0.0455
304	stem.paicehusk	endang specy mam	0.0455
304	bt_nllb_persian	Endangered species clover	0.04
304	bt_bing_arabic	Endangered species mammals	0.037
304	bt_bing_chinese_simplified	Endangered species mammals	0.037
304	bt_bing_german	Endangered species mammals	0.037
304	bt_bing_korean	Endangered species mammals	0.037
304	bt_bing_russian	Endangered species mammals	0.037
304	bt_bing_swahili	Endangered species mammals	0.037
304	bt_bing_tamil	Endangered species mammals	0.037
304	bt_nllb_arabic	Endangered species mammals	0.037
304	bt_nllb_french	Endangered species mammal	0.037
304	bt_nllb_german	Endangered species mammal	0.037
304	bt_nllb_malay	Endangered species mammal	0.037
304	docluster.topn10.3.bm25	endangered species mammals	0.037
304	docluster.topn10.3.qld	endangered species mammals	0.037
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	0.037
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	0.037
304	stem.krovetz	endanger species mammal	0.037
304	stem.porter	endang speci mammal	0.037
304	stem.porter2	endang speci mammal	0.037
304	stem.sstemmer	endangered specy mammal	0.037
304	tagmee.topn3	endangered species mammals Endangered species Mammal	0.037
304	tagmee.topn3.replace	Endangered species Mammal	0.037
304	termluster.topn5.3.bm25	endangered species mammals	0.037
304	termluster.topn5.3.qld	endangered species mammals	0.037
304	thesaurus.topn3	endangered species mammals	0.037
304	thesaurus.topn3.replace	endangered species mammals	0.037
305	-1	Most Dangerous Vehicles	0.0044
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0173
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0173
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0159
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0098
305	termluster.topn5.3.bm25	dangerous vehicles	0.0071
305	termluster.topn5.3.qld	dangerous vehicles	0.0071
305	thesaurus.topn3	dangerous vehicles	0.0071
305	thesaurus.topn3.replace	dangerous vehicles	0.0071
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.006
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0059
305	tagmee.topn3.replace	Risk Vehicle	0.0051
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0049
305	bt_bing_arabic	The most dangerous vehicles	0.0044
305	bt_bing_chinese_simplified	The most dangerous vehicles	0.0044
305	bt_bing_french	Most Dangerous Vehicles	0.0044
305	bt_bing_german	The Most Dangerous Vehicles	0.0044
305	bt_bing_korean	The most dangerous vehicles	0.0044
305	bt_bing_malay	Most Dangerous Vehicles	0.0044
305	bt_bing_persian	The Most Dangerous Vehicles	0.0044
305	bt_bing_russian	The Most Dangerous Vehicles	0.0044
305	bt_nllb_french	The most dangerous vehicles	0.0044
305	bt_nllb_german	Most dangerous vehicles	0.0044
305	bt_nllb_korean	The most dangerous vehicle	0.0044
305	bt_nllb_malay	The Most Dangerous Vehicle	0.0044
305	bt_nllb_persian	The most dangerous vehicles	0.0044
305	bt_nllb_russian	The most dangerous vehicles	0.0044
305	bt_nllb_tamil	The most dangerous vehicles	0.0044
305	docluster.topn10.3.bm25	most dangerous vehicles	0.0044
305	docluster.topn10.3.qld	most dangerous vehicles	0.0044
305	rm3.topn10.10.0.5.bm25	Most Dangerous Vehicles	0.0044
305	rm3.topn10.10.0.5.qld	Most Dangerous Vehicles	0.0044
305	sensedisambiguation.replace	Most dangerous vehicle	0.0044
305	stem.krovetz	most dangerous vehicle	0.0044
305	stem.lovins	most danger vehicl	0.0044
305	stem.porter	most danger vehicl	0.0044
305	stem.porter2	most danger vehicl	0.0044
305	stem.sstemmer	most dangerous vehicle	0.0044
306	-1	African Civilian Deaths	0.0527
306	bt_bing_arabic	African civilian deaths	0.0527
306	bt_bing_french	Deaths of African civilians	0.0527
306	bt_bing_korean	African Civilian Deaths	0.0527
306	bt_bing_malay	Death of African Civilians	0.0527
306	bt_bing_persian	Deaths of African Civilians	0.0527
306	bt_bing_swahili	Deaths of African civilians	0.0527
306	bt_nllb_french	The deaths of African civilians	0.0527
306	bt_nllb_german	African civilian deaths	0.0527
306	docluster.topn10.3.bm25	african civilian deaths	0.0527
306	docluster.topn10.3.qld	african civilian deaths	0.0527
306	rm3.topn10.10.0.5.bm25	African Civilian Deaths	0.0527
306	rm3.topn10.10.0.5.qld	African Civilian Deaths	0.0527
306	stem.porter	african civilian death	0.0527
306	stem.porter2	african civilian death	0.0527
306	stem.sstemmer	african civilian death	0.0527
306	termluster.topn5.3.bm25	african civilian deaths	0.0527
306	termluster.topn5.3.qld	african civilian deaths	0.0527
306	thesaurus.topn3	african civilian deaths	0.0527
306	thesaurus.topn3.replace	african civilian deaths	0.0527
307	-1	New Hydroelectric Projects	0.2124
307	tagmee.topn3	new hydroelectric projects Hydroelectricity Project	0.214
307	tagmee.topn3.replace	Hydroelectricity Project	0.2136
307	bt_bing_french	New hydroelectric projects	0.2124
307	bt_bing_malay	New Hydroelectric Project	0.2124
307	bt_nllb_chinese_yue	New hydroelectric projects	0.2124
307	bt_nllb_french	New hydroelectric projects	0.2124
307	bt_nllb_malay	New Hydroelectric Project	0.2124
307	bt_nllb_persian	New projects for hydroelectricity	0.2124
307	bt_nllb_russian	New hydroelectric projects	0.2124
307	bt_nllb_tamil	New hydroelectric projects	0.2124
307	docluster.topn10.3.bm25	new hydroelectric projects	0.2124
307	docluster.topn10.3.qld	new hydroelectric projects	0.2124
307	rm3.topn10.10.0.5.bm25	New Hydroelectric Projects	0.2124
307	rm3.topn10.10.0.5.qld	New Hydroelectric Projects	0.2124
307	stem.krovetz	new hydroelectric project	0.2124
307	stem.lovins	new hydroelectr project	0.2124
307	stem.porter	new hydroelectric project	0.2124
307	stem.porter2	new hydroelectr project	0.2124
307	stem.sstemmer	new hydroelectric project	0.2124
307	termluster.topn5.3.bm25	new hydroelectric projects	0.2124
307	termluster.topn5.3.qld	new hydroelectric projects	0.2124
307	thesaurus.topn3	new hydroelectric projects	0.2124
307	thesaurus.topn3.replace	new hydroelectric projects	0.2124
308	-1	Implant Dentistry	0.2812
308	bt_bing_arabic	Dental implants	0.5
308	bt_bing_persian	Dental implant	0.5
308	bt_bing_swahili	Dental implants	0.5
308	bt_nllb_german	Implant teeth	0.5
308	bt_nllb_malay	Dental Implantation	0.5
308	bt_nllb_persian	Dental implant	0.5
308	conceptluster.topn5.3.bm25	implant dentistry dental implant	0.5
308	conceptluster.topn5.3.qld	implant dentistry dental implant	0.5
308	word2vec.topn3.replace	implant dental dentists	0.5
308	wiki.topn3	implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry	0.3333
