qid	order	query	qld.ndcg
1	-1	obama family tree	0.0
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	0.5791
1	anchor.topn3	obama family tree barack obama strichnocera mekubetzet tree stern s diatomic sequ ssm a	0.5102
1	tagmee.topn3	obama family tree Family of Barack Obama	0.4961
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.4911
1	conceptluster.topn5.3.bm25	obama family tree family barack obama death cellulos carbon restringido video	0.4871
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.4777
1	word2vec.topn3	obama family tree bama barack relatives tree	0.4409
1	glove.topn3	obama family tree barack mccain father pine	0.4352
1	anchor.topn3.replace	barack obama strichnocera family mekubetzet tree stern s diatomic sequ ssm a	0.4326
1	conceptnet.topn3	obama family tree Barack Hussein Obama obamaton obamacrat home group branch squirrel wood	0.4114
1	tagmee.topn3.replace	Family of Barack Obama	0.3863
1	word2vec.topn3.replace	bama barack relatives tree	0.0104
1	sensedisambiguation.replace	obama syndicate tree	0.0052
10	-1	cheap internet	0.0925
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	0.2071
10	word2vec.topn3.replace	inexpensive low cost online intenet	0.1977
11	-1	gmat prep classes	0.4591
11	termluster.topn5.3.qld	gmat prep classes git object	0.4969
11	docluster.topn10.3.qld	gmat prep classes git object trivia	0.4709
12	-1	djs	0.1453
13	-1	map	0.1872
14	-1	dinosaurs	0.1014
15	-1	espn sports	0.2573
16	-1	arizona game and fish	0.2218
16	tagmee.topn3.replace	Arizona Arizona Game and Fish Department Fish	0.2275
17	-1	poker tournaments	0.1685
17	sensedisambiguation	poker tournaments tournament	0.1723
18	-1	wedding budget calculator	0.2013
19	-1	the current	0.0
2	-1	french lick resort and casino	0.3379
2	conceptluster.topn5.3.bm25	french lick resort casino casino french lick resort casino french lick indiana	0.3601
2	conceptluster.topn5.3.qld	french lick resort casino french lick resort casino casino french lick indiana	0.3601
2	tagmee.topn3	french lick resort casino French Lick Indiana French Lick Resort Casino Casino	0.3601
2	tagmee.topn3.replace	French Lick Indiana French Lick Resort Casino Casino	0.3576
20	-1	defender	0.0
21	-1	volvo	0.3279
21	conceptluster.topn5.3.bm25	volvo volvo lick casino french	0.3313
22	-1	rick warren	0.4528
23	-1	yahoo	0.0
23	wiki.topn3	yahoo alibaba group websites company companies based sunnyvale california yahoo	0.1112
23	wiki.topn3.replace	alibaba group websites company companies based sunnyvale california yahoo	0.0955
23	bt_nllb_chinese_yue	Yahoo is a website	0.0363
24	-1	diversity	0.1965
25	-1	euclid	0.1898
26	-1	lower heart rate	0.2568
26	tagmee.topn3	lower heart rate Mandible Heart rate	0.2736
27	-1	starbucks	0.1816
28	-1	inuyasha	0.1451
28	anchor.topn3	inuyasha sesshomaru totosai kikyo	0.1831
28	anchor.topn3.replace	sesshomaru totosai kikyo	0.1525
29	-1	ps 2 games	0.1463
3	-1	getting organized	0.3127
30	-1	diabetes education	0.21
31	-1	atari	0.375
32	-1	website design hosting	0.1555
