qid	order	query	bm25.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
100653	bt_nllb_arabic	How do I get copies of the letters of encouragement I sent her from the city of San Diego	0.5492
100653	bt_nllb_french	How do I get copies of congratulatory letters sent by the city of San Diego	0.5407
100653	bt_nllb_russian	How can I get copies of the complimentary letters sent to me from the city of San Diego	0.4917
100653	bt_nllb_korean	How do we get compliments from the city of San Diego	0.4889
100653	bt_nllb_persian	How do I get the mail from San Diego City that s been sent to me	0.4736
100653	bt_nllb_malay	How do I get a copy of the letter of credit sent from the city of San Diego	0.4395
100653	bt_nllb_swahili	How can I get copies of congratulatory letters from San Diego	0.4348
100653	bt_nllb_chinese_yue	How do I get letters from San Diego	0.4188
100653	bt_nllb_german	How do I get copies of the San Diego letter of credit	0.3959
100653	bt_nllb_tamil	How can I get copies of congratulatory letters sent to me from San Diego	0.3954
1015624	-1	What's the Definition of a bloody mary?	0.735
1015624	bt_nllb_german	What s the definition of a fucking Mary	0.0161
1015624	bt_nllb_french	What s the definition of a holy Mary	0.0153
1015624	bt_nllb_chinese_yue	What is the definition of a virgin	0.0
1017690	-1	what is the history of indian music?	0.6874
1035857	-1	Why are liberals so quick to defend Saddam?	0.544
1035857	bt_nllb_french	Why are the Liberals defending Saddam so fast	0.4955
1035857	bt_nllb_chinese_yue	Why did liberals defend Saddam so quickly	0.4538
1035857	bt_nllb_russian	Why are the liberals protecting Saddam so quickly	0.3342
1035857	bt_nllb_persian	Why are the liberals defending my voice so quickly	0.1098
103830	-1	Why do man Arabs hate the west ?	0.6497
103830	bt_nllb_arabic	Why are Arabs turning to the West	0.4037
1063812	-1	How do I grow taller?	0.5694
1063812	bt_nllb_malay	How can I be taller	0.3654
1063812	bt_nllb_swahili	How can I be taller	0.3654
1063812	bt_nllb_persian	How can I get taller	0.3124
1063812	bt_nllb_arabic	How do I get to the height	0.0514
1063812	bt_nllb_french	How can I get bigger	0.0
1063812	bt_nllb_german	How do I get bigger	0.0
1063812	bt_nllb_russian	How can I grow up	0.0
1063812	bt_nllb_tamil	How can I get high	0.0
1077370	-1	Why do only Humans have Finger prints?	0.6868
1077370	bt_nllb_arabic	Why do only humans have fingerprints	0.3246
1077370	bt_nllb_tamil	Why do only humans have fingerprints	0.3246
1077370	bt_nllb_chinese_yue	Why are only humans fingerprinted	0.2605
1077370	bt_nllb_french	Why are only humans fingerprinted	0.2605
1077370	bt_nllb_malay	Why are only humans fingerprinted	0.2605
1077370	bt_nllb_swahili	Why are only humans fingerprinted	0.2605
1077370	bt_nllb_korean	Why is it that only humans have fingerprints	0.2502
1077370	bt_nllb_russian	Why are only people having fingerprints	0.177
1077370	bt_nllb_german	Why are only people fingerprinted	0.1489
1077370	bt_nllb_persian	Why do only humans have fingers	0.0307
1082595	-1	what is meant by mobile technology?	0.5763
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	0.7277
1119420	bt_nllb_swahili	Well black light is UV light So if it s black how can it be light	0.7274
1119420	bt_nllb_german	The black light is UV light so if it s black how can it be light	0.7163
1119420	bt_nllb_french	Black light is UV If it s black how can it be light	0.6927
1119420	bt_nllb_persian	So black light is UV light so if it s black how can it be light	0.676
1119420	bt_nllb_chinese_yue	Black light is ultraviolet light so if it s black why is it light	0.4852
1119420	bt_nllb_russian	Well black light is ultraviolet light so if it s black how can it be light	0.4556
1119420	bt_nllb_korean	So black light is ultraviolet so if it s black how can it be light	0.385
1119420	bt_nllb_malay	So if it s black how can it be light	0.1793
1119420	bt_nllb_tamil	So if it s black how can it be light	0.1793
1152934	-1	Why don't fat people have to pay more for air travel?	0.479
1152934	bt_nllb_persian	Why don t fat people have to pay so much for air travel	0.4738
1152934	bt_nllb_korean	Why don t obese people pay more for airplanes	0.348
1152934	bt_nllb_french	Why don t the big guys pay more for the thefts	0.3156
1152934	bt_nllb_chinese_yue	Why don t obese people spend more on planes	0.3105
1152934	bt_nllb_swahili	Why should older people not pay more for air travel	0.2409
1152934	bt_nllb_tamil	Why do fat people not have to pay more for air travel	0.2353
1152934	bt_nllb_arabic	Why shouldn t fat people be allowed to pay more to fly	0.1022
1167882	-1	What are the different types of sins and how are they caused?	0.3019
1167882	bt_nllb_german	What are the different kinds of sins and how are they caused	0.2429
1167882	bt_nllb_korean	What kind of sin is it and how does it occur	0.1989
1167882	bt_nllb_arabic	What are the different types of sins and how do they cause them	0.1868
1167882	bt_nllb_tamil	What is sin and how does it occur	0.0865
1167882	bt_nllb_chinese_yue	What kind of sin what causes it	0.0824
1167882	bt_nllb_french	What are the different types of sins and how do they result	0.0743
1167882	bt_nllb_persian	What are the different types of sins and how do they result	0.0743
1167882	bt_nllb_russian	What are the different sins and how do they occur	0.0454
1167882	bt_nllb_swahili	What are the kinds of sins and how do they result	0.0288
1199639	-1	How to "LOSE"all body fat ?	0.6702
1199639	bt_nllb_persian	How do I lose all my body fat	0.6687
1199639	bt_nllb_korean	How do you lose all the fat in your body	0.643
1199639	bt_nllb_german	How can you lose all the body fat	0.6174
1199639	bt_nllb_swahili	How can you lose all body fat	0.6174
1199639	bt_nllb_tamil	How can you lose body fat	0.5908
1199639	bt_nllb_malay	How do you MEDIATE all the body fat	0.433
1199639	bt_nllb_arabic	How do you check all the fat in your body	0.4289
1254390	-1	how do i deap fry chicken?	0.4707
1254390	bt_nllb_french	How do you fry chicken	0.4555
1254390	bt_nllb_korean	How do you fry chicken	0.4555
1254390	bt_nllb_swahili	How do I deap fried chicken	0.4464
1254390	bt_nllb_persian	How do I fry chicken	0.4389
1254390	bt_nllb_arabic	How do I feed fried chicken	0.3647
1254390	bt_nllb_tamil	How do I get the yellow fried chicken	0.3523
1254390	bt_nllb_russian	How do I bake chicken	0.104
1254390	bt_nllb_german	How do I make the chicken	0.0909
1254390	bt_nllb_chinese_yue	How do I eat chicken	0.0
1262692	-1	How can I get rid of pimples on my back?	0.4722
1262692	bt_nllb_arabic	How can I get rid of bugs on my back	0.0
1262692	bt_nllb_chinese_yue	How can I get rid of my back	0.0
1262692	bt_nllb_french	How do I get rid of buttons on my back	0.0
1262692	bt_nllb_korean	How do you get rid of this thing on your back	0.0
1262692	bt_nllb_malay	How can I get rid of the acne in my back	0.0
1262692	bt_nllb_persian	How do I get rid of my back pain	0.0
1262692	bt_nllb_russian	How do you get rid of the spleen	0.0
1262692	bt_nllb_swahili	How can I remove the sores on my back	0.0
1262692	bt_nllb_tamil	How can I get rid of the worms in my back	0.0
1282199	-1	how can I hide the cuts on my wrists?	0.3831
1282199	bt_nllb_french	How do I hide the cuts on my wrists	0.3624
1282199	bt_nllb_arabic	How do I hide my wrists	0.1146
1282199	bt_nllb_malay	How can I hide the wound in my wrist	0.1136
1282199	bt_nllb_korean	How can we hide the torn wounds in the wrist	0.1129
1282199	bt_nllb_persian	How can I hide my hand cuts	0.0601
1282199	bt_nllb_chinese_yue	How can I hide the scar on my wrist	0.0565
1282199	bt_nllb_swahili	How can I hide my hand wounds	0.0
1287437	-1	how can i lose 30 pounds by june3?	0.3099
1287437	bt_nllb_chinese_yue	How can I lose pounds by June rd	0.2846
1287437	bt_nllb_french	How can I lose pounds before June rd	0.2572
1287437	bt_nllb_korean	How can we cut pounds by June	0.0637
1290612	-1	why do anxiety and depression seem to coexist?	0.6994
1290612	bt_nllb_swahili	why anxiety and depression seem to be linked	0.6916
1290612	bt_nllb_korean	Why do you think anxiety and depression exist together	0.6558
1290612	bt_nllb_malay	Why do anxiety and depression seem to migrate	0.6549
1290612	bt_nllb_chinese_yue	Why does anxiety and depression seem to be the same thing	0.5078
1290612	bt_nllb_arabic	Why do anxiety and depression seem to go hand in hand	0.3498
1290612	bt_nllb_russian	Why do anxiety and depression go hand in hand	0.3129
1290612	bt_nllb_tamil	Why do anxiety and depression go hand in hand	0.3129
1290612	bt_nllb_persian	Why do thinking and depression interact	0.0546
1290612	bt_nllb_german	Why do fear and depression seem to be linked	0.0359
1292734	-1	what color you like the most and why?	0.0993
1292734	bt_nllb_french	What color do you prefer and why	0.0753
1292734	bt_nllb_tamil	What do you like and why	0.0043
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	0.6639
1340574	bt_nllb_korean	Why do some people go to church on Easter Sunday and not go back until Christmas	0.6618
1340574	bt_nllb_french	Why do some people only go to church on Easter Sunday and never go back before Christmas	0.654
1340574	bt_nllb_german	Why do some people only go to church on Easter Sunday and not until Christmas	0.624
1340574	bt_nllb_persian	Why do some people only go to church on Easter Sunday and not until Christmas	0.624
1340574	bt_nllb_tamil	Why do some people not return to church until Christmas to go to church only on Easter Sundays	0.6191
1340574	bt_nllb_russian	Why do some people go to church only on Easter Sunday and never go back to church before Christmas	0.6045
1340574	bt_nllb_chinese_yue	Why do some people go to church only on Easter and not before Christmas	0.5294
1340574	bt_nllb_swahili	Why do some people go to church only on Easter and not until Christmas	0.5226
1340574	bt_nllb_arabic	Why do some people go to church only on Sunday and not go back until Christmas	0.4992
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	0.399
