,qid,order,query,bm25.map
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,0.491
1,100653,stem.porter,how do i go about gett copi of letter of commend prsent to me from citi of san diego,0.4877
2,100653,bt_bing_chinese_simplified,How do I get a copy of the letter of commendation that the City of San Diego sent me,0.4876
3,100653,bt_bing_tamil,How do I get copies of appreciation letters sent to me from the city of San Diego,0.4869
4,100653,anchor.topn3,go getting copies letters commendation prsented city san diego c yalag noise a go teeley pyszczynski hnatiw royal san baghdatí srisamart vahinetua,0.4643
5,100653,conceptluster.topn5.3.bm25,go getting copies letters commendation prsented city san diego ignatius antioch san diego go film commendation ceremony getting,0.4606
6,100653,conceptluster.topn5.3.qld,go getting copies letters commendation prsented city san diego go film commendation ceremony san diego getting ignatius antioch,0.4606
7,100653,stem.paicehusk,how do i go about get cop of let of commend prsent to me from city of san diego,0.45
8,100653,tagmee.topn3,go getting copies letters commendation prsented city san diego Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.4465
9,100653,sensedisambiguation.replace,how do I travel about experience transcript of letter of citation prsented to me from city of san diego,0.4449
10,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.4403
11,100653,bt_nllb_arabic,How do I get copies of the letters of encouragement I sent her from the city of San Diego,0.4396
12,100653,relevancefeedback.topn10.bm25,how do i go about getting copies of letters of commendation prsented to me from city of san diego you alwai diego court,0.4298
13,100653,bt_nllb_russian,How can I get copies of the complimentary letters sent to me from the city of San Diego,0.4075
14,100653,bt_bing_arabic,How can I get copies of letters of praise sent to me from the City of San Diego,0.4064
15,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,0.4021
16,100653,bt_nllb_malay,How do I get a copy of the letter of credit sent from the city of San Diego,0.392
17,100653,bt_nllb_chinese_yue,How do I get letters from San Diego,0.3914
18,100653,tagmee.topn3.replace,Go film Getting In Ignatius of Antioch Commendation ceremony San Diego San Diego,0.3881
19,100653,relevancefeedback.topn10.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold,0.3856
20,100653,wiki.topn3,go getting copies letters commendation prsented city san diego thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.384
21,100653,bt_nllb_german,How do I get copies of the San Diego letter of credit,0.3761
22,100653,wiki.topn3.replace,thguest film suddenly film sicario film go film thphotographer film wheri leavyou straight thheart film getting polycarp irenaeus epistlto titus ignatius antioch france pragmatic sanction bourges parens scientiarum commendation ceremony san diego county california san diego metropolitan area san diego california san diego san diego county california san diego metropolitan area san diego california san diego,0.3624
23,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.349
24,100653,bt_nllb_tamil,How can I get copies of congratulatory letters sent to me from San Diego,0.2976
25,100653,bt_bing_persian,How about getting copies of letters of praise prsented to me from San Diego County,0.2951
26,100653,glove.topn3,go getting copies letters commendation prsented city san diego come got sold correspondence meritorious town francisco diego san francisco,0.2881
27,100653,word2vec.topn3,go getting copies letters commendation prsented city san diego come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.2623
28,100653,sensedisambiguation,how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego,0.2322
29,100653,wordnet.topn3.replace,hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego,0.2097
30,100653,stem.trunc4,how do i go abou gett copi of lett of comm prse to me from city of san dieg,0.1343
31,100653,anchor.topn3.replace,c yalag noise a go teeley pyszczynski hnatiw copies letters commendation prsented city royal san baghdatí srisamart vahinetua,0.1169
32,100653,glove.topn3.replace,come got sold correspondence meritorious prsented town francisco diego san francisco,0.0927
33,100653,wordnet.topn3,go getting copies letters commendation prsented city san diego hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval metropolis urban center,0.0862
34,100653,conceptnet.topn3,go getting copies letters commendation prsented city san diego drop leave turn grow printing copyist trisomic the mail box the mail capital town ϻ,0.061
35,100653,bertqe.topn10.bm25,what tour i should go,0.0321
36,100653,word2vec.topn3.replace,come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.0236
37,100653,stem.lovins,how do i go about ges cop of letter of commens prsens to me from cit of san dieg,0.0152
38,100653,conceptnet.topn3.replace,drop leave turn grow printing copyist trisomic the mail box the mail commendation prsented capital town ϻ diego,0.0006
39,100653,bertqe.topn10.qld,declin ani,0.0
40,1015624,-1,What's the Definition of a bloody mary?,0.7116
41,1015624,termluster.topn5.3.bm25,s definition bloody mary,0.7095
42,1015624,termluster.topn5.3.qld,s definition bloody mary,0.7095
43,1015624,thesaurus.topn3,s definition bloody mary,0.7095
44,1015624,thesaurus.topn3.replace,s definition bloody mary,0.7095
45,1015624,relevancefeedback.topn10.qld,what s the definition of a bloody mary mari bloodi england,0.6995
46,1015624,bertqe.topn10.qld,she known bloodi mari drink,0.6991
47,1015624,relevancefeedback.topn10.bm25,what s the definition of a bloody mary bloodi mari benedict england becaus,0.642
48,1015624,tagmee.topn3,s definition bloody mary Papal infallibility Mary I of England,0.6418
49,1015624,conceptluster.topn5.3.bm25,s definition bloody mary papal infallibility mary england,0.6291
50,1015624,conceptluster.topn5.3.qld,s definition bloody mary papal infallibility mary england,0.6291
51,1015624,wiki.topn3,s definition bloody mary mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england,0.3678
52,1015624,conceptnet.topn3,s definition bloody mary fucking all firedly Blessed Virgin,0.317
53,1015624,glove.topn3,s definition bloody mary s whose defined brutal bloodshed elizabeth ann,0.2416
54,1015624,tagmee.topn3.replace,Papal infallibility Mary I of England,0.136
55,1015624,wordnet.topn3,s definition bloody mary fucking crashing all fired The Virgin Virgin Mary Madonna,0.0923
56,1015624,bt_bing_swahili,What is the meaning of the blood mary,0.0601
57,1015624,stem.trunc5,what s the defin of a blood mary,0.0578
58,1015624,bertqe.topn10.bm25,yeah what said now get,0.0455
59,1015624,wiki.topn3.replace,mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england,0.0255
60,1015624,stem.trunc4,what s the defi of a bloo mary,0.0115
61,1015624,anchor.topn3,s definition bloody mary b v v s pop up ad wiki wiki yimam lusaria crockett stark,0.005
62,1015624,bt_nllb_german,What s the definition of a fucking Mary,0.0013
63,1015624,bt_nllb_french,What s the definition of a holy Mary,0.0011
64,1015624,anchor.topn3.replace,b v v s pop up ad wiki wiki bloody yimam lusaria crockett stark,0.0
65,1015624,bt_nllb_chinese_yue,What is the definition of a virgin,0.0
66,1015624,conceptnet.topn3.replace,s definition fucking all firedly Blessed Virgin,0.0
67,1015624,glove.topn3.replace,s whose defined brutal bloodshed elizabeth ann,0.0
68,1015624,stem.lovins,what s th definit of a blood mar,0.0
69,1015624,word2vec.topn3,s definition bloody mary s of s s defintion definiton brutal ghastly sarah elizabeth,0.0
70,1015624,word2vec.topn3.replace,s of s s defintion definiton brutal ghastly sarah elizabeth,0.0
71,1015624,wordnet.topn3.replace,s definition fucking crashing all fired The Virgin Virgin Mary Madonna,0.0
72,1017690,-1,what is the history of indian music?,0.5752
73,1017690,word2vec.topn3,history indian music history india non indian music,0.4026
74,1017690,relevancefeedback.topn10.qld,what is the history of indian music i can tribe muscoota music india have,0.2349
75,1017690,anchor.topn3,history indian music recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi,0.1677
76,1017690,word2vec.topn3.replace,history india non indian music,0.1674
77,1017690,relevancefeedback.topn10.bm25,what is the history of indian music music myth th can i,0.1606
78,1017690,wordnet.topn3,history indian music account story Native American Amerindic medicine euphony,0.1098
79,1017690,glove.topn3,history indian music historical ever india pakistani songs,0.1023
80,1017690,conceptnet.topn3,history indian music past subject school chief native dance record rock,0.0867
81,1017690,bt_bing_persian,What is India s music history,0.0482
82,1017690,stem.trunc5,what is the histo of india music,0.037
83,1017690,glove.topn3.replace,historical ever india pakistani songs,0.0008
84,1017690,anchor.topn3.replace,recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi,0.0
85,1017690,bertqe.topn10.bm25,build lesson around treat artifact,0.0
86,1017690,bertqe.topn10.qld,build lesson around treat artifact,0.0
87,1017690,conceptnet.topn3.replace,past subject school chief native dance record rock,0.0
88,1017690,stem.lovins,what is th histor of ind mus,0.0
89,1017690,stem.paicehusk,what is the hist of ind mus,0.0
90,1017690,stem.trunc4,what is the hist of indi musi,0.0
91,1017690,tagmee.topn3.replace,,0.0
92,1017690,wiki.topn3.replace,,0.0
93,1017690,wordnet.topn3.replace,account story Native American Amerindic medicine euphony,0.0
94,1035857,-1,Why are liberals so quick to defend Saddam?,0.3804
95,1035857,bt_bing_tamil,Why are liberals in such a hurry to defend Saddam,0.3768
96,1035857,bt_bing_chinese_simplified,Why were liberals so quick to defend Saddam,0.3731
97,1035857,stem.porter,why ar liber so quick to defend saddam,0.3571
98,1035857,bt_bing_persian,Why are liberals defending Saddam so quickly,0.3506
99,1035857,bt_bing_arabic,Why are liberals rushing to defend Saddam,0.3425
100,1035857,bt_nllb_french,Why are the Liberals defending Saddam so fast,0.3292
101,1035857,bt_nllb_chinese_yue,Why did liberals defend Saddam so quickly,0.2881
102,1035857,relevancefeedback.topn10.qld,why are liberals so quick to defend saddam actual answer i we he liber,0.2201
103,1035857,stem.lovins,why ar liber so quick to defens saddam,0.207
104,1035857,sensedisambiguation,Why are liberals liberal so quick to defend maintain Saddam hussein,0.1855
105,1035857,stem.paicehusk,why ar lib so quick to defend saddam,0.1725
106,1035857,bt_nllb_russian,Why are the liberals protecting Saddam so quickly,0.1661
107,1035857,relevancefeedback.topn10.bm25,why are liberals so quick to defend saddam actual i left aclu french liber america answer,0.1649
108,1035857,bt_bing_korean,Why are liberals so quick to defend Saddam Hussein,0.1464
109,1035857,conceptluster.topn5.3.bm25,liberals quick defend saddam modern liberalism united states,0.1434
110,1035857,conceptluster.topn5.3.qld,liberals quick defend saddam modern liberalism united states,0.1434
111,1035857,tagmee.topn3,liberals quick defend saddam Modern liberalism in the United States,0.1434
112,1035857,glove.topn3,liberals quick defend saddam conservatives easy fast protect hussein iraqi,0.1199
113,1035857,word2vec.topn3,liberals quick defend saddam conservatives progressives democrats easy swift rapid protect uphold Sadaam sadam hussein,0.1088
114,1035857,conceptnet.topn3,liberals quick defend saddam left wing fast Saddam bin Hussein at Takriti leader of Iraq,0.0839
115,1035857,wiki.topn3,liberals quick defend saddam social liberalism liberalism thunited states coalition freand open elections modern liberalism united states,0.06
116,1035857,wordnet.topn3,liberals quick defend saddam progressive liberalist flying nimble prompt maintain fight Husain Saddam bin Hussein at Takriti Hussein,0.049
117,1035857,bt_nllb_persian,Why are the liberals defending my voice so quickly,0.0382
118,1035857,sensedisambiguation.replace,Why are liberal so quick to maintain hussein,0.0373
119,1035857,anchor.topn3,liberals quick defend saddam ascat quicke quick libero midfield present ngasanya ngasanja iloumi,0.0278
120,1035857,anchor.topn3.replace,liberals ascat quicke quick libero midfield present ngasanya ngasanja iloumi,0.0278
121,1035857,tagmee.topn3.replace,Modern liberalism in the United States,0.0278
122,1035857,stem.trunc5,why are liber so quick to defen sadda,0.0158
123,1035857,conceptnet.topn3.replace,left wing fast defend Saddam bin Hussein at Takriti leader of Iraq,0.0154
124,1035857,wiki.topn3.replace,social liberalism liberalism thunited states coalition freand open elections modern liberalism united states,0.0139
125,1035857,word2vec.topn3.replace,conservatives progressives democrats easy swift rapid protect uphold Sadaam sadam hussein,0.009
126,1035857,wordnet.topn3.replace,progressive liberalist flying nimble prompt maintain fight Husain Saddam bin Hussein at Takriti Hussein,0.0046
127,1035857,bertqe.topn10.qld,doesn t object saddam be hang,0.0004
128,1035857,bertqe.topn10.bm25,charg war crime doesn t object,0.0
129,1035857,glove.topn3.replace,conservatives easy fast protect hussein iraqi,0.0
130,1035857,stem.trunc4,why are libe so quic to defe sadd,0.0
131,103830,-1,Why do man Arabs hate the west ?,0.496
132,103830,bt_bing_arabic,Why do Arabs hate the West,0.4904
133,103830,bt_bing_chinese_simplified,Why do Arabs hate the West,0.4904
134,103830,bt_bing_french,Why do Arabs hate the West,0.4904
135,103830,bt_bing_german,Why do Arabs hate the West,0.4904
136,103830,bt_bing_korean,Why do Arabs hate the West,0.4904
137,103830,bt_bing_malay,Why do Arabs hate the west,0.4904
138,103830,bt_bing_persian,Why do Arabs hate the West,0.4904
139,103830,bt_bing_russian,Why do Arabs hate the West,0.4904
140,103830,bt_bing_swahili,Why do Arabs hate the West,0.4904
141,103830,bt_nllb_chinese_yue,Why do Arabs hate the West,0.4904
142,103830,bt_nllb_french,Why do the Arabs hate the West,0.4904
143,103830,bt_nllb_german,Why do the Arabs hate the West,0.4904
144,103830,bt_nllb_korean,Why do Arabs hate the West,0.4904
145,103830,bt_nllb_malay,Why do Arabs hate the West,0.4904
146,103830,bt_nllb_persian,Why do Arabs hate the West,0.4904
147,103830,bt_nllb_russian,Why do the Arabs hate the West,0.4904
148,103830,bt_nllb_swahili,Why do the Arabs hate the West,0.4904
149,103830,bt_nllb_tamil,Why do the Arabs hate the West,0.4904
150,103830,tagmee.topn3,man arabs hate west Tao Human Arabs Hate speech Western world,0.4589
151,103830,conceptluster.topn5.3.bm25,man arabs hate west tao western world hate speech human,0.3971
152,103830,conceptluster.topn5.3.qld,man arabs hate west hate speech tao human western world,0.3971
153,103830,sensedisambiguation,Why do man world Arabs arabian hate the west,0.3447
154,103830,relevancefeedback.topn10.bm25,why do man arabs hate the west all you i arab east iraq,0.3411
155,103830,wiki.topn3,man arabs hate west zhuang zhou confucianism confucius tao apes humans tool using species human muslim communities asia dhimmi druze arabs hatcrime coercion lgbt social movements hate speech eurocentrism eastern world hegemony western world,0.2749
156,103830,conceptnet.topn3,man arabs hate west boy person arabophobia arab people an emotion destroy your enemy a strong emotion,0.2275
157,103830,bt_nllb_arabic,Why are Arabs turning to the West,0.2085
158,103830,wordnet.topn3,man arabs hate west military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield,0.2009
159,103830,stem.paicehusk,why do man arab hat the west,0.1816
160,103830,tagmee.topn3.replace,Tao Human Arabs Hate speech Western world,0.1434
161,103830,stem.lovins,why do man arab hat th west,0.138
162,103830,anchor.topn3,man arabs hate west man controversi man releas a concepts psychoanalyt hakō west discographi east wjpw cd,0.1278
163,103830,relevancefeedback.topn10.qld,why do man arabs hate the west were god all jew south arab israel iraq muslim,0.1234
164,103830,sensedisambiguation.replace,Why do world arabian hate the west,0.1175
165,103830,anchor.topn3.replace,man controversi man releas a arabs concepts psychoanalyt hakō west discographi east wjpw cd,0.0639
166,103830,glove.topn3,man arabs hate west woman person egyptians hatred indeed east north,0.0595
167,103830,wordnet.topn3.replace,military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield,0.0287
168,103830,word2vec.topn3,man arabs hate west woman guy men palestinians jews hatred despise east north south,0.0227
169,103830,wiki.topn3.replace,zhuang zhou confucianism confucius tao apes humans tool using species human muslim communities asia dhimmi druze arabs hatcrime coercion lgbt social movements hate speech eurocentrism eastern world hegemony western world,0.0153
170,103830,conceptnet.topn3.replace,boy person arabophobia arab people an emotion destroy your enemy a strong emotion west,0.0018
171,103830,bertqe.topn10.qld,conflict west refus acknowledg even,0.0008
172,103830,bertqe.topn10.bm25,simpli observ consecut night compar,0.0
173,103830,glove.topn3.replace,woman person egyptians hatred indeed east north,0.0
174,103830,word2vec.topn3.replace,woman guy men palestinians jews hatred despise east north south,0.0
175,1063812,-1,How do I grow taller?,0.4152
176,1063812,bt_bing_swahili,How can I grow taller,0.3967
177,1063812,sensedisambiguation,How do I grow turn taller tall,0.3738
178,1063812,glove.topn3,grow taller grown tall bulkier,0.3555
