,qid,order,query,bm25.ndcg
0,701,-1,U.S. oil industry history,0.0338
1,701,bt_nllb_german,The history of the US oil industry,0.1973
2,701,termluster.topn5.3.qld,u s oil industry history industri field oil field state social region,0.1557
3,701,relevancefeedback.topn10.qld,u s oil industry history industri counti ga,0.1247
4,701,docluster.topn10.3.qld,u s oil industry history industri counti,0.1239
5,701,bt_bing_arabic,History of the American oil industry,0.1071
6,701,bt_nllb_arabic,The history of the American oil industry,0.1071
7,701,bt_nllb_french,The history of the American oil industry,0.1071
8,701,conceptluster.topn5.3.qld,u s oil industry history petroleum,0.0527
9,701,tagmee.topn3,u s oil industry history Petroleum,0.0527
10,701,wordnet.topn3,u s oil industry history USA United States United States government rock oil petroleum oil color manufacture diligence account chronicle,0.0466
11,702,-1,Pearl farming,0.1361
12,702,bt_bing_tamil,Pearl culture,0.385
13,702,termluster.topn5.3.qld,pearl farming product fish,0.2593
14,702,wiki.topn3,pearl farming pearls jewellery components gemstone pearl,0.1863
15,702,tagmee.topn3,pearl farming Pearl,0.1564
16,702,rm3.topn10.10.0.5.qld,pearl farming farm japan jerri product,0.153
17,702,rm3.topn10.10.0.5.bm25,pearl farming coliform cumberland option japan our jerri ocean,0.141
18,702,wiki.topn3.replace,pearls jewellery components gemstone pearl,0.1383
19,704,-1,Green party political views,0.1912
20,704,docluster.topn10.3.qld,green party political views parti,0.2482
21,704,relevancefeedback.topn10.qld,green party political views parti,0.2482
22,704,rm3.topn10.10.0.5.qld,green party political views parti,0.2482
23,704,termluster.topn5.3.qld,green party political views libertarian parti polit state polit nation state parti nation,0.239
24,705,-1,Iraq foreign debt reduction,0.2949
25,705,tagmee.topn3,iraq foreign debt reduction Iraq External debt Debt,0.4538
26,705,bt_nllb_malay,Reduction of external debt to Iraq,0.4394
27,705,tagmee.topn3.replace,Iraq External debt Debt,0.4002
28,705,bt_bing_tamil,Iraqi Foreign Debt Reduction,0.3907
29,705,stem.trunc5,iraq forei debt reduc,0.3806
30,705,bt_bing_arabic,Iraq s external debt reduction,0.3772
31,705,bt_bing_french,Reduction of Iraq s external debt,0.3772
32,705,bt_bing_german,Reduction of Iraq s external debt,0.3772
33,705,bt_bing_russian,Reduction of Iraq s external debt,0.3772
34,705,bt_nllb_french,Reduction of Iraq s external debt,0.3772
35,705,rm3.topn10.10.0.5.bm25,iraq foreign debt reduction develop we,0.3339
36,705,bt_bing_persian,Reducing Iraq s External Debt,0.3242
37,705,bt_nllb_russian,Reducing Iraq s external debt,0.3242
38,705,termluster.topn5.3.qld,iraq foreign debt reduction debt depart state depart iraq state unit state servic,0.3182
39,705,stem.trunc4,iraq fore debt redu,0.3169
40,705,conceptluster.topn5.3.qld,iraq foreign debt reduction debt external debt,0.3117
41,705,bt_nllb_chinese_yue,Iraq s foreign debt is falling,0.2959
42,706,-1,Controlling type II diabetes,0.1037
43,706,sensedisambiguation.replace,see type two diabetes,0.1488
44,706,bt_bing_korean,Type Diabetes Control,0.1387
45,706,bt_nllb_arabic,Control of type diabetes,0.1387
46,706,bt_nllb_chinese_yue,Control of type diabetes,0.1387
47,706,bt_nllb_korean,Control of type diabetes,0.1387
48,706,bt_nllb_persian,Control of type diabetes,0.1387
49,706,docluster.topn10.3.qld,controlling type ii diabetes diabet,0.116
50,706,rm3.topn10.10.0.5.bm25,controlling type ii diabetes diabet,0.116
51,706,sensedisambiguation,Controlling see type II two diabetes,0.1132
52,707,-1,Aspirin cancer prevention,0.4535
53,707,termluster.topn5.3.qld,aspirin cancer prevention cancer colon effect aspirin colon effect studi screen risk,0.5718
54,707,conceptluster.topn5.3.qld,aspirin cancer prevention cancer cancer prevention,0.5151
55,707,tagmee.topn3.replace,Aspirin Cancer Cancer prevention,0.4659
56,707,tagmee.topn3,aspirin cancer prevention Aspirin Cancer Cancer prevention,0.4589
57,708,-1,Decorative slate sources,0.3088
58,709,-1,Horse racing jockey weight,0.722
59,709,docluster.topn10.3.qld,horse racing jockey weight shall race,0.7374
60,709,sensedisambiguation,Horse sawhorse racing rush jockey weight weight unit,0.7301
61,709,relevancefeedback.topn10.qld,horse racing jockey weight race hors shall,0.7297
62,709,rm3.topn10.10.0.5.bm25,horse racing jockey weight race hors shall,0.7297
63,709,rm3.topn10.10.0.5.qld,horse racing jockey weight hors race shall,0.7297
64,710,-1,Prostate cancer treatments,0.3634
65,711,-1,Train station security measures,0.2482
66,711,relevancefeedback.topn10.qld,train station security measures measur naval amtrak secur transport,0.3396
67,711,docluster.topn10.3.qld,train station security measures secur,0.2919
68,712,-1,Pyramid scheme,0.3626
69,713,-1,Chesapeake Bay Maryland clean,0.2573
70,713,sensedisambiguation,Chesapeake Bay true laurel Maryland clean clean and jerk,0.2609
71,714,-1,License restrictions older drivers,0.3352
72,714,docluster.topn10.3.qld,license restrictions older drivers renew driver restrict licens,0.3625
73,714,relevancefeedback.topn10.qld,license restrictions older drivers renew licens driver restrict,0.3625
74,714,rm3.topn10.10.0.5.qld,license restrictions older drivers driver renew licens,0.338
75,715,-1,Schizophrenia drugs,0.1867
76,715,docluster.topn10.3.qld,schizophrenia drugs patient,0.3269
77,715,sensedisambiguation,Schizophrenia drugs drug,0.2624
78,715,rm3.topn10.10.0.5.qld,schizophrenia drugs older drug patient,0.2129
79,715,relevancefeedback.topn10.qld,schizophrenia drugs drug patient x health older,0.2053
80,716,-1,Spammer arrest sue,0.2416
81,716,bt_bing_arabic,Lawsuit against the arrest of spammers,0.3735
82,716,bt_bing_chinese_simplified,Spammers are arrested and prosecuted,0.3584
83,716,bt_bing_german,Spammer Arrest Lawsuit,0.3554
84,716,bt_bing_russian,Spammer Arrest Lawsuit,0.3554
85,716,bt_nllb_german,Spammer arrest lawsuit,0.3554
86,716,bt_nllb_korean,Spammers arresting lawsuit,0.3554
87,716,conceptluster.topn5.3.qld,spammer arrest sue arrest lawsuit spamming,0.3523
88,716,tagmee.topn3,spammer arrest sue Spamming Arrest Lawsuit,0.3523
89,716,bt_bing_tamil,Spammer Arrest Case,0.3249
90,716,bt_nllb_tamil,The case of the arrest of the spammers,0.3249
91,716,bt_bing_persian,Spammer Arrest Complaint,0.2811
92,716,bt_nllb_chinese_yue,Arrest and prosecution of spam,0.2559
93,716,bt_nllb_swahili,Spammer arrested trial,0.2476
94,716,tagmee.topn3.replace,Spamming Arrest Lawsuit,0.2467
95,717,-1,Gifted talented student programs,0.2203
96,717,bt_bing_german,Programs for Gifted Talents,0.2359
97,717,termluster.topn5.3.qld,gifted talented student programs academ curriculum develop student school requir perform school talent texa teacher state,0.2321
98,717,relevancefeedback.topn10.qld,gifted talented student programs gift g,0.2286
99,717,docluster.topn10.3.qld,gifted talented student programs gift,0.2227
100,717,rm3.topn10.10.0.5.qld,gifted talented student programs gift,0.2227
101,718,-1,Controlling acid rain,0.1929
102,719,-1,Cruise ship damage sea life,0.0921
103,719,bt_bing_arabic,Cruise ship damaging marine life,0.1546
104,719,bt_bing_french,Cruise ship damages marine life,0.1546
105,719,bt_bing_german,Cruise ship damages marine life,0.1546
106,719,bt_bing_korean,Cruise ship damage marine life,0.1546
107,719,bt_bing_malay,Cruise ships damage marine life,0.1546
108,719,bt_bing_persian,Cruise ship damages marine life,0.1546
109,719,bt_bing_russian,Cruise Ship Damages Marine Life,0.1546
110,719,bt_nllb_chinese_yue,Cruising ships are damaging marine life,0.1546
111,719,bt_nllb_french,Cruise ships are damaging marine life,0.1546
112,719,bt_nllb_korean,The damage to marine life on cruise ships,0.1546
113,719,bt_nllb_malay,Damage to the marine life cruise ship,0.1546
114,719,bt_nllb_persian,Cruise ships are damaging marine life,0.1546
115,719,bt_nllb_russian,Damage to marine life on cruise ships,0.1546
116,719,bt_nllb_german,Damage to marine structures of cruise ships,0.1382
117,719,glove.topn3,cruise ship damage sea life ship vessel caused ocean waters lives even,0.1246
118,719,wiki.topn3,cruise ship damage sea life cruisline cruise ship templates holland america line cruise ship plankton oceanography ocean current marine biology,0.117
119,719,tagmee.topn3,cruise ship damage sea life Cruise ship Marine biology,0.115
120,719,anchor.topn3,cruise ship damage sea life kommuna cunnari communa normalhöhennul trsa vega apicomplexan kdblife nánjīng small,0.099
121,719,word2vec.topn3,cruise ship damage sea life small ship vessel warship damange harm ocean lives life life,0.0963
