qid	order	query	bm25.recip_rank
8293	-1	why do men fantasized about raping women?	1.0
8293	pred.refiner.1	men fantasized raping women	1.0
8293	pred.refiner.10	men fantasized raping women	1.0
8293	pred.refiner.2	men fantasized raping women	1.0
8293	pred.refiner.3	men fantasized raping women	1.0
8293	pred.refiner.4	men fantasized raping women	1.0
8293	pred.refiner.5	men fantasized raping women	1.0
8293	pred.refiner.6	men fantasized raping women	1.0
8293	pred.refiner.7	men fantasized raping women	1.0
8293	pred.refiner.8	men fantasized raping women	1.0
8293	pred.refiner.9	men fantasized raping women	1.0
23464	-1	why girls are beautiful?	1.0
23464	pred.refiner.1	girls beautiful	1.0
23464	pred.refiner.10	girls beautiful	1.0
23464	pred.refiner.2	girls beautiful	1.0
23464	pred.refiner.3	girls beautiful	1.0
23464	pred.refiner.4	girls beautiful	1.0
23464	pred.refiner.5	girls beautiful	1.0
23464	pred.refiner.6	girls beautiful	1.0
23464	pred.refiner.7	girls beautiful	1.0
23464	pred.refiner.8	girls beautiful	1.0
23464	pred.refiner.9	girls beautiful	1.0
34041	-1	what are the symptoms of strep throat?	1.0
34041	pred.refiner.1	what are the symptoms of strep throat?	1.0
34041	pred.refiner.10	what are the symptoms of strep throat?	1.0
34041	pred.refiner.2	what are the symptoms of strep throat?	1.0
34041	pred.refiner.3	what are the symptoms of strep throat?	1.0
34041	pred.refiner.4	what are the symptoms of strep throat?	1.0
34041	pred.refiner.5	what are the symptoms of strep throat?	1.0
34041	pred.refiner.6	what are the symptoms of strep throat?	1.0
34041	pred.refiner.7	what are the symptoms of strep throat?	1.0
34041	pred.refiner.8	what are the symptoms of strep throat?	1.0
34041	pred.refiner.9	what are the symptoms of strep throat?	1.0
78762	-1	why do i have pterofobia?	0.0
78762	pred.refiner.1	why do i have pterofobia?	0.0
78762	pred.refiner.10	why do i have pterofobia?	0.0
78762	pred.refiner.2	why do i have pterofobia?	0.0
78762	pred.refiner.3	why do i have pterofobia?	0.0
78762	pred.refiner.4	why do i have pterofobia?	0.0
78762	pred.refiner.5	why do i have pterofobia?	0.0
78762	pred.refiner.6	why do i have pterofobia?	0.0
78762	pred.refiner.7	why do i have pterofobia?	0.0
78762	pred.refiner.8	why do i have pterofobia?	0.0
78762	pred.refiner.9	why do i have pterofobia?	0.0
100653	-1	how do i go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
100653	pred.refiner.1	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.10	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.2	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.3	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.4	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.5	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.6	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.7	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.8	go getting copies letters commendation prsented city san diego	1.0
100653	pred.refiner.9	go getting copies letters commendation prsented city san diego	1.0
103830	-1	why do man arabs hate the west ?	1.0
103830	pred.refiner.1	man arabs hate west	1.0
103830	pred.refiner.10	man arabs hate west	1.0
103830	pred.refiner.2	man arabs hate west	1.0
103830	pred.refiner.3	man arabs hate west	1.0
103830	pred.refiner.4	man arabs hate west	1.0
103830	pred.refiner.5	man arabs hate west	1.0
103830	pred.refiner.6	man arabs hate west	1.0
103830	pred.refiner.7	man arabs hate west	1.0
103830	pred.refiner.8	man arabs hate west	1.0
103830	pred.refiner.9	man arabs hate west	1.0
143833	-1	what is the difference between coolant and anti-freeze?	1.0
143833	pred.refiner.1	difference coolant anti freeze	1.0
143833	pred.refiner.10	difference coolant anti freeze	1.0
143833	pred.refiner.2	difference coolant anti freeze	1.0
143833	pred.refiner.3	difference coolant anti freeze	1.0
143833	pred.refiner.4	difference coolant anti freeze	1.0
143833	pred.refiner.5	difference coolant anti freeze	1.0
143833	pred.refiner.6	difference coolant anti freeze	1.0
143833	pred.refiner.7	difference coolant anti freeze	1.0
143833	pred.refiner.8	difference coolant anti freeze	1.0
143833	pred.refiner.9	difference coolant anti freeze	1.0
159716	-1	how do i find an inmate at southwest detention center 30755 auld rd., murrieta, ca 92563?	1.0
159716	pred.refiner.1	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.10	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.2	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.3	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.4	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.5	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.6	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.7	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.8	find inmate southwest detention center auld rd murrieta ca	1.0
159716	pred.refiner.9	find inmate southwest detention center auld rd murrieta ca	1.0
172731	-1	how for is saturn from the sun?	1.0
172731	pred.refiner.1	saturn sun sun saturn	1.0
172731	pred.refiner.10	saturn sun sun saturn	1.0
172731	pred.refiner.2	saturn sun sun saturn	1.0
172731	pred.refiner.3	saturn sun sun saturn	1.0
172731	pred.refiner.4	saturn sun sun saturn	1.0
172731	pred.refiner.5	saturn sun sun saturn	1.0
172731	pred.refiner.6	saturn sun sun saturn	1.0
172731	pred.refiner.7	saturn sun sun saturn	1.0
172731	pred.refiner.8	saturn sun sun saturn	1.0
172731	pred.refiner.9	saturn sun sun saturn	1.0
204633	-1	why do you have memories?	0.3333
204633	pred.refiner.1	memories	1.0
204633	pred.refiner.10	memories	1.0
204633	pred.refiner.2	memories	1.0
204633	pred.refiner.3	memories	1.0
204633	pred.refiner.4	memories	1.0
204633	pred.refiner.5	memories	1.0
204633	pred.refiner.6	memories	1.0
204633	pred.refiner.7	memories	1.0
204633	pred.refiner.8	memories	1.0
204633	pred.refiner.9	memories	1.0
204963	-1	what does 5 by 5 mean?	1.0
204963	pred.refiner.1	what does 5 by 5 mean?	1.0
204963	pred.refiner.10	what does 5 by 5 mean?	1.0
204963	pred.refiner.2	what does 5 by 5 mean?	1.0
204963	pred.refiner.3	what does 5 by 5 mean?	1.0
204963	pred.refiner.4	what does 5 by 5 mean?	1.0
204963	pred.refiner.5	what does 5 by 5 mean?	1.0
204963	pred.refiner.6	what does 5 by 5 mean?	1.0
204963	pred.refiner.7	what does 5 by 5 mean?	1.0
204963	pred.refiner.8	what does 5 by 5 mean?	1.0
204963	pred.refiner.9	what does 5 by 5 mean?	1.0
224109	-1	what is citriscidal?	0.0
224109	pred.refiner.1	what is citricidal	1.0
224109	pred.refiner.10	what is citricidal	1.0
224109	pred.refiner.2	what is citricidal	1.0
224109	pred.refiner.3	what is citricidal	1.0
224109	pred.refiner.4	what is citricidal	1.0
224109	pred.refiner.5	what is citricidal	1.0
224109	pred.refiner.6	what is citricidal	1.0
224109	pred.refiner.7	what is citricidal	1.0
224109	pred.refiner.8	what is citricidal	1.0
224109	pred.refiner.9	what is citricidal	1.0
225575	-1	what does 'wet behind the ears' mean?	1.0
225575	pred.refiner.1	wet behind ears mean	1.0
225575	pred.refiner.10	wet behind ears mean	1.0
225575	pred.refiner.2	wet behind ears mean	1.0
225575	pred.refiner.3	wet behind ears mean	1.0
225575	pred.refiner.4	wet behind ears mean	1.0
225575	pred.refiner.5	wet behind ears mean	1.0
225575	pred.refiner.6	wet behind ears mean	1.0
225575	pred.refiner.7	wet behind ears mean	1.0
225575	pred.refiner.8	wet behind ears mean	1.0
225575	pred.refiner.9	wet behind ears mean	1.0
229303	-1	why  is  the   war continuing  in  afghanistan?	1.0
229303	pred.refiner.1	war continuing afghanistan	1.0
229303	pred.refiner.10	war continuing afghanistan	1.0
229303	pred.refiner.2	war continuing afghanistan	1.0
229303	pred.refiner.3	war continuing afghanistan	1.0
229303	pred.refiner.4	war continuing afghanistan	1.0
229303	pred.refiner.5	war continuing afghanistan	1.0
229303	pred.refiner.6	war continuing afghanistan	1.0
229303	pred.refiner.7	war continuing afghanistan	1.0
229303	pred.refiner.8	war continuing afghanistan	1.0
229303	pred.refiner.9	war continuing afghanistan	1.0
312215	-1	how good is apple pie when it is cold?	1.0
312215	pred.refiner.1	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.10	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.2	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.3	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.4	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.5	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.6	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.7	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.8	how good is apple pie when it is cold cold appl	1.0
312215	pred.refiner.9	how good is apple pie when it is cold cold appl	1.0
354733	-1	what are the names of some famous photographers and why do their work stand up?	0.5
354733	pred.refiner.1	names famous photographers work stand	1.0
354733	pred.refiner.10	names famous photographers work stand	1.0
354733	pred.refiner.2	names famous photographers work stand	1.0
354733	pred.refiner.3	names famous photographers work stand	1.0
354733	pred.refiner.4	names famous photographers work stand	1.0
354733	pred.refiner.5	names famous photographers work stand	1.0
354733	pred.refiner.6	names famous photographers work stand	1.0
354733	pred.refiner.7	names famous photographers work stand	1.0
354733	pred.refiner.8	names famous photographers work stand	1.0
354733	pred.refiner.9	names famous photographers work stand	1.0
387874	-1	why does asparugus make your pee stink?	1.0
387874	pred.refiner.1	asparugus make pee stink	1.0
387874	pred.refiner.10	asparugus make pee stink	1.0
387874	pred.refiner.2	asparugus make pee stink	1.0
387874	pred.refiner.3	asparugus make pee stink	1.0
387874	pred.refiner.4	asparugus make pee stink	1.0
387874	pred.refiner.5	asparugus make pee stink	1.0
387874	pred.refiner.6	asparugus make pee stink	1.0
387874	pred.refiner.7	asparugus make pee stink	1.0
387874	pred.refiner.8	asparugus make pee stink	1.0
387874	pred.refiner.9	asparugus make pee stink	1.0
