qid	order	query	bm25.recip_rank
301	-1	international organized crime	0.5
301	pred.base.4	<extra_id_0> organized crime(IGOC) in search of international organized crime charged international organized crime (unorganized crime) organized crime scourge internationally organized crime (ictc) organized crime (icm) organisée crime (ou international crime organized crime) organisée organised crime (cime) international organized crime	1.0
301	pred.base.6	<extra_id_0> organized crime <extra_id_1> organized crime. International organized crime at this stage is international organized crime, which is rapidly becoming an international organized crime. Additionally there is a growing need for healthy drug and organized crime methods i/o through the changing definitions of organized crime, they are also now well documented worldwide in the in	1.0
301	pred.base.9	<extra_id_0>-9-5 international organized crime community and <extra_id_1> organized crime is a global practice, banned or being carried out in international editions, organized crime claims and weather conditions have grown unnecessarily on the surface in the last few years. This is an emerging reality in terms of organized crime growing	1.0
302	-1	poliomyelitis and post-polio	1.0
303	-1	hubble telescope achievements	0.5
303	pred.base.9	<extra_id_0> telescope, telescope, hubble telescope and hubble telescope astronomy achievements! hubble telescope telescope achievements Hubble telescope achievements hubble telescope achievements hubble telescope achievements hubble telescope accomplishments hubble telescope achievements hubble telescope accomplishments hubble telescope achievements hubble telescope achievements hubble telescope accomplishments hubble telescope	1.0
304	-1	endangered species (mammals)	1.0
305	-1	most dangerous vehicles	0.0154
305	pred.base.3	<extra_id_0> the most dangerous car to drive. <extra_id_1> cars. <extra_id_2>. <extra_id_3> Mrs. Kennedy. The safest vehicle in the world. The <extra_id_4>. The <extra_id_5>. The greenest vehicles.1 <extra_id_6>. The <extra_id_7>.2 - The <extra_id_8>.3 - The <extra_id_9>.5 The dirtiest vehicles.The	0.5
305	pred.base.1	<extra_id_0> road traffic <extra_id_1> crash hazard <extra_id_2> worst cars – selection choice; Ram 1500, fully-loaded 2016 Rolls-Royce RS550, S240M, far-flower vehicles – have become the most dangerous vehicles, highly likely due to their unique and difficult driving skills.	0.3333
305	pred.base.10	<extra_id_0> the <extra_id_1> 26+ <extra_id_2>. The most dangerous vehicles are still in operation, causing even more deadly collisions.	0.0417
305	pred.base.7	<extra_id_0> vehicles <extra_id_1>. Cars the most dangerous vehicles - the cargo cars esters! Being the most deadly vehicle in the world.	0.0417
305	pred.base.8	<extra_id_0> vehicles <extra_id_1> incapacitated. Most dangerous vehicles are more dangerous vehicles and personals have the most dangerous vehicles.	0.0357
305	pred.base.9	<extra_id_0> your vehicle which is most likely to cause auto traffic jams. Vegas safety rules – vehicles always require the safety of occupants, wear helmets and become the most dangerous for pedestrians.	0.0357
305	pred.base.2	<extra_id_0>. The car videos will show you ICANNs absolute safest and most dangerous vehicles.	0.0333
305	pred.base.6	<extra_id_0> theft, especially when it arises while driving. The most dangerous vehicles are those traveling in a vehicle viewed below below zero degree Celsius.	0.0192
