qid	order	query	bm25.map
301	-1	International Organized Crime	0.0096
301	bt_nllb_german	International organised crime	0.0055
301	bt_nllb_swahili	International Crime	0.0029
301	bt_nllb_malay	Integrated Crime	0.0008
302	-1	Poliomyelitis and Post-Polio	0.5026
302	bt_nllb_chinese_yue	After polio and polio	0.4324
302	bt_nllb_malay	Polio and after polio	0.4324
302	bt_nllb_tamil	After polio and polio	0.4324
302	bt_nllb_french	Polio and the Post Polio	0.4228
302	bt_nllb_arabic	Polio and polio	0.4208
302	bt_nllb_german	Polio and postpolio	0.4208
302	bt_nllb_russian	Polio and postpolio	0.4208
302	bt_nllb_swahili	Polio and Afterpolio	0.4208
302	bt_nllb_persian	Polyamide and then polio	0.3043
302	bt_nllb_korean	Polyamylitis and polyochondrosis	0.0
303	-1	Hubble Telescope Achievements	0.1663
303	bt_nllb_tamil	Hubble s telescope achievements	0.1644
303	bt_nllb_chinese_yue	The Hubble Telescope has achieved this	0.1643
303	bt_nllb_korean	The Hubble Telescope was completed	0.1121
304	-1	Endangered Species (Mammals)	0.0591
304	bt_nllb_chinese_yue	They are endangered	0.0564
304	bt_nllb_tamil	The species in danger of extinction type	0.0194
304	bt_nllb_russian	Threatened species self miners	0.0028
305	-1	Most Dangerous Vehicles	0.0013
305	bt_nllb_arabic	The most dangerous cars	0.0011
305	bt_nllb_chinese_yue	The most dangerous car	0.0011
305	bt_nllb_swahili	The Most Dangerous Cars	0.0011
306	-1	African Civilian Deaths	0.0486
306	bt_nllb_arabic	The killing of civilians in Africa	0.0454
306	bt_nllb_russian	Death of civilians in Africa	0.032
306	bt_nllb_korean	African citizens killed	0.0103
306	bt_nllb_malay	The Death of African Citizens	0.0063
306	bt_nllb_persian	Death of African citizens	0.0063
306	bt_nllb_tamil	The death of African citizens	0.0063
306	bt_nllb_swahili	The Deaths of Politicians in Africa	0.0062
306	bt_nllb_chinese_yue	African citizens dying	0.0009
307	-1	New Hydroelectric Projects	0.1656
307	bt_nllb_arabic	New hydropower projects	0.0572
307	bt_nllb_korean	A new hydropower project	0.0572
307	bt_nllb_german	New hydropower plants	0.0329
307	bt_nllb_swahili	New Water Power Projects	0.0215
308	-1	Implant Dentistry	0.2833
308	bt_nllb_swahili	Tooth disease of the gums	0.125
308	bt_nllb_korean	Implantation surgery	0.0231
308	bt_nllb_arabic	Hosted dentistry	0.0156
308	bt_nllb_tamil	Surgery	0.0
309	-1	Rap and Crime	0.0
310	-1	Radio Waves and Brain Cancer	0.1455
311	-1	Industrial Espionage	0.2708
311	bt_nllb_chinese_yue	Industrial spy	0.0277
311	bt_nllb_korean	The spy industry	0.0277
311	bt_nllb_persian	Industrial spy	0.0277
311	bt_nllb_swahili	Industrial Intelligence	0.0274
311	bt_nllb_tamil	Industrial intelligence	0.0274
311	bt_nllb_malay	Industrial surveillance	0.0049
311	bt_nllb_german	The Commission has also adopted a number of proposals	0.0
312	-1	Hydroponics	0.8553
312	bt_nllb_chinese_yue	Hydromechanics	0.0
312	bt_nllb_german	Hydrogen	0.0
312	bt_nllb_korean	Fish	0.0
312	bt_nllb_tamil	The waterfall	0.0
313	-1	Magnetic Levitation-Maglev	0.7034
313	bt_nllb_tamil	Magnetic levitation McLav	0.6508
313	bt_nllb_korean	Self levitization Maghreb	0.0489
313	bt_nllb_french	Magnetic lift	0.0178
313	bt_nllb_arabic	Magnetic distortion	0.0082
313	bt_nllb_persian	Magnetic Lithium Magluff	0.0044
314	-1	Marine Vegetation	0.0007
315	-1	Unexplained Highway Accidents	0.0136
315	bt_nllb_tamil	Unidentified road accidents	0.0102
315	bt_nllb_swahili	Unreported Road Accidents	0.0099
315	bt_nllb_arabic	Unexplained road accidents	0.0095
315	bt_nllb_french	Unexplained Road Accidents	0.0095
315	bt_nllb_malay	Unexplained Road Accidents	0.0095
315	bt_nllb_german	Unexplained car accidents	0.0036
315	bt_nllb_russian	Unexplained Accidents	0.0
316	-1	Polygamy Polyandry Polygyny	0.5935
316	bt_nllb_russian	Polygamy of the Polygons	0.2604
316	bt_nllb_arabic	Polygamous Polygamous	0.0098
316	bt_nllb_korean	I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married I m getting married	0.0
316	bt_nllb_persian	A few wives a few wives a few wives	0.0
316	bt_nllb_swahili	Parenting	0.0
316	bt_nllb_tamil	The number of times a person is called a multiple	0.0
317	-1	Unsolicited Faxes	0.525
317	bt_nllb_korean	Unsolicited Parks	0.2173
317	bt_nllb_arabic	The unwanted fax	0.1534
317	bt_nllb_persian	Unwanted fax	0.1534
317	bt_nllb_russian	Unwanted Faxes	0.1534
317	bt_nllb_tamil	Unnecessary Faxes	0.0134
317	bt_nllb_chinese_yue	Fax that nobody asked for	0.0117
317	bt_nllb_french	Faxes not requested	0.0076
317	bt_nllb_german	Faxes not requested	0.0076
317	bt_nllb_swahili	Faxes not requested	0.0076
317	bt_nllb_malay	Fax that you don t want	0.0031
318	-1	Best Retirement Country	0.0016
318	bt_nllb_swahili	A Better Land to Leave	0.0001
318	bt_nllb_tamil	The country with the best pension	0.0
319	-1	New Fuel Sources	0.037
319	bt_nllb_german	New fuels	0.0234
319	bt_nllb_swahili	A New Source of Oil	0.0011
320	-1	Undersea Fiber Optic Cable	0.0301
320	bt_nllb_tamil	Sea glass fiber cable	0.0248
320	bt_nllb_russian	Subsea optical cable made of fibres	0.0139
320	bt_nllb_persian	Subsea fiber optic cables	0.0117
320	bt_nllb_swahili	Before the Undersea Fiber Optic	0.0059
320	bt_nllb_chinese_yue	The subsea fiber	0.0
321	-1	Women in Parliaments	0.1742
321	bt_nllb_korean	Women in Congress	0.0159
322	-1	International Art Crime	0.0004
322	bt_nllb_swahili	Modern Art Crime	0.0
323	-1	Literary/Journalistic Plagiarism	0.217
323	bt_nllb_chinese_yue	Literary and news copying	0.0179
323	bt_nllb_korean	Literary and historical parallels	0.0021
323	bt_nllb_swahili	Literary journalistic fraud	0.0009
323	bt_nllb_persian	A literary journalistic plague	0.0005
323	bt_nllb_arabic	Literary and journalistic manipulation	0.0
323	bt_nllb_tamil	Literary fictional literature	0.0
324	-1	Argentine/British Relations	0.3428
324	bt_nllb_malay	The Argentine British relationship	0.3175
324	bt_nllb_persian	Relations between Argentina and Britain	0.3094
324	bt_nllb_chinese_yue	Argentina UK relations	0.2576
324	bt_nllb_swahili	Argentina s relationship with Britain	0.254
324	bt_nllb_french	Relations between Argentina and the United Kingdom	0.0894
324	bt_nllb_korean	Relations between Argentina and the United Kingdom	0.0894
324	bt_nllb_tamil	The United States and Argentina have a long history of cooperation	0.0136
324	bt_nllb_german	The Commission has also adopted a proposal for a regulation on the	0.0
325	-1	Cult Lifestyles	0.0495
325	bt_nllb_arabic	The cult s way of life	0.0144
