,qid,order,query,bm25.recip_rank
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,1.0
1,100653,bt_bing_arabic,How can I get copies of letters of praise sent to me from the City of San Diego,0.5
2,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.5
3,100653,bt_nllb_malay,How do I get a copy of the letter of credit sent from the city of San Diego,0.5
4,100653,bt_nllb_russian,How can I get copies of the complimentary letters sent to me from the city of San Diego,0.5
5,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.5
6,100653,bt_nllb_tamil,How can I get copies of congratulatory letters sent to me from San Diego,0.5
7,100653,conceptnet.topn3,go getting copies letters commendation prsented city san diego drop leave turn grow printing copyist trisomic the mail box the mail capital town ϻ,0.5
8,100653,glove.topn3,go getting copies letters commendation prsented city san diego come got sold correspondence meritorious town francisco diego san francisco,0.5
9,100653,sensedisambiguation,how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego,0.5
10,100653,bt_bing_persian,How about getting copies of letters of praise prsented to me from San Diego County,0.3333
11,100653,stem.trunc4,how do i go abou gett copi of lett of comm prse to me from city of san dieg,0.3333
12,100653,word2vec.topn3,go getting copies letters commendation prsented city san diego come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.25
13,100653,anchor.topn3.replace,c yalag noise a go teeley pyszczynski hnatiw copies letters commendation prsented city royal san baghdatí srisamart vahinetua,0.2
14,100653,stem.lovins,how do i go about ges cop of letter of commens prsens to me from cit of san dieg,0.2
15,100653,wordnet.topn3,go getting copies letters commendation prsented city san diego hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval metropolis urban center,0.0833
16,100653,word2vec.topn3.replace,come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.0526
17,100653,glove.topn3.replace,come got sold correspondence meritorious prsented town francisco diego san francisco,0.0417
18,100653,conceptnet.topn3.replace,drop leave turn grow printing copyist trisomic the mail box the mail commendation prsented capital town ϻ diego,0.0192
19,100653,bertqe.topn10.qld,declin ani,0.0
20,1015624,-1,What's the Definition of a bloody mary?,1.0
21,1015624,tagmee.topn3.replace,Papal infallibility Mary I of England,0.5
22,1015624,wiki.topn3,s definition bloody mary mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england,0.5
23,1015624,bt_bing_swahili,What is the meaning of the blood mary,0.3333
24,1015624,conceptnet.topn3,s definition bloody mary fucking all firedly Blessed Virgin,0.3333
25,1015624,glove.topn3,s definition bloody mary s whose defined brutal bloodshed elizabeth ann,0.3333
26,1015624,stem.trunc5,what s the defin of a blood mary,0.25
27,1015624,stem.trunc4,what s the defi of a bloo mary,0.0909
28,1015624,wiki.topn3.replace,mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england,0.0769
29,1015624,wordnet.topn3,s definition bloody mary fucking crashing all fired The Virgin Virgin Mary Madonna,0.0588
30,1015624,bt_nllb_german,What s the definition of a fucking Mary,0.0278
31,1015624,bt_nllb_french,What s the definition of a holy Mary,0.0233
32,1015624,anchor.topn3,s definition bloody mary b v v s pop up ad wiki wiki yimam lusaria crockett stark,0.0137
33,1015624,anchor.topn3.replace,b v v s pop up ad wiki wiki bloody yimam lusaria crockett stark,0.0
34,1015624,bt_nllb_chinese_yue,What is the definition of a virgin,0.0
35,1015624,conceptnet.topn3.replace,s definition fucking all firedly Blessed Virgin,0.0
