,qid,order,query,bm25.ndcg
0,301,-1,International Organized Crime,0.0586
1,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.1324
2,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.1232
3,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.1047
4,301,glove.topn3,international organized crime global which organised criminal,0.091
5,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0847
6,302,-1,Poliomyelitis and Post-Polio,0.7405
7,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.7535
8,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.7491
9,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.7482
10,303,-1,Hubble Telescope Achievements,0.5126
11,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,0.6668
12,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,0.6633
13,303,bt_nllb_swahili,The results of the Hubble Telescope,0.5694
14,303,conceptnet.topn3,hubble telescope achievements Edwin Powell Hubble scotland heap,0.5226
15,303,bt_bing_persian,Hubble Telescope,0.515
16,304,-1,Endangered Species (Mammals),0.2081
17,304,conceptluster.topn5.3.bm25,endangered species mammals endangered species,0.2202
18,304,conceptluster.topn5.3.qld,endangered species mammals endangered species,0.2202
19,305,-1,Most Dangerous Vehicles,0.0323
20,305,wordnet.topn3,dangerous vehicles life threatening unsafe fomite,0.0493
21,305,conceptnet.topn3,dangerous vehicles Explosives driving Some people,0.049
22,305,wiki.topn3.replace,risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.0486
23,305,wiki.topn3,dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.0457
24,305,tagmee.topn3.replace,Risk Vehicle,0.0425
25,305,conceptluster.topn5.3.bm25,dangerous vehicles risk,0.0377
26,305,conceptluster.topn5.3.qld,dangerous vehicles risk,0.0377
27,305,sensedisambiguation,Most Dangerous Vehicles vehicle,0.0375
28,305,tagmee.topn3,dangerous vehicles Risk Vehicle,0.0375
29,305,glove.topn3,dangerous vehicles potentially difficult cars,0.0351
30,306,-1,African Civilian Deaths,0.1539
31,306,sensedisambiguation,African Civilian Deaths end,0.1639
32,307,-1,New Hydroelectric Projects,0.3366
33,307,tagmee.topn3.replace,Hydroelectricity Project,0.3394
34,308,-1,Implant Dentistry,0.488
35,308,bt_bing_arabic,Dental implants,0.5856
36,308,bt_bing_persian,Dental implant,0.5856
37,308,bt_bing_swahili,Dental implants,0.5856
38,308,bt_nllb_german,Implant teeth,0.5856
39,308,bt_nllb_malay,Dental Implantation,0.5856
40,308,bt_nllb_persian,Dental implant,0.5856
41,308,conceptluster.topn5.3.bm25,implant dentistry dental implant,0.5856
42,308,conceptluster.topn5.3.qld,implant dentistry dental implant,0.5856
43,308,wiki.topn3,implant dentistry soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry,0.5585
44,308,wiki.topn3.replace,soft tissue sinus lift sinus surgery dental implant cardiology physical therapy otolaryngology dentistry,0.5032
45,309,-1,Rap and Crime,0.0
46,309,conceptnet.topn3,rap crime music hip hop,0.0771
47,309,word2vec.topn3,rap crime hip hop hiphop criminality,0.0753
48,309,wiki.topn3.replace,reggaeton underground hip hop gangsta rap rapping,0.0744
49,310,-1,Radio Waves and Brain Cancer,0.3509
50,310,word2vec.topn3,radio waves brain cancer television brain leukemia lymphoma,0.377
51,310,bt_nllb_chinese_yue,Radiation and brain cancer,0.3672
52,310,bt_nllb_korean,Radiation and Brain Cancer,0.3672
53,311,-1,Industrial Espionage,0.4199
54,311,conceptnet.topn3,industrial espionage factory postindustrial,0.4481
55,312,-1,Hydroponics,0.9559
56,313,-1,Magnetic Levitation-Maglev,0.8249
57,313,relevancefeedback.topn10.bm25,magnetic levitation maglev magnet la would railwai project train car said,0.8553
58,313,relevancefeedback.topn10.qld,magnetic levitation maglev magnet train railwai la said would project,0.8496
59,313,bt_bing_german,Magnetic levitation magnetic levitation train,0.83
60,314,-1,Marine Vegetation,0.0168
61,314,bt_nllb_persian,Seaweed,0.4804
62,314,bt_nllb_swahili,Seaweed,0.4804
63,314,conceptluster.topn5.3.bm25,marine vegetation ocean,0.1318
64,314,conceptluster.topn5.3.qld,marine vegetation ocean,0.1318
65,314,tagmee.topn3,marine vegetation Ocean Vegetation,0.1268
66,314,wiki.topn3,marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation,0.117
67,314,tagmee.topn3.replace,Ocean Vegetation,0.1112
68,314,bt_nllb_russian,Sea vegetation,0.1041
69,314,bt_bing_korean,Marine Plants,0.0716
70,314,bt_bing_malay,Marine plants,0.0716
71,314,bt_bing_tamil,Marine plants,0.0716
72,314,bt_nllb_arabic,Marine plants,0.0716
73,314,wiki.topn3.replace,ocean current seabed continental shelf ocean ecosystem biome biomes vegetation,0.0653
74,314,bt_nllb_german,Protection of the seas,0.0534
75,314,bt_nllb_chinese_yue,Sea plants,0.0312
76,314,bt_nllb_korean,Sea plants,0.0312
77,314,bt_nllb_malay,Sea plants,0.0312
78,314,bt_nllb_tamil,Sea plants,0.0312
79,315,-1,Unexplained Highway Accidents,0.1104
80,315,bt_nllb_chinese_yue,The cause of the accident is unknown,0.1882
81,315,tagmee.topn3,unexplained highway accidents Highway Traffic collision,0.1337
82,315,conceptluster.topn5.3.bm25,unexplained highway accidents traffic collision,0.1313
83,315,conceptluster.topn5.3.qld,unexplained highway accidents traffic collision,0.1313
84,315,wordnet.topn3,unexplained highway accidents main road chance event stroke,0.1225
85,316,-1,Polygamy Polyandry Polygyny,0.7496
86,316,bt_bing_chinese_simplified,Polygamy Polyandry polyandry,0.7971
87,316,bt_bing_arabic,Polygamy Polyandry Polygamy,0.7927
88,316,bt_bing_french,Polygamy Polyandry Polygamy,0.7927
89,316,bt_bing_malay,Polygamous Polygamy Polygamy Polygamy,0.7889
90,316,bt_bing_korean,polygamy polygamy polygamy,0.7715
91,316,bt_bing_persian,Polygini Polygini Polygamy,0.7715
92,316,bt_bing_tamil,Polygamy Polygamy,0.7715
93,316,bt_nllb_chinese_yue,Polygamy polygamy polygamy and polygamy,0.7715
94,316,bt_nllb_french,Polygamy and polygamy,0.7715
95,316,bt_nllb_german,Polygamy and polygamy,0.7715
96,316,bt_nllb_malay,Polygamy Polygamy,0.7715
97,317,-1,Unsolicited Faxes,0.7129
98,317,sensedisambiguation,Unsolicited unasked Faxes facsimile,0.7799
99,318,-1,Best Retirement Country,0.0276
100,318,glove.topn3,best retirement country well better nation already,0.064
101,318,sensedisambiguation,Best Retirement Country state,0.0365
102,319,-1,New Fuel Sources,0.1447
103,319,anchor.topn3,new fuel sources bibalayeva forms new yappin fuel inject mixed oxid gas motor,0.183
104,319,anchor.topn3.replace,bibalayeva forms new yappin fuel inject mixed oxid gas motor sources,0.1574
105,320,-1,Undersea Fiber Optic Cable,0.2138
106,320,relevancefeedback.topn10.qld,undersea fiber optic cable system cabl sprint data stc,0.3285
107,320,anchor.topn3,undersea fiber optic cable uuv samayamaayi adventure queu fibr cable nowiki disappearing fila itmo spbsu,0.3231
108,320,sensedisambiguation,Undersea submarine Fiber roughage Optic eye Cable cable television,0.3169
109,320,bt_nllb_french,Submarine fibre optic cable,0.3073
110,320,relevancefeedback.topn10.bm25,undersea fiber optic cable system sprint cabl data,0.3011
111,320,wordnet.topn3.replace,submarine fibre vulcanized fiber ocular eye overseas telegram telegraph cable length,0.2922
112,320,anchor.topn3.replace,uuv samayamaayi adventure queu fibr cable nowiki disappearing fila itmo spbsu cable,0.2885
113,320,bt_bing_swahili,Undersea optical cable,0.2667
114,320,tagmee.topn3.replace,Submarine communications cable Optical fiber,0.2599
115,320,bt_bing_chinese_simplified,Submarine fiber optic cables,0.2523
116,320,bt_bing_french,Fiber Optic Submarine Cable,0.2523
117,320,bt_bing_korean,Submarine Fiber Optic Cable,0.2523
118,320,bt_bing_russian,Submarine Fiber Optic Cable,0.2523
119,320,wordnet.topn3,undersea fiber optic cable submarine fibre vulcanized fiber ocular eye overseas telegram telegraph cable length,0.2333
120,320,word2vec.topn3,undersea fiber optic cable deep sea underwater fibre cable TV,0.223
121,321,-1,Women in Parliaments,0.3349
122,322,-1,International Art Crime,0.016
123,322,word2vec.topn3,international art crime national global domestic artwork artworks criminality,0.1352
124,322,word2vec.topn3.replace,national global domestic artwork artworks criminality,0.0909
125,322,sensedisambiguation,International Art artwork Crime,0.0888
126,322,wordnet.topn3,international art crime external artwork artistry artistic creation criminal offense criminal offence law breaking,0.0724
127,322,sensedisambiguation.replace,international artwork crime,0.0524
128,322,wordnet.topn3.replace,external artwork artistry artistic creation criminal offense criminal offence law breaking,0.0485
129,322,conceptnet.topn3,international art crime painting paint paintings,0.0198
130,322,bt_bing_french,International Crime Against Art,0.0182
131,322,bt_nllb_french,International crime against art,0.0182
132,323,-1,Literary/Journalistic Plagiarism,0.435
133,323,stem.lovins,liter journ plagiar,0.52
134,323,tagmee.topn3,literary journalistic plagiarism Literature Journalism Plagiarism,0.4947
135,323,bt_nllb_malay,Literary plagiarism,0.4689
136,324,-1,Argentine/British Relations,0.4965
137,324,stem.krovetz,argentina britain relations,0.5434
138,324,bt_nllb_malay,The Argentine British relationship,0.4977
139,324,word2vec.topn3.replace,argentine british relationships,0.4977
140,325,-1,Cult Lifestyles,0.2437
141,325,wiki.topn3,cult lifestyles cults anti cult terms concepts occult cult lifestyle lifestylmagazine travel lifestyle sociology,0.2808
142,325,anchor.topn3,cult lifestyles genestealer reproduct cult tsumbubura,0.2773
143,326,-1,Ferry Sinkings,0.7257
144,326,relevancefeedback.topn10.qld,ferry sinkings last ship safeti titan estonia ferri pound,0.813
145,326,relevancefeedback.topn10.bm25,ferry sinkings estonia safeti titan ro ferri ship,0.8027
146,327,-1,Modern Slavery,0.3936
147,327,anchor.topn3.replace,burdah jardot originalité slavery,0.5799
148,327,wordnet.topn3,modern slavery Bodoni modernistic bondage slaveholding,0.5423
149,327,tagmee.topn3.replace,Slavery Slavery in the United States,0.5413
150,327,tagmee.topn3,modern slavery Slavery Slavery in the United States,0.4725
151,327,conceptluster.topn5.3.bm25,modern slavery slavery united states,0.43
152,327,conceptluster.topn5.3.qld,modern slavery slavery united states,0.43
153,327,bt_nllb_malay,Modern day Slavery,0.4184
154,327,relevancefeedback.topn10.bm25,modern slavery murder india iv econom slaveri our westwood r rep d,0.3944
155,328,-1,Pope Beatifications,0.784
156,328,sensedisambiguation,Pope Beatifications beatification,0.8358
157,329,-1,Mexican Air Pollution,0.4808
158,329,bt_bing_chinese_simplified,Air pollution in Mexico,0.6167
159,329,bt_bing_french,Air Pollution in Mexico,0.6167
160,329,bt_bing_german,Air pollution in Mexico,0.6167
161,329,bt_bing_korean,Air pollution in Mexico,0.6167
162,329,bt_bing_russian,Air pollution in Mexico,0.6167
163,329,bt_bing_swahili,Air pollution of Mexico,0.6167
164,329,bt_nllb_arabic,Air pollution in Mexico,0.6167
165,329,bt_nllb_chinese_yue,Air pollution in Mexico,0.6167
166,329,bt_nllb_french,Air Pollution in Mexico,0.6167
167,329,bt_nllb_german,Air pollution in Mexico,0.6167
168,329,bt_nllb_korean,Air Pollution in Mexico,0.6167
169,329,bt_nllb_malay,Air Pollution in Mexico,0.6167
170,329,bt_nllb_persian,Air pollution in Mexico,0.6167
171,329,bt_nllb_russian,Air pollution in Mexico,0.6167
172,329,bt_nllb_swahili,Air Pollution in Mexico,0.6167
173,329,stem.krovetz,mexico air pollution,0.6167
174,329,glove.topn3,mexican air pollution mexico force flying environmental,0.5112
