qid	order	query	bm25.ndcg
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	0.6356
1015624	-1	What's the Definition of a bloody mary?	0.735
1015624	bertqe.topn10.qld	she known bloodi mari drink	0.8406
1015624	tagmee.topn3	s definition bloody mary Papal infallibility Mary I of England	0.7953
1015624	relevancefeedback.topn10.qld	what s the definition of a bloody mary mari bloodi england	0.7886
1015624	conceptluster.topn5.3.bm25	s definition bloody mary papal infallibility mary england	0.7613
1015624	conceptluster.topn5.3.qld	s definition bloody mary papal infallibility mary england	0.7613
1015624	termluster.topn5.3.bm25	s definition bloody mary	0.7497
1015624	termluster.topn5.3.qld	s definition bloody mary	0.7497
1015624	thesaurus.topn3	s definition bloody mary	0.7497
1015624	thesaurus.topn3.replace	s definition bloody mary	0.7497
1015624	rm3.topn10.10.0.5.bm25	Whats the Definition of a bloody mary?	0.7408
1015624	rm3.topn10.10.0.5.qld	Whats the Definition of a bloody mary?	0.7408
1017690	-1	what is the history of indian music?	0.6874
1017690	conceptluster.topn5.3.bm25	history indian music	0.729
1017690	conceptluster.topn5.3.qld	history indian music	0.729
1017690	tagmee.topn3	history indian music	0.729
1017690	termluster.topn5.3.bm25	history indian music	0.729
1017690	termluster.topn5.3.qld	history indian music	0.729
1017690	thesaurus.topn3	history indian music	0.729
1017690	thesaurus.topn3.replace	history indian music	0.729
1017690	wiki.topn3	history indian music	0.729
1035857	-1	Why are liberals so quick to defend Saddam?	0.544
1035857	termluster.topn5.3.bm25	liberals quick defend saddam	0.6313
1035857	termluster.topn5.3.qld	liberals quick defend saddam	0.6313
1035857	thesaurus.topn3	liberals quick defend saddam	0.6313
1035857	thesaurus.topn3.replace	liberals quick defend saddam	0.6313
1035857	stem.porter2	whi are liber so quick to defend saddam	0.5695
103830	-1	Why do man Arabs hate the west ?	0.6497
103830	termluster.topn5.3.bm25	man arabs hate west	0.7359
103830	termluster.topn5.3.qld	man arabs hate west	0.7359
103830	thesaurus.topn3	man arabs hate west	0.7359
103830	thesaurus.topn3.replace	man arabs hate west	0.7359
103830	stem.porter2	whi do man arab hate the west	0.6976
1063812	-1	How do I grow taller?	0.5694
1063812	relevancefeedback.topn10.qld	how do i grow taller bright you my taller u	0.5703
1077370	-1	Why do only Humans have Finger prints?	0.6868
1077370	termluster.topn5.3.bm25	humans finger prints	0.7206
1077370	termluster.topn5.3.qld	humans finger prints	0.7206
1077370	thesaurus.topn3	humans finger prints	0.7206
1077370	thesaurus.topn3.replace	humans finger prints	0.7206
1077370	sensedisambiguation	Why do only Humans homo have Finger prints print	0.6965
1082595	-1	what is meant by mobile technology?	0.5763
