,qid,order,query,qld.ndcg
0,INEX_LD-2009022,-1,Szechwan dish food cuisine,0.2251
1,INEX_LD-2009022,bt_bing_french,Sichuan Dish Cuisine,0.6823
2,INEX_LD-2009022,bt_bing_chinese_simplified,Sichuan cuisine,0.6297
3,INEX_LD-2009022,bt_bing_russian,Sichuan Dish Food Cuisine,0.5289
4,INEX_LD-2009022,wordnet.topn3.replace,Sichuan Szechuan Szechwan province sweetheart dish out solid food food for thought culinary art,0.4335
5,INEX_LD-2009022,bt_bing_korean,Sichuan cuisine food cooking,0.4262
6,INEX_LD-2009022,bt_bing_german,Szechuan Dish Kitchen,0.3923
7,INEX_LD-2009022,wordnet.topn3,szechwan dish food cuisine Szechuan Sichuan smasher beauty food for thought solid food nutrient culinary art,0.3808
8,INEX_LD-2009022,conceptluster.topn5.3.bm25,szechwan dish food cuisine food cuisine sichuan dish food,0.3567
9,INEX_LD-2009022,conceptluster.topn5.3.qld,szechwan dish food cuisine sichuan cuisine food dish food,0.3567
10,INEX_LD-2009022,tagmee.topn3,szechwan dish food cuisine Sichuan Dish food Food Cuisine,0.3567
11,INEX_LD-2009022,conceptnet.topn3,szechwan dish food cuisine Szechuan China plate cake rice rechauffe,0.3357
12,INEX_LD-2009022,tagmee.topn3.replace,Sichuan Dish food Food Cuisine,0.3353
13,INEX_LD-2009022,anchor.topn3,szechwan dish food cuisine setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar,0.3332
14,INEX_LD-2009022,anchor.topn3.replace,setzuan sechuan szechuan rasslin m tofu oth neophobia food foods cross solfar cuisine,0.3233
15,INEX_LD-2009022,bt_bing_persian,Sichuan Food,0.2949
16,INEX_LD-2009022,conceptnet.topn3.replace,Szechuan China plate cake rice rechauffe,0.2946
17,INEX_LD-2009022,relevancefeedback.topn10.bm25,szechwan dish food cuisine cuisin chines veget rice pepper banitsa tabl pot pölsa octopu,0.2906
18,INEX_LD-2009022,wiki.topn3,szechwan dish food cuisine sichuan shaanxi hunan sichuan list legumdishes past food batter cooking dish food foods cuisine meat food brunch veal veal cuisine,0.2591
19,INEX_LD-2009022,bt_bing_malay,Szechwan dish food cuisine,0.2251
20,INEX_LD-2009022,docluster.topn10.3.bm25,szechwan dish food cuisine,0.2251
21,INEX_LD-2009022,docluster.topn10.3.qld,szechwan dish food cuisine,0.2251
22,INEX_LD-2009022,original,Szechwan dish food cuisine,0.2251
23,INEX_LD-2009022,rm3.topn10.10.0.5.bm25,Szechwan dish food cuisine,0.2251
24,INEX_LD-2009022,rm3.topn10.10.0.5.qld,Szechwan dish food cuisine,0.2251
25,INEX_LD-2009022,stem.krovetz,szechwan dish food cuisine,0.2251
26,INEX_LD-2009022,stem.porter,szechwan dish food cuisin,0.2251
27,INEX_LD-2009022,stem.porter2,szechwan dish food cuisin,0.2251
28,INEX_LD-2009022,stem.sstemmer,szechwan dish food cuisine,0.2251
29,INEX_LD-2009022,termluster.topn5.3.bm25,szechwan dish food cuisine,0.2251
30,INEX_LD-2009022,termluster.topn5.3.qld,szechwan dish food cuisine,0.2251
31,INEX_LD-2009022,thesaurus.topn3,szechwan dish food cuisine,0.2251
32,INEX_LD-2009022,thesaurus.topn3.replace,szechwan dish food cuisine,0.2251
33,INEX_LD-2009039,-1,roman architecture,0.3549
34,INEX_LD-2009039,conceptluster.topn5.3.bm25,roman architecture ancient roman architecture,0.4563
35,INEX_LD-2009039,conceptluster.topn5.3.qld,roman architecture ancient roman architecture,0.4563
36,INEX_LD-2009039,tagmee.topn3,roman architecture Ancient Roman architecture,0.4563
37,INEX_LD-2009039,tagmee.topn3.replace,Ancient Roman architecture,0.4094
38,INEX_LD-2009039,bt_bing_arabic,Roman architecture,0.3549
39,INEX_LD-2009039,bt_bing_chinese_simplified,Roman architecture,0.3549
40,INEX_LD-2009039,bt_bing_french,Roman Architecture,0.3549
41,INEX_LD-2009039,bt_bing_german,Roman Architecture,0.3549
42,INEX_LD-2009039,bt_bing_korean,Roman architecture,0.3549
43,INEX_LD-2009039,bt_bing_malay,Roman architecture,0.3549
44,INEX_LD-2009039,bt_bing_persian,Roman architecture,0.3549
45,INEX_LD-2009039,bt_bing_russian,Roman architecture,0.3549
46,INEX_LD-2009039,bt_bing_swahili,Roman architecture,0.3549
47,INEX_LD-2009039,bt_bing_tamil,Roman architecture,0.3549
48,INEX_LD-2009039,bt_nllb_arabic,Roman architecture,0.3549
49,INEX_LD-2009039,bt_nllb_chinese_yue,Roman architecture,0.3549
50,INEX_LD-2009039,bt_nllb_french,Roman architecture,0.3549
51,INEX_LD-2009039,bt_nllb_german,Roman architecture,0.3549
52,INEX_LD-2009039,bt_nllb_korean,Roman architecture,0.3549
53,INEX_LD-2009039,bt_nllb_malay,Roman architecture,0.3549
54,INEX_LD-2009039,bt_nllb_persian,Roman architecture,0.3549
55,INEX_LD-2009039,bt_nllb_russian,Roman architecture,0.3549
56,INEX_LD-2009039,bt_nllb_swahili,Roman architecture,0.3549
57,INEX_LD-2009039,bt_nllb_tamil,Roman architecture,0.3549
58,INEX_LD-2009039,docluster.topn10.3.bm25,roman architecture,0.3549
59,INEX_LD-2009039,docluster.topn10.3.qld,roman architecture,0.3549
60,INEX_LD-2009039,original,roman architecture,0.3549
61,INEX_LD-2009039,rm3.topn10.10.0.5.bm25,roman architecture,0.3549
62,INEX_LD-2009039,rm3.topn10.10.0.5.qld,roman architecture,0.3549
63,INEX_LD-2009039,stem.krovetz,roman architecture,0.3549
64,INEX_LD-2009039,stem.lovins,roman architectur,0.3549
65,INEX_LD-2009039,stem.porter,roman architectur,0.3549
66,INEX_LD-2009039,stem.porter2,roman architectur,0.3549
67,INEX_LD-2009039,stem.sstemmer,roman architecture,0.3549
68,INEX_LD-2009039,termluster.topn5.3.bm25,roman architecture,0.3549
69,INEX_LD-2009039,termluster.topn5.3.qld,roman architecture,0.3549
70,INEX_LD-2009039,thesaurus.topn3,roman architecture,0.3549
71,INEX_LD-2009039,thesaurus.topn3.replace,roman architecture,0.3549
72,INEX_LD-2009053,-1,finland car industry manufacturer saab sisu,0.5735
73,INEX_LD-2009053,stem.lovins,finland car industr manufacturer saab sisu,0.6303
74,INEX_LD-2009053,bt_bing_russian,Finnish automotive manufacturer Saab Sisu,0.6139
75,INEX_LD-2009053,bt_bing_french,Finnish car manufacturer Saab Sisu,0.5987
76,INEX_LD-2009053,bt_bing_german,Finnish car manufacturer Saab Sisu,0.5987
77,INEX_LD-2009053,bt_nllb_chinese_yue,Finnish car manufacturer Saab sisu,0.5987
78,INEX_LD-2009053,bt_nllb_french,Finnish car manufacturer saab sisu,0.5987
79,INEX_LD-2009053,bt_nllb_german,Finnish car manufacturer Saab sisu,0.5987
80,INEX_LD-2009053,bt_nllb_malay,Finnish car manufacturer saab sisu,0.5987
81,INEX_LD-2009053,bt_nllb_persian,Finnish car manufacturer Saab sisu,0.5987
82,INEX_LD-2009053,bt_nllb_swahili,Finnish car manufacturer saab sisu,0.5987
83,INEX_LD-2009053,anchor.topn3,finland car industry manufacturer saab sisu estonia lithuania norway mashti lc used car x turbo x drakens nalle sisu lahore iii kb,0.5954
84,INEX_LD-2009053,bt_bing_arabic,Finland manufacturer Saab Sisu,0.582
85,INEX_LD-2009053,stem.paicehusk,finland car industry manufact saab sisu,0.5739
86,INEX_LD-2009053,bt_bing_tamil,Finland car industry manufacturer Saab Sisu,0.5735
87,INEX_LD-2009053,docluster.topn10.3.bm25,finland car industry manufacturer saab sisu,0.5735
88,INEX_LD-2009053,docluster.topn10.3.qld,finland car industry manufacturer saab sisu,0.5735
89,INEX_LD-2009053,original,finland car industry manufacturer saab sisu,0.5735
90,INEX_LD-2009053,rm3.topn10.10.0.5.bm25,finland car industry manufacturer saab sisu,0.5735
91,INEX_LD-2009053,rm3.topn10.10.0.5.qld,finland car industry manufacturer saab sisu,0.5735
92,INEX_LD-2009053,sensedisambiguation,finland car industry manufacturer saab sisu,0.5735
93,INEX_LD-2009053,sensedisambiguation.replace,finland car industry manufacturer saab sisu,0.5735
94,INEX_LD-2009053,stem.krovetz,finland car industry manufacturer saab sisu,0.5735
95,INEX_LD-2009053,stem.porter,finland car industri manufactur saab sisu,0.5735
96,INEX_LD-2009053,stem.porter2,finland car industri manufactur saab sisu,0.5735
97,INEX_LD-2009053,stem.sstemmer,finland car industry manufacturer saab sisu,0.5735
98,INEX_LD-2009053,termluster.topn5.3.bm25,finland car industry manufacturer saab sisu,0.5735
99,INEX_LD-2009053,termluster.topn5.3.qld,finland car industry manufacturer saab sisu,0.5735
100,INEX_LD-2009053,thesaurus.topn3,finland car industry manufacturer saab sisu,0.5735
101,INEX_LD-2009053,thesaurus.topn3.replace,finland car industry manufacturer saab sisu,0.5735
102,INEX_LD-2009061,-1,france second world war normandy,0.4079
103,INEX_LD-2009061,relevancefeedback.topn10.qld,france second world war normandy commando beach bridg cemeteri divis caen battl,0.4861
104,INEX_LD-2009061,bt_bing_malay,France of the Second World War Normandy,0.4079
105,INEX_LD-2009061,bt_nllb_french,France Second World War Normandy,0.4079
106,INEX_LD-2009061,bt_nllb_german,France Second World War Normandy,0.4079
107,INEX_LD-2009061,bt_nllb_malay,France Second World War Normandy,0.4079
108,INEX_LD-2009061,bt_nllb_persian,France the Second World War Normandy,0.4079
109,INEX_LD-2009061,bt_nllb_russian,France Second World War Normandy,0.4079
110,INEX_LD-2009061,bt_nllb_swahili,France Second World War Normandy,0.4079
111,INEX_LD-2009061,docluster.topn10.3.bm25,france second world war normandy,0.4079
112,INEX_LD-2009061,docluster.topn10.3.qld,france second world war normandy,0.4079
113,INEX_LD-2009061,original,france second world war normandy,0.4079
114,INEX_LD-2009061,rm3.topn10.10.0.5.bm25,france second world war normandy,0.4079
115,INEX_LD-2009061,rm3.topn10.10.0.5.qld,france second world war normandy,0.4079
116,INEX_LD-2009061,stem.krovetz,france second world war normandy,0.4079
117,INEX_LD-2009061,stem.porter,franc second world war normandi,0.4079
118,INEX_LD-2009061,stem.porter2,franc second world war normandi,0.4079
119,INEX_LD-2009061,stem.sstemmer,france second world war normandy,0.4079
120,INEX_LD-2009061,termluster.topn5.3.bm25,france second world war normandy,0.4079
121,INEX_LD-2009061,termluster.topn5.3.qld,france second world war normandy,0.4079
122,INEX_LD-2009061,thesaurus.topn3,france second world war normandy,0.4079
123,INEX_LD-2009061,thesaurus.topn3.replace,france second world war normandy,0.4079
124,INEX_LD-2009062,-1,social network group selection,0.3438
125,INEX_LD-2009062,sensedisambiguation.replace,social network group survival,0.3545
126,INEX_LD-2009062,bt_bing_chinese_simplified,Social network group selection,0.3438
127,INEX_LD-2009062,bt_bing_german,Group selection on social networks,0.3438
128,INEX_LD-2009062,bt_bing_malay,Selection of social network groups,0.3438
129,INEX_LD-2009062,bt_bing_persian,Select Social Network Group,0.3438
130,INEX_LD-2009062,bt_bing_swahili,Social Network Group Selection,0.3438
131,INEX_LD-2009062,bt_bing_tamil,Social Network Group Selection,0.3438
132,INEX_LD-2009062,bt_nllb_french,selection of social network group,0.3438
133,INEX_LD-2009062,bt_nllb_german,Selection of groups in the social network,0.3438
134,INEX_LD-2009062,bt_nllb_russian,selection of groups in social networks,0.3438
135,INEX_LD-2009062,bt_nllb_tamil,Social networking group selection,0.3438
136,INEX_LD-2009062,conceptluster.topn5.3.bm25,social network group selection social network group selection,0.3438
137,INEX_LD-2009062,conceptluster.topn5.3.qld,social network group selection group selection social network,0.3438
138,INEX_LD-2009062,docluster.topn10.3.bm25,social network group selection,0.3438
139,INEX_LD-2009062,docluster.topn10.3.qld,social network group selection,0.3438
140,INEX_LD-2009062,original,social network group selection,0.3438
141,INEX_LD-2009062,rm3.topn10.10.0.5.bm25,social network group selection,0.3438
142,INEX_LD-2009062,rm3.topn10.10.0.5.qld,social network group selection,0.3438
143,INEX_LD-2009062,stem.krovetz,social network group selection,0.3438
144,INEX_LD-2009062,stem.porter,social network group select,0.3438
145,INEX_LD-2009062,stem.porter2,social network group select,0.3438
146,INEX_LD-2009062,stem.sstemmer,social network group selection,0.3438
147,INEX_LD-2009062,tagmee.topn3,social network group selection Social network Group selection,0.3438
148,INEX_LD-2009062,tagmee.topn3.replace,Social network Group selection,0.3438
149,INEX_LD-2009062,termluster.topn5.3.bm25,social network group selection,0.3438
150,INEX_LD-2009062,termluster.topn5.3.qld,social network group selection,0.3438
151,INEX_LD-2009062,thesaurus.topn3,social network group selection,0.3438
152,INEX_LD-2009062,thesaurus.topn3.replace,social network group selection,0.3438
153,INEX_LD-2009063,-1,D-Day normandy invasion,0.327
154,INEX_LD-2009063,wiki.topn3,d day normandy invasion invasion normandy operation overlord battle caen normandy landings operation neptune normandy landings invasion normandy operation overlord omaha beach normandy landings utah beach invasion normandy,0.3882
