,qid,order,query,bm25.ndcg
0,301,-1,International Organized Crime,0.0586
1,301,wiki.topn3,international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.1324
2,301,wiki.topn3.replace,constitutional law public international law criminal law international law extortion mafia money laundering organized crime,0.1232
3,301,anchor.topn3,international organized crime confédérat föderat kanusport anti corruption anti econom drug,0.1047
4,301,glove.topn3,international organized crime global which organised criminal,0.091
5,301,word2vec.topn3,international organized crime national global domestic organised criminality,0.0847
6,301,bt_bing_arabic,International organized crime,0.0586
7,301,bt_bing_chinese_simplified,International Organized Crime,0.0586
8,301,bt_bing_french,International Organized Crime,0.0586
9,301,bt_bing_german,International Organized Crime,0.0586
10,301,bt_bing_korean,International Organized Crime,0.0586
11,301,bt_bing_persian,International Organized Crime,0.0586
12,301,bt_bing_russian,International organized crime,0.0586
13,301,bt_bing_tamil,International organized crime,0.0586
14,301,bt_nllb_arabic,International organized crime,0.0586
15,301,bt_nllb_chinese_yue,International organized crime,0.0586
16,301,bt_nllb_french,International organized crime,0.0586
17,301,bt_nllb_korean,International organized crime,0.0586
18,301,bt_nllb_persian,International organized crime,0.0586
19,301,bt_nllb_russian,International organized crime,0.0586
20,301,bt_nllb_tamil,International organized crime,0.0586
21,301,docluster.topn10.3.bm25,international organized crime,0.0586
22,301,docluster.topn10.3.qld,international organized crime,0.0586
23,301,original,International Organized Crime,0.0586
24,301,rm3.topn10.10.0.5.bm25,International Organized Crime,0.0586
25,301,rm3.topn10.10.0.5.qld,International Organized Crime,0.0586
26,301,stem.krovetz,international organized crime,0.0586
27,301,stem.porter2,intern organ crime,0.0586
28,301,stem.sstemmer,international organized crime,0.0586
29,301,termluster.topn5.3.bm25,international organized crime,0.0586
30,301,termluster.topn5.3.qld,international organized crime,0.0586
31,301,thesaurus.topn3,international organized crime,0.0586
32,301,thesaurus.topn3.replace,international organized crime,0.0586
33,302,-1,Poliomyelitis and Post-Polio,0.7405
34,302,relevancefeedback.topn10.qld,poliomyelitis and post polio case polio i health hi vaccin china percent,0.7535
35,302,wordnet.topn3,poliomyelitis post polio polio acute anterior poliomyelitis,0.7491
36,302,relevancefeedback.topn10.bm25,poliomyelitis and post polio case polio i health vaccin china aid,0.7482
37,302,anchor.topn3,poliomyelitis post polio kentuckyon rwjbarnaba lcmc,0.7405
38,302,bt_bing_chinese_simplified,Poliomyelitis and post polio,0.7405
39,302,bt_bing_german,Poliomyelitis and post polio,0.7405
40,302,bt_bing_swahili,Poliomyelitis and post polio,0.7405
41,302,conceptnet.topn3,poliomyelitis post polio,0.7405
42,302,conceptnet.topn3.replace,poliomyelitis post polio,0.7405
43,302,docluster.topn10.3.bm25,poliomyelitis and post polio,0.7405
44,302,docluster.topn10.3.qld,poliomyelitis and post polio,0.7405
45,302,original,Poliomyelitis and Post Polio,0.7405
46,302,rm3.topn10.10.0.5.bm25,Poliomyelitis and Post-Polio,0.7405
47,302,rm3.topn10.10.0.5.qld,Poliomyelitis and Post-Polio,0.7405
48,302,sensedisambiguation,Poliomyelitis and Post Polio,0.7405
49,302,sensedisambiguation.replace,poliomyelitis and Post Polio,0.7405
50,302,stem.krovetz,poliomyeliti and post polio,0.7405
51,302,stem.porter,poliomyel and post polio,0.7405
52,302,stem.porter2,poliomyel and post polio,0.7405
53,302,stem.sstemmer,poliomyeliti and post polio,0.7405
54,302,termluster.topn5.3.bm25,poliomyelitis post polio,0.7405
55,302,termluster.topn5.3.qld,poliomyelitis post polio,0.7405
56,302,thesaurus.topn3,poliomyelitis post polio,0.7405
57,302,thesaurus.topn3.replace,poliomyelitis post polio,0.7405
58,303,-1,Hubble Telescope Achievements,0.5126
59,303,wiki.topn3,hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope,0.6668
60,303,wiki.topn3.replace,great observatories program hubble space telescope standard candles hubble space telescope,0.6633
61,303,bt_nllb_swahili,The results of the Hubble Telescope,0.5694
62,303,conceptnet.topn3,hubble telescope achievements Edwin Powell Hubble scotland heap,0.5226
63,303,bt_bing_persian,Hubble Telescope,0.515
64,303,anchor.topn3,hubble telescope achievements,0.5126
65,303,anchor.topn3.replace,hubble telescope achievements,0.5126
66,303,bt_bing_arabic,Achievements of the Hubble Telescope,0.5126
67,303,bt_bing_chinese_simplified,Hubble Telescope Achievement,0.5126
68,303,bt_bing_french,Achievements of the Hubble Telescope,0.5126
69,303,bt_bing_german,Achievements of the Hubble Telescope,0.5126
70,303,bt_bing_korean,Hubble Telescope Achievements,0.5126
71,303,bt_bing_malay,Hubble Telescope Achievements,0.5126
72,303,bt_bing_russian,Achievements of the Hubble Telescope,0.5126
73,303,bt_bing_tamil,Achievements of the Hubble telescope,0.5126
74,303,bt_nllb_arabic,The achievements of the Hubble Telescope,0.5126
75,303,bt_nllb_french,The achievements of the Hubble Telescope,0.5126
76,303,bt_nllb_german,Achievements of the Hubble Telescope,0.5126
77,303,bt_nllb_malay,The achievements of the Hubble Telescope,0.5126
78,303,bt_nllb_persian,The achievements of the Hubble Telescope,0.5126
79,303,bt_nllb_russian,The achievements of the Hubble Telescope,0.5126
80,303,docluster.topn10.3.bm25,hubble telescope achievements,0.5126
81,303,docluster.topn10.3.qld,hubble telescope achievements,0.5126
82,303,original,Hubble Telescope Achievements,0.5126
83,303,rm3.topn10.10.0.5.bm25,Hubble Telescope Achievements,0.5126
84,303,rm3.topn10.10.0.5.qld,Hubble Telescope Achievements,0.5126
85,303,stem.krovetz,hubble telescope achievement,0.5126
86,303,stem.lovins,hubbl telescop achievement,0.5126
87,303,stem.paicehusk,hubbl telescop achiev,0.5126
88,303,stem.porter,hubbl telescop achiev,0.5126
89,303,stem.porter2,hubbl telescop achiev,0.5126
90,303,stem.sstemmer,hubble telescope achievement,0.5126
91,303,termluster.topn5.3.bm25,hubble telescope achievements,0.5126
92,303,termluster.topn5.3.qld,hubble telescope achievements,0.5126
93,303,thesaurus.topn3,hubble telescope achievements,0.5126
94,303,thesaurus.topn3.replace,hubble telescope achievements,0.5126
95,304,-1,Endangered Species (Mammals),0.2081
96,304,conceptluster.topn5.3.bm25,endangered species mammals endangered species,0.2202
97,304,conceptluster.topn5.3.qld,endangered species mammals endangered species,0.2202
98,304,bt_bing_arabic,Endangered species mammals,0.2081
99,304,bt_bing_chinese_simplified,Endangered species mammals,0.2081
100,304,bt_bing_german,Endangered species mammals,0.2081
101,304,bt_bing_korean,Endangered species mammals,0.2081
102,304,bt_bing_russian,Endangered species mammals,0.2081
103,304,bt_bing_swahili,Endangered species mammals,0.2081
104,304,bt_bing_tamil,Endangered species mammals,0.2081
105,304,bt_nllb_arabic,Endangered species mammals,0.2081
106,304,bt_nllb_french,Endangered species mammal,0.2081
107,304,bt_nllb_german,Endangered species mammal,0.2081
108,304,bt_nllb_malay,Endangered species mammal,0.2081
109,304,docluster.topn10.3.bm25,endangered species mammals,0.2081
110,304,docluster.topn10.3.qld,endangered species mammals,0.2081
111,304,original,Endangered Species Mammals,0.2081
112,304,rm3.topn10.10.0.5.bm25,Endangered Species (Mammals),0.2081
113,304,rm3.topn10.10.0.5.qld,Endangered Species (Mammals),0.2081
114,304,stem.krovetz,endanger species mammal,0.2081
115,304,stem.porter,endang speci mammal,0.2081
116,304,stem.porter2,endang speci mammal,0.2081
117,304,stem.sstemmer,endangered specy mammal,0.2081
118,304,tagmee.topn3,endangered species mammals Endangered species Mammal,0.2081
119,304,tagmee.topn3.replace,Endangered species Mammal,0.2081
120,304,termluster.topn5.3.bm25,endangered species mammals,0.2081
121,304,termluster.topn5.3.qld,endangered species mammals,0.2081
122,304,thesaurus.topn3,endangered species mammals,0.2081
123,304,thesaurus.topn3.replace,endangered species mammals,0.2081
124,305,-1,Most Dangerous Vehicles,0.0323
125,305,wordnet.topn3,dangerous vehicles life threatening unsafe fomite,0.0493
126,305,conceptnet.topn3,dangerous vehicles Explosives driving Some people,0.049
127,305,wiki.topn3.replace,risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.0486
128,305,wiki.topn3,dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle,0.0457
129,305,tagmee.topn3.replace,Risk Vehicle,0.0425
130,305,conceptluster.topn5.3.bm25,dangerous vehicles risk,0.0377
131,305,conceptluster.topn5.3.qld,dangerous vehicles risk,0.0377
132,305,sensedisambiguation,Most Dangerous Vehicles vehicle,0.0375
133,305,tagmee.topn3,dangerous vehicles Risk Vehicle,0.0375
134,305,glove.topn3,dangerous vehicles potentially difficult cars,0.0351
135,305,bt_bing_arabic,The most dangerous vehicles,0.0323
136,305,bt_bing_chinese_simplified,The most dangerous vehicles,0.0323
137,305,bt_bing_french,Most Dangerous Vehicles,0.0323
138,305,bt_bing_german,The Most Dangerous Vehicles,0.0323
139,305,bt_bing_korean,The most dangerous vehicles,0.0323
140,305,bt_bing_malay,Most Dangerous Vehicles,0.0323
141,305,bt_bing_persian,The Most Dangerous Vehicles,0.0323
142,305,bt_bing_russian,The Most Dangerous Vehicles,0.0323
143,305,bt_nllb_french,The most dangerous vehicles,0.0323
144,305,bt_nllb_german,Most dangerous vehicles,0.0323
145,305,bt_nllb_korean,The most dangerous vehicle,0.0323
146,305,bt_nllb_malay,The Most Dangerous Vehicle,0.0323
147,305,bt_nllb_persian,The most dangerous vehicles,0.0323
148,305,bt_nllb_russian,The most dangerous vehicles,0.0323
149,305,bt_nllb_tamil,The most dangerous vehicles,0.0323
150,305,docluster.topn10.3.bm25,most dangerous vehicles,0.0323
151,305,docluster.topn10.3.qld,most dangerous vehicles,0.0323
152,305,original,Most Dangerous Vehicles,0.0323
153,305,rm3.topn10.10.0.5.bm25,Most Dangerous Vehicles,0.0323
154,305,rm3.topn10.10.0.5.qld,Most Dangerous Vehicles,0.0323
155,305,sensedisambiguation.replace,Most dangerous vehicle,0.0323
156,305,stem.krovetz,most dangerous vehicle,0.0323
157,305,stem.lovins,most danger vehicl,0.0323
158,305,stem.porter,most danger vehicl,0.0323
159,305,stem.porter2,most danger vehicl,0.0323
160,305,stem.sstemmer,most dangerous vehicle,0.0323
161,306,-1,African Civilian Deaths,0.1539
162,306,sensedisambiguation,African Civilian Deaths end,0.1639
163,306,bt_bing_arabic,African civilian deaths,0.1539
164,306,bt_bing_french,Deaths of African civilians,0.1539
165,306,bt_bing_korean,African Civilian Deaths,0.1539
166,306,bt_bing_malay,Death of African Civilians,0.1539
167,306,bt_bing_persian,Deaths of African Civilians,0.1539
168,306,bt_bing_swahili,Deaths of African civilians,0.1539
169,306,bt_nllb_french,The deaths of African civilians,0.1539
170,306,bt_nllb_german,African civilian deaths,0.1539
171,306,docluster.topn10.3.bm25,african civilian deaths,0.1539
172,306,docluster.topn10.3.qld,african civilian deaths,0.1539
173,306,original,African Civilian Deaths,0.1539
174,306,rm3.topn10.10.0.5.bm25,African Civilian Deaths,0.1539
175,306,rm3.topn10.10.0.5.qld,African Civilian Deaths,0.1539
176,306,stem.porter,african civilian death,0.1539
177,306,stem.porter2,african civilian death,0.1539
178,306,stem.sstemmer,african civilian death,0.1539
179,306,termluster.topn5.3.bm25,african civilian deaths,0.1539
180,306,termluster.topn5.3.qld,african civilian deaths,0.1539
181,306,thesaurus.topn3,african civilian deaths,0.1539
182,306,thesaurus.topn3.replace,african civilian deaths,0.1539
183,307,-1,New Hydroelectric Projects,0.3366
184,307,tagmee.topn3.replace,Hydroelectricity Project,0.3394
185,307,bt_bing_french,New hydroelectric projects,0.3366
186,307,bt_bing_malay,New Hydroelectric Project,0.3366
187,307,bt_nllb_chinese_yue,New hydroelectric projects,0.3366
188,307,bt_nllb_french,New hydroelectric projects,0.3366
189,307,bt_nllb_malay,New Hydroelectric Project,0.3366
190,307,bt_nllb_persian,New projects for hydroelectricity,0.3366
