qid	order	query	bm25.recip_rank
100653	-1	how do I go about getting copies of letters of commendation prsented to me from city of san diego?	1.0
1015624	-1	What's the Definition of a bloody mary?	1.0
1017690	-1	what is the history of indian music?	1.0
1035857	-1	Why are liberals so quick to defend Saddam?	1.0
103830	-1	Why do man Arabs hate the west ?	1.0
1063812	-1	How do I grow taller?	1.0
1077370	-1	Why do only Humans have Finger prints?	1.0
1082595	-1	what is meant by mobile technology?	0.5
1082595	bt_nllb_arabic	What does mobile technology mean	1.0
1082595	bt_nllb_chinese_yue	What does mobile technology mean	1.0
1082595	bt_nllb_french	What does mobile technology mean	1.0
1082595	bt_nllb_german	What does mobile technology mean	1.0
1082595	bt_nllb_korean	What is mobile technology	1.0
1082595	bt_nllb_malay	What does mobile technology mean	1.0
1082595	bt_nllb_persian	What does mobile technology mean	1.0
1082595	bt_nllb_russian	What does mobile technology mean	1.0
1082595	bt_nllb_swahili	what is mobile technology	1.0
1082595	bt_nllb_tamil	What is mobile technology	1.0
1119420	-1	Well the black light is UV light.So if it is "black" how can it be "light" ?	1.0
1152934	-1	Why don't fat people have to pay more for air travel?	1.0
1167882	-1	What are the different types of sins and how are they caused?	1.0
1199639	-1	How to "LOSE"all body fat ?	1.0
1254390	-1	how do i deap fry chicken?	0.5
1254390	bt_nllb_french	How do you fry chicken	1.0
1254390	bt_nllb_korean	How do you fry chicken	1.0
1254390	bt_nllb_malay	How can I fry chicken	1.0
1254390	bt_nllb_swahili	How do I deap fried chicken	1.0
1262692	-1	How can I get rid of pimples on my back?	1.0
1282199	-1	how can I hide the cuts on my wrists?	1.0
1287437	-1	how can i lose 30 pounds by june3?	0.5
1290612	-1	why do anxiety and depression seem to coexist?	1.0
1292734	-1	what color you like the most and why?	1.0
1340574	-1	Why do some people only go to church on Easter Sunday and never go again until Christmas ?	1.0
1351675	-1	Why must I have an uncracked winshield in order to for my car to pass a safety inspeciton?	1.0
1364894	-1	Why do we need to tell customer service/operator about our sickness in order to make appointment w/ a doctor?	1.0
1373069	-1	Freedom of Speech - why don't people understand how to use it?	0.5
1373069	bt_nllb_chinese_yue	Freedom of speech Why can t people use it	1.0
1373069	bt_nllb_french	Freedom of speech Why do people not understand how to use it	1.0
1373069	bt_nllb_swahili	Freedom of Speech why do people not understand how to use it	1.0
1373069	bt_nllb_tamil	Freedom of speech Why do people not understand how to use it	1.0
143833	-1	What is the difference between coolant and anti-freeze?	1.0
1459749	-1	Why don't I have an asthma attack during sex?	1.0
1477322	-1	Why do people say Germans are racists?	1.0
1502604	-1	how do crooks  make  fake   passports  ?	1.0
1509982	-1	How is th Chemistry is a basic of Science?	1.0
1582877	-1	why do we go to school if in the real world we dont use most of it?	1.0
159716	-1	How do I find an Inmate at Southwest Detention Center 30755 Auld Rd., Murrieta, CA 92563?	1.0
1607728	-1	what causes gray facial hair in men?	1.0
1623623	-1	How do you improve fuel efficiency of a 2004, Ford Ikon?	1.0
1663853	-1	what is a wet dream?	1.0
1702151	-1	How patient a driver are you?	0.0435
1702151	bt_nllb_french	Are you a patient driver	1.0
1702151	bt_nllb_malay	How patient is your driver	0.1111
172731	-1	how for is saturn from the sun?	1.0
1783010	-1	What is Blaphsemy?	1.0
1794677	-1	How can I treat my Acne Scars?	1.0
1821193	-1	Why do people feed poison (sugar) to their kids on Easter, and why are there no chocolate Jesuses?	1.0
1844896	-1	How to cook Angus burgers?	1.0
1850323	-1	Why some men never wash their hands after using the Urinal/Toilet?	1.0
1862795	-1	How does spending prolonged time in microgravity affect the bodies of astronauts?	0.5
1862795	bt_nllb_chinese_yue	How does the long time spent in microgravity affect the astronaut s body	1.0
1862795	bt_nllb_german	How does a long period of microgravity affect the bodies of astronauts	1.0
1862795	bt_nllb_persian	How does spending a long time in the microgravity affect the astronauts bodies	1.0
1862795	bt_nllb_russian	How long does microgravity affect astronaut bodies	1.0
1862795	bt_nllb_tamil	How does spending long periods of time in microgravity affect the bodies of astronauts	1.0
1866981	-1	I know how I got here, but how did you?	1.0
1880028	-1	What does "see Leaflet" mean on Ept Pregnancy test?	1.0
1937374	-1	how to get 277 V AC ?	1.0
1944018	-1	Why can't teenagers vote?	0.5
1957887	-1	How can I hunt down and punch the people that keep spamming me?	1.0
1964316	-1	What do you mean by "weed"?	1.0
1968489	-1	Which auto insurance do you use and why?	1.0
1971899	-1	what is masturbat***?	1.0
1977054	-1	Couscous is a food from what origin?	1.0
2008017	-1	why do black people like fried chicken somuch?	1.0
2018562	-1	Why does my Black Lab howl to "Law and Order" theme song?	1.0
204633	-1	Why do you have memories?	0.3333
204963	-1	what does 5 by 5 mean?	0.0
2142044	-1	What do you speculate happened to Natalie Holloway in Aruba?	1.0
2180086	-1	what are mormens?	1.0
2182052	-1	why is lemonade at restaurants sometimes different?	1.0
2192891	-1	how are braces put on and do they hurt a lot?	1.0
224109	-1	what is citriscidal?	0.0
224109	bt_nllb_persian	What is citricidal	1.0
224109	bt_nllb_russian	What is citricidal	1.0
225575	-1	what does 'wet behind the ears' mean?	1.0
2290758	-1	Why do people ask questions they know?	0.1429
2290758	bt_nllb_chinese_yue	Why would people ask themselves questions about knowledge	0.5
2290758	bt_nllb_tamil	Why do people ask familiar questions	0.3333
2291272	-1	How is Catholicism not Christianity?	1.0
229303	-1	Why  is  the   war continuing  in  Afghanistan?	1.0
2307305	-1	Why do man rape little girls?	1.0
2309774	-1	Why do I keep seeing people on here 'dissing' on the soldiers in Iraq?	1.0
23464	-1	why girls are beautiful?	1.0
2380990	-1	Why am I alive?	1.0
2382487	-1	what do i do if i have not started my period in like almost 6 months?	0.5
2418598	-1	why do wisdom varies from person to person?	1.0
2443586	-1	What is a Bro?	1.0
2446614	-1	how could u get success?	0.3333
2452795	-1	How can I heat the water within a 150 gal tank that's open to the atmosphere in Feb.?	1.0
2479423	-1	Why is there brail on the keypads at drive up ATM's?	1.0
2484180	-1	why do people judge a dog by what he looks like?	1.0
2528767	-1	How do I determine the charge of the iron ion in FeCl3?	0.5
2528767	bt_nllb_arabic	How do I find the iron ion charge in Fickle	1.0
2529114	-1	since i have premature ejaculation problem, how to satisfy my girl?	1.0
2539741	-1	what cause the car to have white smoke coming from the muffler and making a kicking or knocking sounds?	1.0
2551845	-1	Why is GW dogged for not getting OBL yet killing Zarkawi is a non-event?	1.0
2582920	-1	What is the difference in a dried plum and a dried prune?	1.0
2592121	-1	how to rollover 401k into real estate?	0.25
2592121	bt_nllb_chinese_yue	How do you turn your k into real estate	1.0
2592121	bt_nllb_malay	How do you turn your k into real estate	1.0
2592121	bt_nllb_russian	How do you transfer your k to real estate	1.0
2592121	bt_nllb_arabic	How do you get your k back to real estate	0.5
2592121	bt_nllb_german	How can I turn k into real estate	0.5
2592121	bt_nllb_korean	How do you convert into real estate	0.3333
2592121	bt_nllb_persian	How do I turn k into real estate	0.3333
2619912	-1	How were you saved from sin-and born again as Jesus says "Except you repent, and be born again..." How didYou?	1.0
2634143	-1	what is direct borrowing, phonological borrowing, linguistic borrowing, cultural borrowing,intimate borrowing?	1.0
2643507	-1	why does milk cost more than gas per gallon?	1.0
2713171	-1	What does the sentence's mean?	1.0
2722241	-1	why do some animals hide in a dark place b4 they die?	0.25
2722241	bt_nllb_malay	Why are some animals hiding in the dark	1.0
2722241	bt_nllb_arabic	Why are some animals hiding in a dark place	0.3333
2722241	bt_nllb_german	Why are animals hiding in a dark place	0.3333
2722241	bt_nllb_korean	Why do some animals hide in the dark	0.3333
2722241	bt_nllb_persian	Why do some animals hide in the dark	0.3333
2722241	bt_nllb_russian	Why do some animals hide in the dark	0.3333
2722241	bt_nllb_tamil	Why do some animals hide in the dark	0.3333
2783398	-1	What is a nucleus?	1.0
2785579	-1	If you could be an element of weather, which would you choose, and why?	1.0
2795030	-1	Why do people drink Cuervo when it tastes the same going down as coming up?	1.0
2797224	-1	Muslims Are The Happiest People Ever, Why?	1.0
2799913	-1	What's the proper way to express sorrow at a funeral?	1.0
2814599	-1	what does the word remission mean when referring to cancer patients?	1.0
2814722	-1	why is the new jersey smoking ban not considered unconstitutional?	1.0
2815090	-1	how cloning will affects our community?	0.5
2838988	-1	How can I get a cork out of, not into, a wine bottle without a corkscrew?	1.0
2847807	-1	How can I get rid of the hicups?	1.0
2862887	-1	how to care for a spiked dragon and what to feed them?	1.0
2864267	-1	what exemplifies effective customer service?	1.0
2892478	-1	what factors cause the Earth to heat unevenly?	1.0
2956570	-1	What are the words to write the sound of raindrops, moving train & scribbling w/ pencil on paper figuratively?	1.0
2976644	-1	How amoeba catches its prey?	1.0
3040435	-1	USA have Snow, Hurricanes, Flood, Earthquakes and politicians, Brazil only have politicians, why?	1.0
3074429	-1	How can we understand Islam and Muslims better?	1.0
3078448	-1	How do you prevent chicken from drying out when you cook it?	1.0
312215	-1	how good is apple pie when it is cold?	1.0
3155314	-1	we have pork chops, veal chops, lamb chops, why is there not any beef chops ?	1.0
3206998	-1	how does disneyland make it snow?	1.0
3239329	-1	Why do we wee a lot in the cold weather especially at night?	1.0
3269759	-1	what is artificial intelligence?	1.0
3278654	-1	Why do Kamikaze pilots wear helmets?	1.0
3280768	-1	why is islam so hated in america?	1.0
3295055	-1	What causes skin discoloration, specifically, whitening of the skin between fingers?	1.0
3301173	-1	how to design road crust for national highways?	1.0
3313308	-1	how can I enjoy my time alone?	0.1429
3363149	-1	Why do Arabs and Mexicans look alike?	1.0
3369088	-1	how can we stop the spread of islam?	1.0
3382736	-1	what is minimalist cubisium?	1.0
3385681	-1	if red bull is soo bad for people ,then why is it soo popular?	1.0
3389038	-1	why the media in US and Europe is always attacking the Arabs and Islam without finding the truth about them?	0.25
3389038	bt_nllb_arabic	Why are the media in the United States and Europe attacking Arabs and Islam without finding the truth about them	1.0
3389038	bt_nllb_chinese_yue	Why do the media in the United States and Europe always attack Arabs and Islam	1.0
3389038	bt_nllb_korean	Why is it that the media in the United States and Europe always attacks the Arabs and Islam	1.0
3389038	bt_nllb_malay	Why do the media in the United States and Europe always attack Arabs and Muslims without finding the truth about them	1.0
3389038	bt_nllb_french	Why do the American and European media still attack Arabs and Islam without finding the truth about them	0.5
3389038	bt_nllb_persian	Why do the American and European media always attack Arabs and Islam without finding the truth about them	0.5
3389038	bt_nllb_swahili	Why do the American and European media always attack Arabs and Islam without finding the truth about them	0.5
3389038	bt_nllb_german	Why do the media in the US and Europe always attack Arabs and Islam without finding the truth about them	0.3333
3389038	bt_nllb_russian	Why do the media in the US and Europe always attack Arabs and Islam without revealing the truth about them	0.3333
3389038	bt_nllb_tamil	Why do the media in the United States and Europe always attack without finding out the truth about Arabs and Islam	0.3333
3396066	-1	Why do airplanes fly so high?	1.0
34041	-1	what are the symptoms of strep throat?	1.0
3411123	-1	Why does'nt America regard foriegn credentials?	1.0
3496147	-1	Why was I punished for being christlike?	1.0
3499881	-1	Why is Gordon Ramsey so popular?	1.0
3507491	-1	Why is religious freedom more important today?	1.0
354733	-1	What are the names of some famous photographers and why do their work stand up?	0.5
354733	bt_nllb_chinese_yue	What are the names of some famous photographers	1.0
3552010	-1	Why do parent put kids on restriction?	1.0
3554263	-1	why some people behave so rude without reason,is it due to their own problem?	1.0
3559048	-1	How do you sell a junk car without a title?	1.0
3577501	-1	what are some signs that puberty is beginning?	1.0
3639660	-1	Why do most cigarettes have the yellow filter?	1.0
3640705	-1	what is the punishment for child molestors?	1.0
3698636	-1	why do cats headbutt?	1.0
3714728	-1	Why is the world so shallow?	1.0
3723508	-1	What is the difference between an ox and a bull?	1.0
3778229	-1	how were the witches tested in the salem witch trials?	1.0
3825386	-1	How can I develop leanbody and muscles?	1.0
3872395	-1	what are some easy ways to get a toddler to go to sleep without being mean?	0.3333
3874326	-1	How come Compton is only designated for black people?	0.5
3874326	bt_nllb_arabic	How come Compton was only for black people	1.0
3874326	bt_nllb_chinese_yue	Why is Compton designed for black people	1.0
3874326	bt_nllb_french	How come Compton is reserved for blacks	1.0
3874326	bt_nllb_german	Why is Compton only for blacks	1.0
3874326	bt_nllb_korean	Why is Compton for black people	1.0
3874326	bt_nllb_malay	Why is Compton only for blacks	1.0
3874326	bt_nllb_persian	Why is Compton only for blacks	1.0
3874326	bt_nllb_russian	Why is Compton only for blacks	1.0
3874326	bt_nllb_tamil	How is Compton only designated by black people	1.0
387874	-1	Why does asparugus make your pee stink?	1.0
3910925	-1	Why is yawning contagious?	1.0
3960080	-1	Why don't commercial planes fly over the North Pole?	1.0
3971195	-1	How do i get my pitbull more agressive?	1.0
3990512	-1	how can we get concentration onsomething?	0.0769
4003223	-1	What are the marketing gimmicks that will attract males?	1.0
4012558	-1	what is the term milky way?	1.0
4018891	-1	How do I know if a particular term or phrase is copyrighted?	1.0
402514	-1	why do my baked potatos never taste near as good as when I get them in a nice restaurant?	1.0
4126337	-1	Why does my friend buy...?	1.0
4153592	-1	what can make someones ear's stink?	0.5
4165406	-1	Why did the founder of Daewoo get a 10-year jail sentence?	1.0
4185395	-1	how can i cure the std or the sexually transmitted disease?	1.0
4185501	-1	why does the sun shine?	0.5
4185501	bt_nllb_french	Why is the sun shining	1.0
4185501	bt_nllb_german	Why is the sun shining	1.0
4185501	bt_nllb_korean	Why is the sun shining	1.0
4185501	bt_nllb_malay	Why is the sun shining	1.0
4185501	bt_nllb_russian	Why is the sun shining	1.0
4185501	bt_nllb_tamil	Why is the sun shining	1.0
4190287	-1	Why is switching schools so depressing?	1.0
4196421	-1	how can you be more brilliant?	0.5
4197214	-1	Why my GF feel like pissing during sexual intercourse?	1.0
421753	-1	how to get rid of a skunk?	1.0
4250296	-1	What do doctors do when a patient has a Do Nor Resuscitate Order?	0.5
4250296	bt_nllb_chinese_yue	What happens when the patient is unable to do or restore order to life	1.0
4256593	-1	How do I remove the SIMM card on a LG VX8300 Cell Phone?	1.0
4278201	-1	how does Ultraviolet Light Affects Seed Germination and plant growth?	1.0
4283542	-1	i have had loose stools for a week...how do i make it stop?	1.0
4288761	-1	How can i stop my husband from exhuming my baby's body for compensation?	1.0
4311093	-1	Why hot air rises up?	1.0
4357460	-1	how to make my car faster?	1.0
4365565	-1	How Does Water Pressure Change?	0.3333
4367654	-1	Why is April 19th important?	0.25
4367654	bt_nllb_arabic	Why is April important	0.5
4367654	bt_nllb_french	Why is April important	0.5
4367654	bt_nllb_german	Why is April important	0.5
4367654	bt_nllb_persian	Why is April important	0.5
4367654	bt_nllb_russian	Why is April important	0.5
