qid	order	query	bm25.map
1	-1	obama family tree	0.2416
10	-1	cheap internet	0.0185
11	-1	gmat prep classes	0.1982
12	-1	djs	0.0285
13	-1	map	0.0049
14	-1	dinosaurs	0.0008
15	-1	espn sports	0.1795
16	-1	arizona game and fish	0.1092
17	-1	poker tournaments	0.0658
18	-1	wedding budget calculator	0.0624
19	-1	the current	0.0
2	-1	french lick resort and casino	0.2524
20	-1	defender	0.0
21	-1	volvo	0.1797
22	-1	rick warren	0.2286
23	-1	yahoo	0.0011
24	-1	diversity	0.0358
25	-1	euclid	0.0412
26	-1	lower heart rate	0.0205
27	-1	starbucks	0.0363
28	-1	inuyasha	0.0341
29	-1	ps 2 games	0.0028
3	-1	getting organized	0.1179
30	-1	diabetes education	0.0994
31	-1	atari	0.1348
32	-1	website design hosting	0.0268
33	-1	elliptical trainer	0.1686
34	-1	cell phones	0.0088
35	-1	hoboken	0.0854
36	-1	gps	0.0382
37	-1	pampered chef	0.0505
38	-1	dogs for adoption	0.037
39	-1	disneyland hotel	0.0343
4	-1	toilet	0.0301
40	-1	michworks	0.0379
41	-1	orange county convention center	0.1646
42	-1	the music man	0.0
43	-1	the secret garden	0.1395
44	-1	map of the united states	0.0461
45	-1	solar panels	0.1073
46	-1	alexian brothers hospital	0.3073
47	-1	indexed annuity	0.1239
48	-1	wilson antenna	0.0423
49	-1	flame designs	0.2266
5	-1	mitchell college	0.0058
50	-1	dog heat	0.0144
6	-1	kcs	0.0
7	-1	air travel information	0.1142
8	-1	appraisals	0.0
9	-1	used car parts	0.0535
51	-1	horse hooves	0.1409
52	-1	avp	0.1541
53	-1	discovery channel store	0.109
54	-1	president of the united states	0.0345
55	-1	iron	0.0008
56	-1	uss yorktown charleston sc	0.002
57	-1	ct jobs	0.1843
58	-1	penguins	0.0155
59	-1	how to build a fence	0.0105
60	-1	bellevue	0.0503
61	-1	worm	0.0207
62	-1	texas border patrol	0.2949
63	-1	flushing	0.0494
64	-1	moths	0.0598
65	-1	korean language	0.0203
66	-1	income tax return online	0.0035
67	-1	vldl levels	0.1397
68	-1	pvc	0.0256
69	-1	sewing instructions	0.0928
70	-1	to be or not to be that is the question	0.0
71	-1	living in india	0.0003
72	-1	the sun	0.0
73	-1	neil young	0.1438
74	-1	kiwi	0.0061
75	-1	tornadoes	0.0849
76	-1	raised gardens	0.183
77	-1	bobcat	0.0309
78	-1	dieting	0.0007
79	-1	voyager	0.001
80	-1	keyboard reviews	0.1222
81	-1	afghanistan	0.0029
82	-1	joints	0.0002
83	-1	memory	0.0
84	-1	continental plates	0.2208
85	-1	milwaukee journal sentinel	0.0655
86	-1	bart sf	0.3556
87	-1	who invented music	0.0204
88	-1	forearm pain	0.1592
89	-1	ocd	0.0989
90	-1	mgb	0.0737
91	-1	er tv show	0.03
92	-1	the wall	0.0
93	-1	raffles	0.0649
94	-1	titan	0.0056
96	-1	rice	0.077
97	-1	south africa	0.005
98	-1	sat	0.0595
99	-1	satellite	0.0
101	-1	ritz carlton lake las vegas	0.121
102	-1	fickle creek farm	0.0015
103	-1	madam cj walker	0.0264
104	-1	indiana child support	0.016
105	-1	sonoma county medical services	0.1349
106	-1	universal animal cuts reviews	0.0275
107	-1	cass county missouri	0.1065
108	-1	ralph owen brewster	0.4706
109	-1	mayo clinic jacksonville fl	0.0
110	-1	map of brazil	0.0573
111	-1	lymphoma in dogs	0.2641
112	-1	kenmore gas water heater	0.0
113	-1	hp mini 2140	0.0
114	-1	adobe indian houses	0.0132
115	-1	pacific northwest laboratory	0.0625
116	-1	california franchise tax board	0.1437
117	-1	dangers of asbestos	0.0477
118	-1	poem in your pocket day	0.1308
119	-1	interview thank you	0.122
120	-1	tv on computer	0.0083
121	-1	sit and reach test	0.1063
122	-1	culpeper national cemetery	0.1571
123	-1	von willebrand disease	0.1962
124	-1	bowflex power pro	0.0486
125	-1	butter and margarine	0.1177
126	-1	us capitol map	0.0
127	-1	dutchess county tourism	0.1737
128	-1	atypical squamous cells	0.0446
129	-1	iowa food stamp program	0.0176
130	-1	fact on uranus	0.152
131	-1	equal opportunity employer	0.0251
132	-1	mothers day songs	0.0381
133	-1	all men are created equal	0.0689
134	-1	electronic skeet shoot	0.0007
135	-1	source of the nile	0.0161
136	-1	american military university	0.0
137	-1	rock and gem shows	0.1172
138	-1	jax chemical company	0.3643
139	-1	rocky mountain news	0.0177
140	-1	east ridge high school	0.0625
141	-1	va dmv registration	0.0231
142	-1	illinois state tax	0.0141
143	-1	arkadelphia health club	0.0
144	-1	trombone for sale	0.1511
145	-1	vines for shade	0.0779
146	-1	sherwood regional library	0.1473
147	-1	tangible personal property tax	0.1972
148	-1	martha stewart and imclone	0.2381
149	-1	uplift at yellowstone national park	0.1043
150	-1	tn highway patrol	0.0083
151	-1	403b	0.0
152	-1	angular cheilitis	0.0
153	-1	pocono	0.2403
154	-1	figs	0.0114
155	-1	last supper painting	0.1375
156	-1	university of phoenix	0.0755
157	-1	the beatles rock band	0.0104
158	-1	septic system design	0.2876
159	-1	porterville	0.1752
160	-1	grilling	0.0
161	-1	furniture for small spaces	0.003
162	-1	dnr	0.0144
163	-1	arkansas	0.0014
164	-1	hobby stores	0.0315
165	-1	blue throated hummingbird	0.0039
166	-1	computer programming	0.0015
167	-1	barbados	0.0004
168	-1	lipoma	0.2623
169	-1	battles in the civil war	0.027
170	-1	scooters	0.0
171	-1	ron howard	0.1068
172	-1	becoming a paralegal	0.1152
173	-1	hip fractures	0.2724
174	-1	rock art	0.0511
175	-1	signs of a heartattack	0.02
176	-1	weather strip	0.0013
177	-1	best long term care insurance	0.035
178	-1	pork tenderloin	0.0711
179	-1	black history	0.0207
180	-1	newyork hotels	0.0024
181	-1	old coins	0.0503
182	-1	quit smoking	0.0404
183	-1	kansas city mo	0.0026
184	-1	civil right movement	0.0053
185	-1	credit report	0.0015
186	-1	unc	0.0087
187	-1	vanuatu	0.0171
188	-1	internet phone service	0.0098
189	-1	gs pay rate	0.0316
190	-1	brooks brothers clearance	0.0988
191	-1	churchill downs	0.0664
192	-1	condos in florida	0.0238
193	-1	dog clean up bags	0.0943
194	-1	designer dog breeds	0.8546
195	-1	pressure washers	0.0004
196	-1	sore throat	0.133
197	-1	idaho state flower	0.0407
198	-1	indiana state fairgrounds	0.1411
199	-1	fybromyalgia	0.0103
200	-1	ontario california airport	0.1676
