qid	order	query	bm25.ndcg
INEX_LD-2009022	-1	Szechwan dish food cuisine	0.1838
INEX_LD-2009039	-1	roman architecture	0.2534
INEX_LD-2009053	-1	finland car industry manufacturer saab sisu	0.5709
INEX_LD-2009061	-1	france second world war normandy	0.439
INEX_LD-2009062	-1	social network group selection	0.0424
INEX_LD-2009063	-1	D-Day normandy invasion	0.2959
INEX_LD-2009074	-1	web ranking scoring algorithm	0.4032
INEX_LD-2009096	-1	Eiffel	0.5578
INEX_LD-2009111	-1	europe solar power facility	0.1792
INEX_LD-2009115	-1	virtual museums	0.8029
INEX_LD-2010004	-1	Indian food	0.3178
INEX_LD-2010014	-1	composer museum	0.2056
INEX_LD-2010019	-1	gallo roman architecture in paris	0.028
INEX_LD-2010020	-1	electricity source in France	0.1658
INEX_LD-2010037	-1	social network API	0.4347
INEX_LD-2010043	-1	List of films from the surrealist category	0.2715
INEX_LD-2010057	-1	Einstein Relativity theory	0.5798
INEX_LD-2010069	-1	summer flowers	0.0893
INEX_LD-2010100	-1	house concrete wood	0.1814
INEX_LD-2010106	-1	organic food advantages disadvantages	0.0
INEX_LD-20120111	-1	vietnam war movie	0.4729
INEX_LD-20120112	-1	vietnam war facts	0.1296
INEX_LD-20120121	-1	vietnam food recipes	0.1789
INEX_LD-20120122	-1	vietnamese food blog	0.2857
INEX_LD-20120131	-1	vietnam travel national park	0.0989
INEX_LD-20120132	-1	vietnam travel airports	0.4023
INEX_LD-20120211	-1	guitar chord tuning	0.6403
INEX_LD-20120212	-1	guitar chord minor	0.3671
INEX_LD-20120221	-1	guitar classical flamenco	0.6399
INEX_LD-20120222	-1	guitar classical bach	0.5941
INEX_LD-20120231	-1	guitar origin Russia	0.1129
INEX_LD-20120232	-1	guitar origin blues	0.3044
INEX_LD-20120311	-1	tango culture movies	0.4239
INEX_LD-20120312	-1	tango culture countries	0.3045
INEX_LD-20120321	-1	tango music  composers	0.6384
INEX_LD-20120322	-1	tango music instruments	0.4511
INEX_LD-20120331	-1	tango dance styles	0.6711
INEX_LD-20120332	-1	tango dance history	0.6239
INEX_LD-20120411	-1	bicycle sport races	0.3153
INEX_LD-20120412	-1	bicycle sport disciplines	0.3257
INEX_LD-20120421	-1	bicycle holiday towns	0.1052
INEX_LD-20120422	-1	bicycle holiday nature	0.0861
INEX_LD-20120431	-1	bicycle benefits health	0.1846
INEX_LD-20120432	-1	bicycle benefits environment	0.468
INEX_LD-20120511	-1	female rock singers	0.3539
INEX_LD-20120512	-1	south korean girl groups	0.6451
INEX_LD-20120521	-1	electronic music genres	0.2782
INEX_LD-20120522	-1	digital music notation formats	0.5499
INEX_LD-20120531	-1	music conferences	0.7866
INEX_LD-20120532	-1	intellectual property rights lobby	0.2515
INEX_LD-2012301	-1	Niagara falls origin lake	0.4303
INEX_LD-2012303	-1	 Valley fever fungal infection San Joaquin	0.4557
INEX_LD-2012305	-1	North Dakota's lowest river of another colour	0.0
INEX_LD-2012307	-1	 July, 1850  president died Millard Fillmore sworn following day	0.2935
INEX_LD-2012309	-1	residents small island city-state  Malay Peninsula Chinese	0.1738
INEX_LD-2012311	-1	John Lennon Yoko Ono album Starting Over	0.7653
INEX_LD-2012313	-1	John Turturro 1991 Coen Brothers film	0.7596
INEX_LD-2012315	-1	Baguio Quezon City  Manila official independence 1945	0.0
INEX_LD-2012317	-1	daggeroso inclined to use a dagger novel Sons and Lovers	0.2932
INEX_LD-2012318	-1	Directed Bela Glen Glenda Bride Monster Plan 9 Outer Space	0.4538
INEX_LD-2012319	-1	 1994 short story collection Alice Munro is Open	0.8803
