,qid,order,query,qld.recip_rank
0,100653,-1,how do I go about getting copies of letters of commendation prsented to me from city of san diego?,1.0
1,100653,bertqe.topn10.qld,declin ani,0.5
2,100653,bt_bing_arabic,How can I get copies of letters of praise sent to me from the City of San Diego,0.5
3,100653,bt_bing_malay,How can I get a copy of the letter of praise given to me from the city of San Diego,0.5
4,100653,bt_nllb_persian,How do I get the mail from San Diego City that s been sent to me,0.5
5,100653,bt_nllb_russian,How can I get copies of the complimentary letters sent to me from the city of San Diego,0.5
6,100653,bt_nllb_swahili,How can I get copies of congratulatory letters from San Diego,0.5
7,100653,bt_nllb_tamil,How can I get copies of congratulatory letters sent to me from San Diego,0.5
8,100653,relevancefeedback.topn10.qld,how do i go about getting copies of letters of commendation prsented to me from city of san diego http gum immigr diego court you gold,0.5
9,100653,wordnet.topn3.replace,hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval prsented metropolis urban center san diego,0.5
10,100653,sensedisambiguation,how do I go travel about getting experience copies transcript of letters letter of commendation citation prsented to me from city of san diego,0.3333
11,100653,word2vec.topn3.replace,come goes proceed obtaining having got originals correspondence praise presnted soruced rebuted town metropolis francisco bernardino diego francisco mateo joaquin,0.3333
12,100653,wordnet.topn3,go getting copies letters commendation prsented city san diego hold up live on hug drug fuck off incur buzz off written matter imitate transcript varsity letter missive citation approval metropolis urban center,0.2
13,100653,conceptnet.topn3,go getting copies letters commendation prsented city san diego drop leave turn grow printing copyist trisomic the mail box the mail capital town ϻ,0.1667
14,100653,bertqe.topn10.bm25,what tour i should go,0.1111
15,100653,conceptnet.topn3.replace,drop leave turn grow printing copyist trisomic the mail box the mail commendation prsented capital town ϻ diego,0.0833
16,100653,anchor.topn3.replace,c yalag noise a go teeley pyszczynski hnatiw copies letters commendation prsented city royal san baghdatí srisamart vahinetua,0.0385
17,100653,stem.lovins,how do i go about ges cop of letter of commens prsens to me from cit of san dieg,0.0227
18,100653,stem.trunc4,how do i go abou gett copi of lett of comm prse to me from city of san dieg,0.0204
19,1015624,-1,What's the Definition of a bloody mary?,1.0
20,1015624,stem.trunc5,what s the defin of a blood mary,0.5
21,1015624,bt_nllb_german,What s the definition of a fucking Mary,0.25
22,1015624,wordnet.topn3.replace,s definition fucking crashing all fired The Virgin Virgin Mary Madonna,0.25
23,1015624,wiki.topn3,s definition bloody mary mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england,0.2
24,1015624,anchor.topn3,s definition bloody mary b v v s pop up ad wiki wiki yimam lusaria crockett stark,0.1667
25,1015624,tagmee.topn3.replace,Papal infallibility Mary I of England,0.1667
26,1015624,bertqe.topn10.bm25,yeah what said now get,0.125
27,1015624,stem.trunc4,what s the defi of a bloo mary,0.0833
28,1015624,wiki.topn3.replace,mirari vos qui pluribus codof canon law papal infallibility catherine aragon counts habsburg catherinof aragon mary england,0.0667
29,1015624,bt_nllb_french,What s the definition of a holy Mary,0.0435
30,1015624,bt_nllb_chinese_yue,What is the definition of a virgin,0.0294
31,1015624,glove.topn3.replace,s whose defined brutal bloodshed elizabeth ann,0.0159
32,1015624,anchor.topn3.replace,b v v s pop up ad wiki wiki bloody yimam lusaria crockett stark,0.0
33,1015624,conceptnet.topn3.replace,s definition fucking all firedly Blessed Virgin,0.0
34,1015624,stem.lovins,what s th definit of a blood mar,0.0
35,1015624,word2vec.topn3.replace,s of s s defintion definiton brutal ghastly sarah elizabeth,0.0
36,1017690,-1,what is the history of indian music?,1.0
37,1017690,word2vec.topn3,history indian music history india non indian music,0.5
38,1017690,glove.topn3,history indian music historical ever india pakistani songs,0.3333
39,1017690,relevancefeedback.topn10.bm25,what is the history of indian music music myth th can i,0.3333
40,1017690,word2vec.topn3.replace,history india non indian music,0.3333
41,1017690,anchor.topn3,history indian music recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi,0.25
42,1017690,bt_bing_persian,What is India s music history,0.25
43,1017690,stem.trunc5,what is the histo of india music,0.1429
44,1017690,wordnet.topn3,history indian music account story Native American Amerindic medicine euphony,0.1
45,1017690,relevancefeedback.topn10.qld,what is the history of indian music i can tribe muscoota music india have,0.0833
46,1017690,glove.topn3.replace,historical ever india pakistani songs,0.0714
47,1017690,conceptnet.topn3,history indian music past subject school chief native dance record rock,0.0323
48,1017690,anchor.topn3.replace,recuyel seeg théodrat waipawan mangaorapan sah ku me hu wassamasaw music arr o swapo laqi,0.0
49,1017690,bertqe.topn10.bm25,build lesson around treat artifact,0.0
50,1017690,bertqe.topn10.qld,build lesson around treat artifact,0.0
51,1017690,conceptnet.topn3.replace,past subject school chief native dance record rock,0.0
52,1017690,stem.lovins,what is th histor of ind mus,0.0
53,1017690,stem.paicehusk,what is the hist of ind mus,0.0
54,1017690,stem.trunc4,what is the hist of indi musi,0.0
55,1017690,tagmee.topn3.replace,,0.0
56,1017690,wiki.topn3.replace,,0.0
57,1017690,wordnet.topn3.replace,account story Native American Amerindic medicine euphony,0.0
58,1035857,-1,Why are liberals so quick to defend Saddam?,1.0
59,1035857,anchor.topn3,liberals quick defend saddam ascat quicke quick libero midfield present ngasanya ngasanja iloumi,0.5
60,1035857,stem.paicehusk,why ar lib so quick to defend saddam,0.5
61,1035857,stem.porter,why ar liber so quick to defend saddam,0.5
62,1035857,bt_nllb_chinese_yue,Why did liberals defend Saddam so quickly,0.3333
63,1035857,bt_nllb_russian,Why are the liberals protecting Saddam so quickly,0.2
64,1035857,conceptluster.topn5.3.bm25,liberals quick defend saddam modern liberalism united states,0.2
65,1035857,conceptluster.topn5.3.qld,liberals quick defend saddam modern liberalism united states,0.2
66,1035857,tagmee.topn3,liberals quick defend saddam Modern liberalism in the United States,0.2
67,1035857,relevancefeedback.topn10.bm25,why are liberals so quick to defend saddam actual i left aclu french liber america answer,0.1667
68,1035857,sensedisambiguation,Why are liberals liberal so quick to defend maintain Saddam hussein,0.1667
69,1035857,stem.trunc5,why are liber so quick to defen sadda,0.1667
70,1035857,sensedisambiguation.replace,Why are liberal so quick to maintain hussein,0.1429
71,1035857,conceptnet.topn3,liberals quick defend saddam left wing fast Saddam bin Hussein at Takriti leader of Iraq,0.1111
72,1035857,anchor.topn3.replace,liberals ascat quicke quick libero midfield present ngasanya ngasanja iloumi,0.1
73,1035857,bt_bing_korean,Why are liberals so quick to defend Saddam Hussein,0.1
74,1035857,stem.lovins,why ar liber so quick to defens saddam,0.1
75,1035857,wordnet.topn3,liberals quick defend saddam progressive liberalist flying nimble prompt maintain fight Husain Saddam bin Hussein at Takriti Hussein,0.0625
76,1035857,wiki.topn3,liberals quick defend saddam social liberalism liberalism thunited states coalition freand open elections modern liberalism united states,0.0526
77,1035857,conceptnet.topn3.replace,left wing fast defend Saddam bin Hussein at Takriti leader of Iraq,0.0476
78,1035857,glove.topn3,liberals quick defend saddam conservatives easy fast protect hussein iraqi,0.0435
79,1035857,wordnet.topn3.replace,progressive liberalist flying nimble prompt maintain fight Husain Saddam bin Hussein at Takriti Hussein,0.0333
80,1035857,tagmee.topn3.replace,Modern liberalism in the United States,0.0172
81,1035857,wiki.topn3.replace,social liberalism liberalism thunited states coalition freand open elections modern liberalism united states,0.0143
82,1035857,bertqe.topn10.qld,doesn t object saddam be hang,0.0118
83,1035857,glove.topn3.replace,conservatives easy fast protect hussein iraqi,0.0101
84,1035857,bertqe.topn10.bm25,charg war crime doesn t object,0.0
85,1035857,stem.trunc4,why are libe so quic to defe sadd,0.0
86,103830,-1,Why do man Arabs hate the west ?,0.3333
87,103830,sensedisambiguation,Why do man world Arabs arabian hate the west,0.25
88,103830,word2vec.topn3,man arabs hate west woman guy men palestinians jews hatred despise east north south,0.2
89,103830,wordnet.topn3,man arabs hate west military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield,0.2
90,103830,glove.topn3,man arabs hate west woman person egyptians hatred indeed east north,0.1429
91,103830,wordnet.topn3.replace,military man serviceman humankind Arabian hatred detest Dame Rebecca West Mae West Cicily Isabel Fairfield,0.1429
92,103830,anchor.topn3,man arabs hate west man controversi man releas a concepts psychoanalyt hakō west discographi east wjpw cd,0.125
93,103830,bt_nllb_arabic,Why are Arabs turning to the West,0.125
94,103830,stem.paicehusk,why do man arab hat the west,0.125
95,103830,stem.porter2,whi do man arab hate the west,0.125
96,103830,wiki.topn3,man arabs hate west zhuang zhou confucianism confucius tao apes humans tool using species human muslim communities asia dhimmi druze arabs hatcrime coercion lgbt social movements hate speech eurocentrism eastern world hegemony western world,0.1111
97,103830,anchor.topn3.replace,man controversi man releas a arabs concepts psychoanalyt hakō west discographi east wjpw cd,0.1
98,103830,stem.lovins,why do man arab hat th west,0.1
99,103830,word2vec.topn3.replace,woman guy men palestinians jews hatred despise east north south,0.0556
