qid	order	query	qld.recip_rank
301	-1	International Organized Crime	0.25
301	conceptnet.topn3	international organized crime re formed reorganised	1.0
301	glove.topn3	international organized crime global which organised criminal	1.0
301	glove.topn3.replace	global which organised criminal	1.0
301	word2vec.topn3	international organized crime national global domestic organised criminality	1.0
301	word2vec.topn3.replace	national global domestic organised criminality	1.0
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.5
301	relevancefeedback.topn10.bm25	international organized crime state trade govern issu japan us	0.5
301	stem.trunc5	inter organ crime	0.5
302	-1	Poliomyelitis and Post-Polio	1.0
303	-1	Hubble Telescope Achievements	0.5
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	1.0
304	-1	Endangered Species (Mammals)	0.25
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	1.0
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	1.0
304	stem.lovins	endanger speci mam	1.0
304	stem.paicehusk	endang specy mam	1.0
304	word2vec.topn3	endangered species mammals imperiled endagered subspecies genus genera vertebrates reptiles	1.0
304	relevancefeedback.topn10.bm25	endangered species mammals other dolphin dune lion wildlif net fox bear whale	0.5
304	wiki.topn3	endangered species mammals iucn red list biota conservation status iucn red list endangered species mammals therapsids synapsids mammal	0.5
304	wordnet.topn3	endangered species mammals queer imperil metal money mintage mammalian	0.5
304	sensedisambiguation	Endangered queer Species coinage Mammals mammal	0.3333
305	-1	Most Dangerous Vehicles	0.0833
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.5
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.5
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.5
305	termluster.topn5.3.bm25	dangerous vehicles	0.25
305	termluster.topn5.3.qld	dangerous vehicles	0.25
305	thesaurus.topn3	dangerous vehicles	0.25
305	thesaurus.topn3.replace	dangerous vehicles	0.25
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.1429
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0909
305	tagmee.topn3.replace	Risk Vehicle	0.0909
306	-1	African Civilian Deaths	1.0
307	-1	New Hydroelectric Projects	1.0
308	-1	Implant Dentistry	1.0
309	-1	Rap and Crime	0.0
309	conceptnet.topn3	rap crime music hip hop	0.0227
309	wiki.topn3	rap crime reggaeton underground hip hop gangsta rap rapping	0.0179
309	wiki.topn3.replace	reggaeton underground hip hop gangsta rap rapping	0.0179
309	word2vec.topn3	rap crime hip hop hiphop criminality	0.0172
309	conceptnet.topn3.replace	music hip hop crime	0.0145
310	-1	Radio Waves and Brain Cancer	1.0
311	-1	Industrial Espionage	1.0
312	-1	Hydroponics	1.0
313	-1	Magnetic Levitation-Maglev	1.0
314	-1	Marine Vegetation	0.0303
314	tagmee.topn3.replace	Ocean Vegetation	1.0
314	wiki.topn3	marine vegetation ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	1.0
314	wiki.topn3.replace	ocean current seabed continental shelf ocean ecosystem biome biomes vegetation	1.0
314	tagmee.topn3	marine vegetation Ocean Vegetation	0.5
314	conceptluster.topn5.3.bm25	marine vegetation ocean	0.3333
314	conceptluster.topn5.3.qld	marine vegetation ocean	0.3333
315	-1	Unexplained Highway Accidents	0.1667
315	sensedisambiguation	Unexplained Highway Accidents accident	0.2
