qid	order	query	qld.ndcg
701	-1	U.S. oil industry history	0.0615
702	-1	Pearl farming	0.1479
702	bt_bing_arabic	Pearl cultivation	0.1469
702	bt_nllb_french	Cultivation of pearls	0.1469
702	bt_nllb_arabic	The pearl planting	0.0438
702	bt_bing_persian	Pearl Agriculture	0.0231
702	bt_nllb_persian	The Pearl of the Caribbean	0.0
704	-1	Green party political views	0.1567
704	bt_bing_persian	The Green Party s Political Views	0.1182
704	bt_nllb_chinese_yue	The Green Party s political views	0.1182
704	bt_bing_chinese_simplified	The Greens political views	0.0303
704	bt_bing_german	Political views of the Greens	0.0303
704	bt_nllb_german	Political views of the Greens	0.0303
705	-1	Iraq foreign debt reduction	0.2549
705	bt_bing_swahili	Reducing Iraq s foreign debt	0.2154
705	bt_nllb_persian	Reducing Iraq s foreign debt	0.2154
705	bt_nllb_swahili	Reducing Iraq s foreign debt	0.2154
705	bt_bing_chinese_simplified	Iraq s external debt relief	0.2139
705	bt_bing_korean	Reduction of Iraq s foreign debt	0.1882
705	bt_bing_malay	Reduction of Iraq s foreign debt	0.1882
705	bt_nllb_korean	Iraq s foreign debt reduction	0.1882
705	bt_nllb_tamil	Iraq s foreign debt reduction	0.1882
705	bt_nllb_arabic	Cut the foreign debt in Iraq	0.134
706	-1	Controlling type II diabetes	0.1284
706	bt_nllb_malay	Managing type diabetes	0.1097
706	bt_bing_korean	Type Diabetes Control	0.1035
706	bt_nllb_arabic	Control of type diabetes	0.1035
706	bt_nllb_chinese_yue	Control of type diabetes	0.1035
706	bt_nllb_korean	Control of type diabetes	0.1035
706	bt_nllb_persian	Control of type diabetes	0.1035
706	bt_bing_swahili	Managing Type II Diabetes	0.096
707	-1	Aspirin cancer prevention	0.5656
707	bt_nllb_tamil	Aspirin is used to prevent cancer	0.5353
707	bt_nllb_chinese_yue	The anti cancer aspirin	0.5329
707	bt_nllb_korean	Aspirin is a cancer prevention drug	0.4318
707	bt_nllb_swahili	How to fight cancer with aspirin	0.3345
707	bt_nllb_arabic	Prevention of cancer	0.0388
707	bt_nllb_persian	Spraying for cancer prevention	0.0216
708	-1	Decorative slate sources	0.3663
708	bt_bing_french	Decorative slate springs	0.3185
708	bt_bing_german	Decorative slate springs	0.3185
708	bt_nllb_swahili	The origins of the decorative slate	0.1973
708	bt_bing_russian	Sources of Ornamental Slate	0.1373
708	bt_nllb_chinese_yue	Sources of the decoration of the stone tablets	0.0563
708	bt_nllb_french	Sources of decorative clay	0.0043
708	bt_bing_korean	Slate sauce for garnish	0.0
708	bt_bing_persian	Decorative Boulder Sources	0.0
708	bt_bing_swahili	Sources of jewelry	0.0
708	bt_nllb_arabic	Sources for the decorative pages	0.0
708	bt_nllb_german	Other articles of heading	0.0
708	bt_nllb_malay	Sources of decorative plates	0.0
708	bt_nllb_persian	Sources of fertility	0.0
708	bt_nllb_russian	The sources of decorative leaves	0.0
708	bt_nllb_tamil	The decorative silk pieces	0.0
709	-1	Horse racing jockey weight	0.677
709	bt_bing_german	Horse racing jockey s weight	0.6708
709	bt_bing_persian	Weight Horse Racing	0.6175
709	bt_nllb_german	Weight of horse racing	0.6175
709	bt_nllb_russian	Weight of the horse race	0.6175
709	bt_nllb_tamil	The weight of the horse racing team	0.5801
709	bt_nllb_persian	A joke weight in a horse race	0.5751
709	bt_bing_arabic	Weight Knight Horse Racing	0.5619
709	bt_nllb_malay	Heavy jockey horse racing	0.5533
709	bt_nllb_arabic	Weight of the front runners in horse racing	0.3652
709	bt_nllb_chinese_yue	The weight of the race car	0.0073
710	-1	Prostate cancer treatments	0.3479
711	-1	Train station security measures	0.2085
711	bt_bing_tamil	Railway Station Security Measures	0.1905
711	bt_nllb_chinese_yue	Security measures at the railway station	0.1905
711	bt_nllb_malay	Railway station security measures	0.1905
711	bt_nllb_tamil	Railway station security measures	0.1905
711	bt_bing_french	Security measures at stations	0.1663
711	bt_bing_german	Security measures at the station	0.1663
