qid	order	query	bm25.recip_rank
301	-1	international organized crime	0.5
301	pred.base.4	<extra_id_0> organized crime(IGOC) in search of international organized crime charged international organized crime (unorganized crime) organized crime scourge internationally organized crime (ictc) organized crime (icm) organisée crime (ou international crime organized crime) organisée organised crime (cime) international organized crime	1.0
301	pred.base.6	<extra_id_0> organized crime <extra_id_1> organized crime. International organized crime at this stage is international organized crime, which is rapidly becoming an international organized crime. Additionally there is a growing need for healthy drug and organized crime methods i/o through the changing definitions of organized crime, they are also now well documented worldwide in the in	1.0
301	pred.base.9	<extra_id_0>-9-5 international organized crime community and <extra_id_1> organized crime is a global practice, banned or being carried out in international editions, organized crime claims and weather conditions have grown unnecessarily on the surface in the last few years. This is an emerging reality in terms of organized crime growing	1.0
301	pred.base.10	<extra_id_0> organized crime <extra_id_1> organized crime - international organized crime. International organized crime.	0.5
301	pred.base.2	<extra_id_0> organized crime international organized crime international organized crime international organized crime organised crime international organized crime international organized crime international organized crime international organized crime international international organized crime organization <extra_id_1>f <extra_id_20> crime <extra_id_21> organized crime <extra_id_22> organized crime international organized crime organized crime international organized crime criminal international <extra_id_23> organized crime international organized crime international organized crime organized crime international organized	0.5
301	pred.base.3	<extra_id_0> organized crime international organized crime <extra_id_1> organized crime international really organized crime crimes international organized crime organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime international organized crime organisé crime international organized crime international organized crime espion	0.5
301	pred.base.5	<extra_id_0> organized crime <extra_id_1> organized crime international organized crime international financial community organizations crime intensify than ever before and use of international organized crime organized crime crimes against humanity (ICCT) as part of racketeering organized crime engines.	0.5
301	pred.base.8	<extra_id_0> crime <extra_id_1> organized crime, organised crime and organized crime agencies <extra_id_2> organized crime in <extra_id_3> business community and <extra_id_4> organized crime <extra_id_5> organized crime, <extra_id_6> organised crime community and <extra_id_7> organized crime <extra_id_8> organized crime <extra_id_9>/crime convention program of <extra_id_10> organized crime international organized crime organized crime international organized crime organized crime <extra_id_11> organized crime international classified crime	0.5
302	-1	poliomyelitis and post-polio	1.0
302	pred.base.10	<extra_id_0>, factomyelitis and post-poliomyelitis. Poliomyelitis post-poliomyelitis.	1.0
302	pred.base.2	<extra_id_0>  <extra_id_1> and post-poliomyelitis. Post IEP, <extra_id_2> deplegia and post ⁇ poliomyelitis. Postpoliomyelitis and post-polioblastoma. Polio and post-poliomyelitis.	1.0
302	pred.base.3	<extra_id_0> encephalitis and post-poliomyelitis and post-poliomyelitis post-poliomyelitis and post-poliopoliopoliomyelitis post-poliomyelitis post-poliomyelitis post-poliomyelitis postpolio	1.0
