qid	order	query	bm25.ndcg
1	-1	obama family tree	0.4473
1	tagmee.topn3	obama family tree Family of Barack Obama	0.5538
1	wiki.topn3	obama family tree stanley armour dunham madelyn dunham barack obama sr family barack obama	0.4702
1	conceptluster.topn5.3.qld	obama family tree family barack obama git object	0.4675
1	wiki.topn3.replace	stanley armour dunham madelyn dunham barack obama sr family barack obama	0.4674
1	bt_nllb_arabic	The Obama family tree	0.4473
1	bt_nllb_chinese_yue	The Obama family tree	0.4473
1	bt_nllb_french	Obama family tree	0.4473
1	bt_nllb_german	Obama family tree	0.4473
1	bt_nllb_korean	The Obama family tree	0.4473
1	bt_nllb_malay	Obama family tree	0.4473
1	bt_nllb_persian	The Obama family tree	0.4473
1	bt_nllb_swahili	Obama family tree	0.4473
1	bt_nllb_tamil	The Obama Family Tree	0.4473
1	rm3.topn10.10.0.5.bm25	obama family tree	0.4473
1	rm3.topn10.10.0.5.qld	obama family tree	0.4473
1	stem.krovetz	obama family tree	0.4473
1	stem.porter	obama famili tree	0.4473
1	stem.porter2	obama famili tree	0.4473
1	stem.sstemmer	obama family tree	0.4473
1	thesaurus.topn3	obama family tree	0.4473
1	thesaurus.topn3.replace	obama family tree	0.4473
10	-1	cheap internet	0.1326
10	word2vec.topn3	cheap internet inexpensive low cost online intenet	0.2015
10	word2vec.topn3.replace	inexpensive low cost online intenet	0.1711
10	bt_nllb_arabic	The internet is cheap	0.1326
10	bt_nllb_chinese_yue	Cheap Internet	0.1326
10	bt_nllb_french	The Internet is Cheap	0.1326
10	bt_nllb_german	cheap internet	0.1326
10	bt_nllb_korean	Cheap Internet	0.1326
10	bt_nllb_malay	cheap internet	0.1326
10	bt_nllb_persian	The Internet is cheap	0.1326
10	bt_nllb_russian	cheap internet	0.1326
10	bt_nllb_swahili	cheap internet	0.1326
10	bt_nllb_tamil	Cheap Internet	0.1326
10	rm3.topn10.10.0.5.bm25	cheap internet	0.1326
10	rm3.topn10.10.0.5.qld	cheap internet	0.1326
10	sensedisambiguation	cheap internet	0.1326
10	sensedisambiguation.replace	cheap internet	0.1326
10	stem.krovetz	cheap internet	0.1326
10	stem.lovins	cheap internet	0.1326
10	stem.paicehusk	cheap internet	0.1326
10	stem.porter	cheap internet	0.1326
10	stem.porter2	cheap internet	0.1326
10	stem.sstemmer	cheap internet	0.1326
10	thesaurus.topn3	cheap internet	0.1326
10	thesaurus.topn3.replace	cheap internet	0.1326
11	-1	gmat prep classes	0.4662
11	word2vec.topn3	gmat prep classes courses	0.484
11	bt_nllb_korean	Gmat prep class	0.4662
11	relevancefeedback.topn10.bm25	gmat prep classes	0.4662
11	relevancefeedback.topn10.qld	gmat prep classes	0.4662
11	rm3.topn10.10.0.5.bm25	gmat prep classes	0.4662
11	rm3.topn10.10.0.5.qld	gmat prep classes	0.4662
11	stem.krovetz	gmat prep class	0.4662
11	stem.paicehusk	gmat prep class	0.4662
11	stem.porter	gmat prep class	0.4662
11	stem.porter2	gmat prep class	0.4662
11	stem.sstemmer	gmat prep classe	0.4662
11	stem.trunc5	gmat prep class	0.4662
11	thesaurus.topn3	gmat prep classes	0.4662
11	thesaurus.topn3.replace	gmat prep classes	0.4662
12	-1	djs	0.1652
12	anchor.topn3	djs	0.1652
12	anchor.topn3.replace	djs	0.1652
12	bt_nllb_french	DJs	0.1652
12	bt_nllb_german	DJs	0.1652
12	rm3.topn10.10.0.5.bm25	djs	0.1652
12	rm3.topn10.10.0.5.qld	djs	0.1652
12	stem.krovetz	djs	0.1652
12	stem.lovins	dj	0.1652
12	stem.paicehusk	djs	0.1652
12	stem.porter	dj	0.1652
12	stem.porter2	djs	0.1652
12	stem.sstemmer	djs	0.1652
12	stem.trunc4	djs	0.1652
12	stem.trunc5	djs	0.1652
12	tagmee.topn3	djs	0.1652
12	thesaurus.topn3	djs	0.1652
12	thesaurus.topn3.replace	djs	0.1652
12	wiki.topn3	djs	0.1652
13	-1	map	0.0788
13	bt_nllb_arabic	A map	0.0788
13	bt_nllb_chinese_yue	Map	0.0788
13	bt_nllb_french	map	0.0788
13	bt_nllb_german	Map	0.0788
13	bt_nllb_malay	map	0.0788
13	bt_nllb_swahili	map	0.0788
13	bt_nllb_tamil	map	0.0788
13	conceptnet.topn3	map	0.0788
13	conceptnet.topn3.replace	map	0.0788
13	glove.topn3	map	0.0788
13	glove.topn3.replace	map	0.0788
13	rm3.topn10.10.0.5.bm25	map	0.0788
13	rm3.topn10.10.0.5.qld	map	0.0788
13	sensedisambiguation	map	0.0788
13	sensedisambiguation.replace	map	0.0788
13	stem.krovetz	map	0.0788
13	stem.lovins	map	0.0788
13	stem.paicehusk	map	0.0788
13	stem.porter	map	0.0788
13	stem.porter2	map	0.0788
13	stem.sstemmer	map	0.0788
13	stem.trunc4	map	0.0788
13	stem.trunc5	map	0.0788
13	tagmee.topn3	map	0.0788
13	thesaurus.topn3	map	0.0788
13	thesaurus.topn3.replace	map	0.0788
13	wiki.topn3	map	0.0788
13	word2vec.topn3	map	0.0788
13	word2vec.topn3.replace	map	0.0788
14	-1	dinosaurs	0.0243
14	glove.topn3	dinosaurs reptiles	0.0397
14	conceptnet.topn3	dinosaurs ancient reptiles	0.0318
14	anchor.topn3	dinosaurs	0.0243
14	anchor.topn3.replace	dinosaurs	0.0243
14	bt_nllb_arabic	The dinosaurs	0.0243
14	bt_nllb_chinese_yue	The dinosaurs	0.0243
14	bt_nllb_french	the dinosaurs	0.0243
14	bt_nllb_korean	The dinosaurs	0.0243
14	bt_nllb_malay	The dinosaurs	0.0243
14	bt_nllb_persian	The dinosaurs	0.0243
14	bt_nllb_russian	The dinosaurs	0.0243
14	bt_nllb_swahili	dinosaurs	0.0243
14	bt_nllb_tamil	The Dinosaurs	0.0243
14	rm3.topn10.10.0.5.bm25	dinosaurs	0.0243
14	rm3.topn10.10.0.5.qld	dinosaurs	0.0243
14	sensedisambiguation	dinosaurs dinosaur	0.0243
14	sensedisambiguation.replace	dinosaur	0.0243
14	stem.krovetz	dinosaur	0.0243
14	stem.lovins	dinosaur	0.0243
14	stem.porter	dinosaur	0.0243
14	stem.porter2	dinosaur	0.0243
14	stem.sstemmer	dinosaur	0.0243
14	tagmee.topn3	dinosaurs	0.0243
14	thesaurus.topn3	dinosaurs	0.0243
