qid	order	query	qld.ndcg
301	-1	International Organized Crime	0.064
301	glove.topn3	international organized crime global which organised criminal	0.0954
301	anchor.topn3	international organized crime confédérat föderat kanusport anti corruption anti econom drug	0.0859
301	word2vec.topn3	international organized crime national global domestic organised criminality	0.0848
301	wiki.topn3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0727
301	wiki.topn3.replace	constitutional law public international law criminal law international law extortion mafia money laundering organized crime	0.0723
301	bt_bing_arabic	International organized crime	0.064
301	bt_bing_chinese_simplified	International Organized Crime	0.064
301	bt_bing_french	International Organized Crime	0.064
301	bt_bing_german	International Organized Crime	0.064
301	bt_bing_korean	International Organized Crime	0.064
301	bt_bing_persian	International Organized Crime	0.064
301	bt_bing_russian	International organized crime	0.064
301	bt_bing_tamil	International organized crime	0.064
301	bt_nllb_arabic	International organized crime	0.064
301	bt_nllb_chinese_yue	International organized crime	0.064
301	bt_nllb_french	International organized crime	0.064
301	bt_nllb_korean	International organized crime	0.064
301	bt_nllb_persian	International organized crime	0.064
301	bt_nllb_russian	International organized crime	0.064
301	bt_nllb_tamil	International organized crime	0.064
301	docluster.topn10.3.bm25	international organized crime	0.064
301	docluster.topn10.3.qld	international organized crime	0.064
301	rm3.topn10.10.0.5.bm25	International Organized Crime	0.064
301	rm3.topn10.10.0.5.qld	International Organized Crime	0.064
301	stem.krovetz	international organized crime	0.064
301	stem.porter2	intern organ crime	0.064
301	stem.sstemmer	international organized crime	0.064
301	termluster.topn5.3.bm25	international organized crime	0.064
301	termluster.topn5.3.qld	international organized crime	0.064
301	thesaurus.topn3	international organized crime	0.064
301	thesaurus.topn3.replace	international organized crime	0.064
302	-1	Poliomyelitis and Post-Polio	0.7466
302	relevancefeedback.topn10.qld	poliomyelitis and post polio case polio i health hi vaccin china percent	0.7912
302	relevancefeedback.topn10.bm25	poliomyelitis and post polio case polio i health vaccin china aid	0.7697
302	wordnet.topn3	poliomyelitis post polio polio acute anterior poliomyelitis	0.7613
302	tagmee.topn3	poliomyelitis post polio Poliomyelitis Post polio syndrome	0.7527
302	anchor.topn3	poliomyelitis post polio kentuckyon rwjbarnaba lcmc	0.7466
302	bt_bing_chinese_simplified	Poliomyelitis and post polio	0.7466
302	bt_bing_german	Poliomyelitis and post polio	0.7466
302	bt_bing_swahili	Poliomyelitis and post polio	0.7466
302	conceptnet.topn3	poliomyelitis post polio	0.7466
302	conceptnet.topn3.replace	poliomyelitis post polio	0.7466
302	docluster.topn10.3.bm25	poliomyelitis and post polio	0.7466
302	docluster.topn10.3.qld	poliomyelitis and post polio	0.7466
302	rm3.topn10.10.0.5.bm25	Poliomyelitis and Post-Polio	0.7466
302	rm3.topn10.10.0.5.qld	Poliomyelitis and Post-Polio	0.7466
302	sensedisambiguation	Poliomyelitis and Post Polio	0.7466
302	sensedisambiguation.replace	poliomyelitis and Post Polio	0.7466
302	stem.krovetz	poliomyeliti and post polio	0.7466
302	stem.porter	poliomyel and post polio	0.7466
302	stem.porter2	poliomyel and post polio	0.7466
302	stem.sstemmer	poliomyeliti and post polio	0.7466
302	termluster.topn5.3.bm25	poliomyelitis post polio	0.7466
302	termluster.topn5.3.qld	poliomyelitis post polio	0.7466
302	thesaurus.topn3	poliomyelitis post polio	0.7466
302	thesaurus.topn3.replace	poliomyelitis post polio	0.7466
303	-1	Hubble Telescope Achievements	0.5359
303	wiki.topn3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	0.6687
303	wiki.topn3.replace	great observatories program hubble space telescope standard candles hubble space telescope	0.6625
303	bt_nllb_swahili	The results of the Hubble Telescope	0.6248
303	anchor.topn3	hubble telescope achievements	0.5359
303	anchor.topn3.replace	hubble telescope achievements	0.5359
303	bt_bing_arabic	Achievements of the Hubble Telescope	0.5359
303	bt_bing_chinese_simplified	Hubble Telescope Achievement	0.5359
303	bt_bing_french	Achievements of the Hubble Telescope	0.5359
303	bt_bing_german	Achievements of the Hubble Telescope	0.5359
303	bt_bing_korean	Hubble Telescope Achievements	0.5359
303	bt_bing_malay	Hubble Telescope Achievements	0.5359
303	bt_bing_russian	Achievements of the Hubble Telescope	0.5359
303	bt_bing_tamil	Achievements of the Hubble telescope	0.5359
303	bt_nllb_arabic	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_french	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_german	Achievements of the Hubble Telescope	0.5359
303	bt_nllb_malay	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_persian	The achievements of the Hubble Telescope	0.5359
303	bt_nllb_russian	The achievements of the Hubble Telescope	0.5359
303	docluster.topn10.3.bm25	hubble telescope achievements	0.5359
303	docluster.topn10.3.qld	hubble telescope achievements	0.5359
303	rm3.topn10.10.0.5.bm25	Hubble Telescope Achievements	0.5359
303	rm3.topn10.10.0.5.qld	Hubble Telescope Achievements	0.5359
303	stem.krovetz	hubble telescope achievement	0.5359
303	stem.lovins	hubbl telescop achievement	0.5359
303	stem.paicehusk	hubbl telescop achiev	0.5359
303	stem.porter	hubbl telescop achiev	0.5359
303	stem.porter2	hubbl telescop achiev	0.5359
303	stem.sstemmer	hubble telescope achievement	0.5359
303	termluster.topn5.3.bm25	hubble telescope achievements	0.5359
303	termluster.topn5.3.qld	hubble telescope achievements	0.5359
303	thesaurus.topn3	hubble telescope achievements	0.5359
303	thesaurus.topn3.replace	hubble telescope achievements	0.5359
304	-1	Endangered Species (Mammals)	0.1457
304	bt_nllb_swahili	Endangered Species Animals	0.1974
304	bt_nllb_chinese_yue	They are endangered	0.1859
304	conceptluster.topn5.3.bm25	endangered species mammals endangered species	0.1834
304	conceptluster.topn5.3.qld	endangered species mammals endangered species	0.1834
304	bt_bing_malay	Endangered Species Mamalia	0.1802
304	bt_nllb_korean	Endangered species	0.1802
304	stem.lovins	endanger speci mam	0.18
304	stem.paicehusk	endang specy mam	0.18
304	bt_nllb_persian	Endangered species clover	0.1654
304	bt_bing_arabic	Endangered species mammals	0.1457
304	bt_bing_chinese_simplified	Endangered species mammals	0.1457
304	bt_bing_german	Endangered species mammals	0.1457
304	bt_bing_korean	Endangered species mammals	0.1457
304	bt_bing_russian	Endangered species mammals	0.1457
304	bt_bing_swahili	Endangered species mammals	0.1457
304	bt_bing_tamil	Endangered species mammals	0.1457
304	bt_nllb_arabic	Endangered species mammals	0.1457
304	bt_nllb_french	Endangered species mammal	0.1457
304	bt_nllb_german	Endangered species mammal	0.1457
304	bt_nllb_malay	Endangered species mammal	0.1457
304	docluster.topn10.3.bm25	endangered species mammals	0.1457
304	docluster.topn10.3.qld	endangered species mammals	0.1457
304	rm3.topn10.10.0.5.bm25	Endangered Species (Mammals)	0.1457
304	rm3.topn10.10.0.5.qld	Endangered Species (Mammals)	0.1457
304	stem.krovetz	endanger species mammal	0.1457
304	stem.porter	endang speci mammal	0.1457
304	stem.porter2	endang speci mammal	0.1457
304	stem.sstemmer	endangered specy mammal	0.1457
304	tagmee.topn3	endangered species mammals Endangered species Mammal	0.1457
304	tagmee.topn3.replace	Endangered species Mammal	0.1457
304	termluster.topn5.3.bm25	endangered species mammals	0.1457
304	termluster.topn5.3.qld	endangered species mammals	0.1457
304	thesaurus.topn3	endangered species mammals	0.1457
304	thesaurus.topn3.replace	endangered species mammals	0.1457
305	-1	Most Dangerous Vehicles	0.0469
305	conceptluster.topn5.3.bm25	dangerous vehicles risk	0.0975
305	conceptluster.topn5.3.qld	dangerous vehicles risk	0.0975
305	wordnet.topn3	dangerous vehicles life threatening unsafe fomite	0.0811
305	wiki.topn3	dangerous vehicles risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0636
305	wiki.topn3.replace	risk assessment optimism bias risk management risk truck semi trailer motor vehicle vehicle	0.0631
305	sensedisambiguation	Most Dangerous Vehicles vehicle	0.0614
305	tagmee.topn3	dangerous vehicles Risk Vehicle	0.0606
305	conceptnet.topn3	dangerous vehicles Explosives driving Some people	0.0514
305	tagmee.topn3.replace	Risk Vehicle	0.049
305	bt_bing_arabic	The most dangerous vehicles	0.0469
305	bt_bing_chinese_simplified	The most dangerous vehicles	0.0469
305	bt_bing_french	Most Dangerous Vehicles	0.0469
305	bt_bing_german	The Most Dangerous Vehicles	0.0469
305	bt_bing_korean	The most dangerous vehicles	0.0469
305	bt_bing_malay	Most Dangerous Vehicles	0.0469
305	bt_bing_persian	The Most Dangerous Vehicles	0.0469
305	bt_bing_russian	The Most Dangerous Vehicles	0.0469
305	bt_nllb_french	The most dangerous vehicles	0.0469
305	bt_nllb_german	Most dangerous vehicles	0.0469
305	bt_nllb_korean	The most dangerous vehicle	0.0469
