qid	order	query	bm25.recip_rank
301	-1	international organized crime	0.5
301	pred.refiner.1	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.10	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.2	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.3	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.4	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.5	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.6	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.7	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.8	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
301	pred.refiner.9	international organized crime constitutional law public international law criminal law international law extortion mafia money laundering organized crime	1.0
302	-1	poliomyelitis and post-polio	1.0
303	-1	hubble telescope achievements	0.5
303	pred.refiner.1	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.10	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.2	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.3	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.4	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.5	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.6	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.7	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.8	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
303	pred.refiner.9	hubble telescope achievements great observatories program hubble space telescope standard candles hubble space telescope	1.0
304	-1	endangered species (mammals)	1.0
305	-1	most dangerous vehicles	0.0154
305	pred.refiner.1	risk vehicle	0.25
305	pred.refiner.10	risk vehicle	0.25
305	pred.refiner.2	risk vehicle	0.25
305	pred.refiner.3	risk vehicle	0.25
305	pred.refiner.4	risk vehicle	0.25
305	pred.refiner.5	risk vehicle	0.25
305	pred.refiner.6	risk vehicle	0.25
305	pred.refiner.7	risk vehicle	0.25
305	pred.refiner.8	risk vehicle	0.25
305	pred.refiner.9	risk vehicle	0.25
306	-1	african civilian deaths	1.0
307	-1	new hydroelectric projects	1.0
308	-1	implant dentistry	1.0
309	-1	rap and crime	0.0
309	pred.refiner.1	rap crime music hip hop	0.0149
309	pred.refiner.10	rap crime music hip hop	0.0149
309	pred.refiner.2	rap crime music hip hop	0.0149
309	pred.refiner.3	rap crime music hip hop	0.0149
309	pred.refiner.4	rap crime music hip hop	0.0149
309	pred.refiner.5	rap crime music hip hop	0.0149
309	pred.refiner.6	rap crime music hip hop	0.0149
309	pred.refiner.7	rap crime music hip hop	0.0149
309	pred.refiner.8	rap crime music hip hop	0.0149
309	pred.refiner.9	rap crime music hip hop	0.0149
310	-1	radio waves and brain cancer	1.0
311	-1	industrial espionage	1.0
312	-1	hydroponics	1.0
313	-1	magnetic levitation-maglev	1.0
314	-1	marine vegetation	0.0312
314	pred.refiner.1	seaweed	1.0
314	pred.refiner.10	seaweed	1.0
314	pred.refiner.2	seaweed	1.0
314	pred.refiner.3	seaweed	1.0
314	pred.refiner.4	seaweed	1.0
314	pred.refiner.5	seaweed	1.0
314	pred.refiner.6	seaweed	1.0
314	pred.refiner.7	seaweed	1.0
314	pred.refiner.8	seaweed	1.0
314	pred.refiner.9	seaweed	1.0
315	-1	unexplained highway accidents	0.1429
315	pred.refiner.1	the cause of the accident is unknown	1.0
315	pred.refiner.10	the cause of the accident is unknown	1.0
315	pred.refiner.2	the cause of the accident is unknown	1.0
315	pred.refiner.3	the cause of the accident is unknown	1.0
315	pred.refiner.4	the cause of the accident is unknown	1.0
315	pred.refiner.5	the cause of the accident is unknown	1.0
315	pred.refiner.6	the cause of the accident is unknown	1.0
315	pred.refiner.7	the cause of the accident is unknown	1.0
315	pred.refiner.8	the cause of the accident is unknown	1.0
315	pred.refiner.9	the cause of the accident is unknown	1.0
316	-1	polygamy polyandry polygyny	1.0
317	-1	unsolicited faxes	1.0
318	-1	best retirement country	0.1111
318	pred.refiner.1	best retirement country well better nation already	0.5
318	pred.refiner.10	best retirement country well better nation already	0.5
318	pred.refiner.2	best retirement country well better nation already	0.5
318	pred.refiner.3	best retirement country well better nation already	0.5
318	pred.refiner.4	best retirement country well better nation already	0.5
318	pred.refiner.5	best retirement country well better nation already	0.5
318	pred.refiner.6	best retirement country well better nation already	0.5
318	pred.refiner.7	best retirement country well better nation already	0.5
318	pred.refiner.8	best retirement country well better nation already	0.5
318	pred.refiner.9	best retirement country well better nation already	0.5
319	-1	new fuel sources	1.0
320	-1	undersea fiber optic cable	0.0312
320	pred.refiner.1	submarine fibre optic cable	0.0909
320	pred.refiner.10	submarine fibre optic cable	0.0909
320	pred.refiner.2	submarine fibre optic cable	0.0909
320	pred.refiner.3	submarine fibre optic cable	0.0909
320	pred.refiner.4	submarine fibre optic cable	0.0909
320	pred.refiner.5	submarine fibre optic cable	0.0909
320	pred.refiner.6	submarine fibre optic cable	0.0909
320	pred.refiner.7	submarine fibre optic cable	0.0909
320	pred.refiner.8	submarine fibre optic cable	0.0909
320	pred.refiner.9	submarine fibre optic cable	0.0909
321	-1	women in parliaments	1.0
322	-1	international art crime	0.0132
322	pred.refiner.1	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.10	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.2	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.3	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.4	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.5	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.6	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.7	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.8	international art crime national global domestic artwork artworks criminality	0.2
322	pred.refiner.9	international art crime national global domestic artwork artworks criminality	0.2
323	-1	literary/journalistic plagiarism	1.0
324	-1	argentine/british relations	1.0
325	-1	cult lifestyles	0.2
